dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DGS,BLR-maxIter-5,0,0,0.12817717519695593,0,0,train
DGS,BLR-tol-0.01,0,0,0.003722084367245637,0,5,train
DGS,BLR-tol-0.01,0,1,0.12817784856648717,0,0,train
DGS,BLR-tol-0.01,0,1,0.002481389578163795,0,1,train
DGS,BLR-tol-0.01,0,1,0.20566502463054193,0,2,train
DGS,BLR-tol-0.01,0,1,0.13686806411837238,0,3,train
DGS,BLR-tol-0.01,0,1,0.003726708074534124,0,4,train
DGS,BLR-tol-0.01,0,1,0.003726708074534124,0,5,train
DGS,BLR-tol-0.01,0,2,0.12817784102582774,0,0,train
DGS,BLR-tol-0.01,0,2,0.002484472049689489,0,1,train
DGS,BLR-tol-0.01,0,2,0.21568627450980396,0,2,train
DGS,BLR-tol-0.01,0,2,0.11495673671199017,0,3,train
DGS,BLR-tol-0.01,0,2,0.008652657601977753,0,4,train
DGS,BLR-tol-0.01,0,2,0.0012437810945273853,0,5,train
DGS,BLR-tol-0.01,0,2,0.15441176470588233,0,6,test
DGS,BLR-tol-0.01,0,0,0.12783225880055435,1,0,train
DGS,BLR-tol-0.01,0,0,0.004962779156327589,0,4,train
DGS,BLR-tol-0.01,0,0,0.001240694789081842,1,1,train
DGS,BLR-tol-0.01,0,0,0.1283950617283951,0,3,train
DGS,BLR-tol-0.01,0,0,0.003717472118959121,0,1,train
DGS,BLR-maxIter-100,0,1,0.3159196903471357,3,0,train
DGS,BLR-maxIter-100,0,1,0.2778457772337821,3,1,train
DGS,BLR-maxIter-100,0,1,0.47272727272727283,3,2,train
DGS,BLR-maxIter-100,0,1,0.5182926829268293,3,3,train
DGS,BLR-maxIter-100,0,1,0.35970333745364647,3,4,train
DGS,BLR-maxIter-100,0,1,0.15489467162329615,3,5,train
DGS,BLR-maxIter-100,0,1,0.1254658385093168,3,6,train
DGS,BLR-maxIter-100,0,2,0.3159193631775588,3,0,train
DGS,BLR-maxIter-100,0,2,0.2884615384615385,3,1,train
DGS,BLR-maxIter-100,0,2,0.4538745387453874,3,2,train
DGS,BLR-maxIter-100,0,2,0.5355392156862745,3,3,train
DGS,BLR-maxIter-100,0,2,0.4095354523227385,3,4,train
DGS,BLR-maxIter-100,0,2,0.28813559322033894,3,5,train
DGS,BLR-maxIter-100,0,2,0.30778739184177994,3,6,train
