dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,BLR-maxIter-10,0,0,68.85,train,BLR,maxIter,10
DGS,BLR-maxIter-10,0,1,49.8,train,BLR,maxIter,10
DGS,BLR-maxIter-10,0,2,57.45,train,BLR,maxIter,10
DGS,BLR-maxIter-10,0,0,64.39999999999999,test,BLR,maxIter,10
DGS,BLR-maxIter-100,0,0,413.885,train,BLR,maxIter,100
DGS,BLR-maxIter-100,0,1,422.395,train,BLR,maxIter,100
DGS,BLR-maxIter-100,0,2,357.15,train,BLR,maxIter,100
DGS,BLR-maxIter-100,0,0,127.1,test,BLR,maxIter,100
DGS,BLR-maxIter-100,0,2,75.775,test,BLR,maxIter,100
DGS,BLR-maxIter-15,0,0,100.865,train,BLR,maxIter,15
DGS,BLR-maxIter-15,0,1,63.74,train,BLR,maxIter,15
DGS,BLR-maxIter-15,0,2,44.095,train,BLR,maxIter,15
DGS,BLR-maxIter-15,0,0,61.825,test,BLR,maxIter,15
DGS,BLR-maxIter-15,0,2,31.365,test,BLR,maxIter,15
DGS,BLR-maxIter-20,0,0,90.03,train,BLR,maxIter,20
DGS,BLR-maxIter-20,0,1,110.3,train,BLR,maxIter,20
DGS,BLR-maxIter-20,0,2,88.1,train,BLR,maxIter,20
DGS,BLR-maxIter-20,0,0,59.275,test,BLR,maxIter,20
DGS,BLR-maxIter-20,0,1,82.315,test,BLR,maxIter,20
DGS,BLR-maxIter-5,0,2,87.075,train,BLR,maxIter,5
DGS,BLR-maxIter-5,0,0,101.65,test,BLR,maxIter,5
DGS,BLR-maxIter-50,0,0,131.93,train,BLR,maxIter,50
DGS,BLR-maxIter-50,0,1,240.34,train,BLR,maxIter,50
DGS,BLR-maxIter-50,0,2,142.15,train,BLR,maxIter,50
DGS,BLR-maxIter-50,0,0,76.75,test,BLR,maxIter,50
DGS,BLR-maxIter-50,0,1,42.195,test,BLR,maxIter,50
DGS,BLR-tol-0.0001,0,0,379.025,train,BLR,tol,0.0001
DGS,BLR-tol-0.0001,0,1,271.32,train,BLR,tol,0.0001
DGS,BLR-tol-0.0001,0,2,205.1,train,BLR,tol,0.0001
DGS,BLR-tol-0.0001,0,0,91.95000000000002,test,BLR,tol,0.0001
DGS,BLR-tol-0.0001,0,2,55.205,test,BLR,tol,0.0001
DGS,BLR-tol-0.01,0,0,257.51,train,BLR,tol,0.01
DGS,BLR-tol-0.01,0,1,329.5499999999999,train,BLR,tol,0.01
DGS,BLR-tol-0.01,0,2,351.95,train,BLR,tol,0.01
DGS,BLR-tol-0.1,0,0,201.655,train,BLR,tol,0.1
DGS,BLR-tol-0.1,0,1,94.01,train,BLR,tol,0.1
DGS,BLR-tol-0.1,0,2,163.25,train,BLR,tol,0.1
DGS,BLR-tol-0.1,0,0,32.735,test,BLR,tol,0.1
DGS,BLR-tol-1e-06,0,0,430.84,train,BLR,tol,1e-06
DGS,BLR-tol-1e-06,0,1,297.74,train,BLR,tol,1e-06
DGS,BLR-tol-1e-06,0,2,329.07,train,BLR,tol,1e-06
DGS,BLR-tol-1e-06,0,2,86.39000000000001,test,BLR,tol,1e-06
