dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DGS,BLR-maxIter-5,0,0,65451572,10907132,0,0,train
DGS,BLR-tol-0.01,0,0,65451572,10432844,0,5,train
DGS,BLR-tol-0.01,0,1,65451572,10739088,0,0,train
DGS,BLR-tol-0.01,0,1,65451572,10738952,0,1,train
DGS,BLR-tol-0.01,0,1,65451572,10564424,0,2,train
DGS,BLR-tol-0.01,0,1,65451572,10412820,0,3,train
DGS,BLR-tol-0.01,0,1,65451572,10414876,0,4,train
DGS,BLR-tol-0.01,0,1,65451572,10415404,0,5,train
DGS,BLR-tol-0.01,0,2,65451572,10723520,0,0,train
DGS,BLR-tol-0.01,0,2,65451572,10723952,0,1,train
DGS,BLR-tol-0.01,0,2,65451572,10514528,0,2,train
DGS,BLR-tol-0.01,0,2,65451572,10396944,0,3,train
DGS,BLR-tol-0.01,0,2,65451572,10398696,0,4,train
DGS,BLR-tol-0.01,0,2,65451572,10399788,0,5,train
DGS,BLR-tol-0.01,0,2,65451572,10304084,0,6,test
DGS,BLR-tol-0.01,0,0,65451544,10611004,1,0,train
DGS,BLR-tol-0.01,0,0,65451572,10432292,0,4,train
DGS,BLR-tol-0.01,0,0,65451544,10611236,1,1,train
DGS,BLR-tol-0.01,0,0,65451572,10428516,0,3,train
DGS,BLR-tol-0.01,0,0,65451572,10755816,0,1,train
DGS,BLR-maxIter-100,0,1,65451544,13323856,3,0,train
DGS,BLR-maxIter-100,0,1,65451544,13051116,3,1,train
DGS,BLR-maxIter-100,0,1,65451544,12765516,3,2,train
DGS,BLR-maxIter-100,0,1,65451544,12181644,3,3,train
DGS,BLR-maxIter-100,0,1,65451544,12115124,3,4,train
DGS,BLR-maxIter-100,0,1,65451544,12058628,3,5,train
DGS,BLR-maxIter-100,0,1,65451544,11935096,3,6,train
DGS,BLR-maxIter-100,0,2,65451544,13305168,3,0,train
DGS,BLR-maxIter-100,0,2,65451544,13036420,3,1,train
DGS,BLR-maxIter-100,0,2,65451544,12740144,3,2,train
DGS,BLR-maxIter-100,0,2,65451544,12204604,3,3,train
DGS,BLR-maxIter-100,0,2,65451544,12039820,3,4,train
DGS,BLR-maxIter-100,0,2,65451544,11881012,3,5,train
DGS,BLR-maxIter-100,0,2,65451544,11691568,3,6,train
DGS,BLR-tol-0.01,0,0,65451572,10755548,0,0,train
DGS,BLR-tol-0.01,0,0,65451572,10554148,0,2,train
DGS,BLR-tol-0.01,0,0,65451544,10382088,1,2,train
DGS,BLR-tol-0.01,0,0,65451544,10253324,1,3,train
DGS,BLR-tol-0.01,0,0,65451544,10256040,1,4,train
DGS,BLR-tol-0.01,0,1,65451544,10870660,2,0,train
DGS,BLR-tol-0.01,0,1,65451544,10870256,2,1,train
DGS,BLR-tol-0.01,0,1,65451544,10649212,2,2,train
DGS,BLR-tol-0.01,0,1,65451544,10494364,2,3,train
DGS,BLR-tol-0.01,0,1,65451544,10494640,2,4,train
DGS,BLR-tol-0.01,0,1,65451544,10494720,2,5,train
DGS,BLR-tol-0.01,0,2,65451544,10856336,2,0,train
DGS,BLR-tol-0.01,0,2,65451544,10856188,2,1,train
DGS,BLR-tol-0.01,0,2,65451544,10635168,2,2,train
DGS,BLR-tol-0.01,0,2,65451544,10480372,2,3,train
DGS,BLR-tol-0.01,0,2,65451544,10479452,2,4,train
