dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,BLR,0,1,0.848839073987315,65451544,9893716,2,4,train
DGS,BLR,0,0,0.8532305975852915,65451544,9606284,2,6,train
DGS,BLR,0,0,0.8522057783694148,65451544,9673360,2,5,train
DGS,BLR,0,0,0.8964805475024393,65451544,6775508,3,0,train
DGS,BLR,0,0,0.9005764631007024,65451544,6507424,3,1,train
DGS,BLR,0,0,0.9050783584265025,65451544,6212768,3,2,train
DGS,BLR,0,0,0.9135533303843832,65451544,5658068,3,3,train
DGS,BLR,0,0,0.9144312928660628,65451544,5600604,3,4,train
DGS,BLR,0,0,0.9154642402324382,65451544,5532996,3,5,train
DGS,BLR,0,0,0.916662867418376,65451544,5454544,3,6,train
DGS,BLR,0,1,0.8967650327698916,65451544,6756888,3,0,train
DGS,BLR,0,1,0.9008453643202061,65451544,6489824,3,1,train
DGS,BLR,0,1,0.9052356045259986,65451544,6202476,3,2,train
DGS,BLR,0,1,0.9130818976554624,65451544,5688924,3,3,train
DGS,BLR,0,1,0.9148072656620598,65451544,5575996,3,4,train
DGS,BLR,0,1,0.9159203333690646,65451544,5503144,3,5,train
DGS,BLR,0,1,0.9169611033163709,65451544,5435024,3,6,train
DGS,BLR,0,2,0.8970154775875111,65451544,6740496,3,0,train
DGS,BLR,0,2,0.9011643178348856,65451544,6468948,3,1,train
DGS,BLR,0,2,0.9054540867668454,65451544,6188176,3,2,train
DGS,BLR,0,2,0.9134978389509039,65451544,5661700,3,3,train
DGS,BLR,0,2,0.9160307662108017,65451544,5495916,3,4,train
DGS,BLR,0,2,0.9170433626439737,65451544,5429640,3,5,train
DGS,BLR,0,2,0.919046065590141,65451544,5298560,3,6,train
DGS,BLR,0,0,0.84856442805994,65451544,9911692,2,4,train
DGS,BLR,0,0,0.8486047632428656,65451544,9909052,2,3,train
DGS,BLR,0,0,0.8470976330214609,65451544,10007696,2,2,train
DGS,BLR,0,0,0.8428301706679372,65451544,10287008,2,1,train
DGS,BLR,0,1,0.8430529919966441,65451544,10272424,2,0,train
DGS,BLR,0,1,0.8430586144766883,65451544,10272056,2,1,train
DGS,BLR,0,1,0.8469147190782849,65451544,10019668,2,2,train
DGS,BLR,0,1,0.8488373016838228,65451544,9893832,2,3,train
DGS,BLR,0,0,0.8503049552423279,65451572,9797776,0,2,train
DGS,BLR,0,0,0.8525946481468772,65451572,9647912,0,3,train
DGS,BLR,0,0,0.8525852366082208,65451572,9648528,0,4,train
DGS,BLR,0,0,0.8525854810637703,65451572,9648512,0,5,train
DGS,BLR,0,0,0.8539917727262533,65451572,9556468,0,6,train
DGS,BLR,0,1,0.8473603659206229,65451572,9990504,0,0,train
DGS,BLR,0,1,0.8473584713901142,65451572,9990628,0,1,train
DGS,BLR,0,1,0.8503922258735054,65451572,9792064,0,2,train
DGS,BLR,0,1,0.8523209190453057,65451572,9665828,0,3,train
DGS,BLR,0,1,0.8522838229156665,65451572,9668256,0,4,train
DGS,BLR,0,1,0.8522653054077907,65451572,9669468,0,5,train
DGS,BLR,0,1,0.8536708025897376,65451572,9577476,0,6,train
DGS,BLR,0,2,0.8475746312097745,65451572,9976480,0,0,train
