dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,BLR,0,1,189,797,2,4,train
DGS,BLR,0,0,154450,26791,2,6,train
DGS,BLR,0,0,16510987,123876,2,5,train
DGS,BLR,0,0,0,0,3,0,train
DGS,BLR,0,0,15099,14215,3,1,train
DGS,BLR,0,0,25017,23732,3,2,train
DGS,BLR,0,0,38165,29626,3,3,train
DGS,BLR,0,0,5550,2091,3,4,train
DGS,BLR,0,0,123374,16381757,3,5,train
DGS,BLR,0,0,16624776,42973852,3,6,train
DGS,BLR,0,1,0,0,3,0,train
DGS,BLR,0,1,18499,14433,3,1,train
DGS,BLR,0,1,24903,24338,3,2,train
DGS,BLR,0,1,36615,29522,3,3,train
DGS,BLR,0,1,2479,1847,3,4,train
DGS,BLR,0,1,124713,16382524,3,5,train
DGS,BLR,0,1,16604403,40688980,3,6,train
DGS,BLR,0,2,0,0,3,0,train
DGS,BLR,0,2,14702,13871,3,1,train
DGS,BLR,0,2,25006,24854,3,2,train
DGS,BLR,0,2,36653,29586,3,3,train
DGS,BLR,0,2,4333,923,3,4,train
DGS,BLR,0,2,122782,16382930,3,5,train
DGS,BLR,0,2,16593740,40835255,3,6,train
DGS,BLR,0,0,189,797,2,4,train
DGS,BLR,0,0,3161,7622,2,3,train
DGS,BLR,0,0,5227,3675,2,2,train
DGS,BLR,0,0,189,797,2,1,train
DGS,BLR,0,1,0,0,2,0,train
DGS,BLR,0,1,293,2082,2,1,train
DGS,BLR,0,1,3332,3467,2,2,train
DGS,BLR,0,1,4687,6545,2,3,train
DGS,BLR,0,0,5423,5464,0,2,train
DGS,BLR,0,0,3109,7621,0,3,train
DGS,BLR,0,0,95,289,0,4,train
DGS,BLR,0,0,189,795,0,5,train
DGS,BLR,0,0,16498940,124000,0,6,train
DGS,BLR,0,1,0,0,0,0,train
DGS,BLR,0,1,95,289,0,1,train
DGS,BLR,0,1,3054,3084,0,2,train
DGS,BLR,0,1,5005,7431,0,3,train
DGS,BLR,0,1,95,289,0,4,train
DGS,BLR,0,1,95,289,0,5,train
DGS,BLR,0,1,16497055,124922,0,6,train
DGS,BLR,0,2,0,0,0,0,train
DGS,BLR,0,0,0,0,2,0,train
DGS,BLR,0,2,189,795,0,1,train
DGS,BLR,0,2,3167,6379,0,3,train
DGS,BLR,0,2,189,795,0,4,train
DGS,BLR,0,2,95,289,0,5,train
DGS,BLR,0,2,16497843,124728,0,6,train
DGS,BLR,0,2,16508205,109779,2,6,train
DGS,BLR,0,2,189,797,2,5,train
DGS,BLR,0,2,95,290,2,4,train
DGS,BLR,0,2,5277,8622,2,3,train
DGS,BLR,0,2,2986,3182,2,2,train
DGS,BLR,0,2,95,290,2,1,train
DGS,BLR,0,2,0,0,2,0,train
DGS,BLR,0,1,16497065,114901,2,6,train
DGS,BLR,0,1,199,1575,2,5,train
DGS,BLR,0,2,4960,3673,0,2,train
DGS,BLR,0,0,95,289,0,1,train
DGS,BLR,0,0,0,0,0,0,train
DGS,BLR,0,0,189,797,1,5,train
DGS,BLR,0,1,3098,3593,1,2,train
DGS,BLR,0,1,147,1575,1,1,train
DGS,BLR,0,1,0,0,1,0,train
DGS,BLR,0,0,16507866,122623,1,6,train
DGS,BLR,0,0,95,290,1,4,train
DGS,BLR,0,0,4843,8107,1,3,train
DGS,BLR,0,0,3535,3697,1,2,train
DGS,BLR,0,0,95,290,1,1,train
DGS,BLR,0,1,4963,6926,1,3,train
DGS,BLR,0,0,0,0,1,0,train
DGS,BLR,0,1,16523821,125983,1,5,train
DGS,BLR,0,1,171168,28630,1,6,train
DGS,BLR,0,2,0,0,1,0,train
DGS,BLR,0,2,95,290,1,1,train
DGS,BLR,0,2,3176,3190,1,2,train
DGS,BLR,0,1,95,290,1,4,train
DGS,BLR,0,2,4983,8614,1,3,train
DGS,BLR,0,2,95,290,1,4,train
DGS,BLR,0,2,16523472,122215,1,5,train
DGS,BLR,0,2,176726,12923,1,6,train
DGS,BLR,1,0,2509,6734,2,3,train
DGS,BLR,1,0,3579,2904,2,2,train
DGS,BLR,1,0,2126,2476,2,1,train
DGS,BLR,1,0,0,0,2,0,train
DGS,BLR,1,2,114457,37892559,3,7,train
DGS,BLR,1,2,48759,204168,3,6,train
DGS,BLR,1,0,16485172,121159,2,4,train
DGS,BLR,1,0,184027,15763,2,5,train
DGS,BLR,1,0,28043,1203768,3,6,train
DGS,BLR,1,0,18989073,120229,2,7,train
DGS,BLR,1,0,6821794,28432,2,8,train
DGS,BLR,1,0,14096907,85989,2,9,train
DGS,BLR,1,0,21450655,163777,2,10,train
DGS,BLR,1,2,126392,16407238,3,5,train
DGS,BLR,1,1,0,0,2,0,train
DGS,BLR,1,1,95,290,2,1,train
DGS,BLR,1,0,38096308,89363,2,6,train
DGS,BLR,1,2,1862,1278,3,4,train
DGS,BLR,1,1,13002,9990,3,3,train
DGS,BLR,1,2,10660,9922,3,2,train
DGS,BLR,1,0,94954,36861493,3,7,train
DGS,BLR,1,0,121233,18880853,3,8,train
DGS,BLR,1,0,54780,20652458,3,9,train
DGS,BLR,1,0,105268,16768693,3,10,train
DGS,BLR,1,1,0,0,3,0,train
DGS,BLR,1,1,20823,19630,3,1,train
DGS,BLR,1,1,10759,10433,3,2,train
DGS,BLR,1,2,13510,10084,3,3,train
DGS,BLR,1,1,5516,4583,2,2,train
DGS,BLR,1,1,126179,16407640,3,5,train
DGS,BLR,1,1,15218,182761,3,6,train
DGS,BLR,1,1,114488,37913191,3,7,train
DGS,BLR,1,1,129919,18610680,3,8,train
DGS,BLR,1,1,44559,14140368,3,9,train
DGS,BLR,1,2,0,0,3,0,train
DGS,BLR,1,2,23393,18970,3,1,train
DGS,BLR,1,1,2271,861,3,4,train
DGS,BLR,1,1,2539,5936,2,3,train
DGS,BLR,1,1,20249025,89779,2,9,train
DGS,BLR,1,1,213710,16105,2,5,train
DGS,BLR,1,2,0,0,0,0,train
DGS,BLR,1,1,95,289,0,9,train
DGS,BLR,1,1,189,795,0,8,train
DGS,BLR,1,1,464,1574,0,7,train
DGS,BLR,1,1,95,289,0,6,train
DGS,BLR,1,1,189,795,0,5,train
DGS,BLR,1,1,95,289,0,4,train
DGS,BLR,1,1,95,289,0,3,train
DGS,BLR,1,1,189,795,0,2,train
DGS,BLR,1,2,360,289,0,1,train
DGS,BLR,1,1,95,289,0,1,train
DGS,BLR,1,0,95,289,0,10,train
DGS,BLR,1,0,189,795,0,9,train
DGS,BLR,1,0,95,289,0,8,train
DGS,BLR,1,0,95,289,0,7,train
DGS,BLR,1,0,0,0,0,0,train
DGS,BLR,1,0,95,289,0,1,train
DGS,BLR,1,0,95,289,0,2,train
DGS,BLR,1,0,189,795,0,3,train
DGS,BLR,1,0,95,289,0,4,train
