dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DGS,DT-maxDepth-15-maxBins-32,1,0,315.23,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,1,1,312.205,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,1,2,246.52,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,2,0,428.81000000000006,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,2,1,415.0750000000001,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,2,2,397.975,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,3,0,562.64,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,3,1,562.08,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,3,2,651.1949999999998,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,4,0,672.0999999999998,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,4,1,650.6149999999999,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,4,2,624.9,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,5,0,376.77,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,5,1,362.745,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,5,2,284.725,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,6,0,464.1350000000001,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,6,1,370.8,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,6,2,452.7000000000001,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,7,0,549.91,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,7,1,547.9200000000002,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,7,2,593.395,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,8,0,634.655,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,8,1,628.175,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,8,2,722.5350000000002,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,9,0,309.75,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,9,1,314.985,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,9,2,299.08,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,10,0,480.9,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,10,1,474.2000000000001,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,10,2,496.9,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,11,0,485.83,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,11,1,643.08,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,11,2,661.57,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,12,0,748.495,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,12,1,656.565,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-15-maxBins-32,12,2,662.01,train,DT,maxDepth,15.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,1,0,236.055,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,1,1,227.545,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,1,2,238.85,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,2,0,423.0,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,2,1,215.23,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,2,2,307.55,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,3,0,336.035,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,3,1,436.49,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,3,2,455.74000000000007,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,4,0,532.73,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,4,1,369.65,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,4,2,482.89,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,5,0,263.145,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,5,1,276.4,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,5,2,193.64,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,6,0,377.4500000000001,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,6,1,362.55,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,6,2,342.99999999999994,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,7,0,356.45,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,7,1,332.78,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,7,2,418.105,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,8,0,410.48,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,8,1,449.3,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,8,2,481.65,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,9,0,197.53,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,9,1,189.035,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,9,2,188.14,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,10,0,252.835,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,10,1,360.525,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,10,2,356.69999999999993,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,11,0,432.18,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,11,1,428.265,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,11,2,449.715,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,12,0,527.8100000000002,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,12,1,524.005,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-5-maxBins-32,12,2,479.94,train,DT,maxDepth,5.0,maxBins,32
DGS,DT-maxDepth-10-maxBins-48,1,0,228.435,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,1,1,315.06,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,1,2,310.49,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,2,0,403.75000000000006,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,2,1,434.56,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,2,2,418.08,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,3,0,521.745,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,3,1,477.12,train,DT,maxDepth,10.0,maxBins,48
DGS,DT-maxDepth-10-maxBins-48,3,2,530.825,train,DT,maxDepth,10.0,maxBins,48
