dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4571716,0,04/20/21 12 2021 16:12:13. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4008236,0,04/20/21 12 2021 16:12:14. 325,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3990104,0,04/20/21 12 2021 16:12:15. 341,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3561408,0,04/20/21 12 2021 16:12:16. 366,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3257732,0,04/20/21 12 2021 16:12:17. 387,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4571716,1,04/20/21 12 2021 16:12:13. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4008236,1,04/20/21 12 2021 16:12:14. 325,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3990104,1,04/20/21 12 2021 16:12:15. 341,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3561408,1,04/20/21 12 2021 16:12:16. 366,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3257732,1,04/20/21 12 2021 16:12:17. 387,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878520,1,04/20/21 12 2021 16:12:13. 201,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878376,1,04/20/21 12 2021 16:12:14. 227,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878216,1,04/20/21 12 2021 16:12:15. 252,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878296,1,04/20/21 12 2021 16:12:16. 277,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878192,1,04/20/21 12 2021 16:12:17. 302,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4571716,2,04/20/21 12 2021 16:12:13. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4008236,2,04/20/21 12 2021 16:12:14. 325,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3990104,2,04/20/21 12 2021 16:12:15. 341,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3561408,2,04/20/21 12 2021 16:12:16. 366,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3257732,2,04/20/21 12 2021 16:12:17. 387,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878520,2,04/20/21 12 2021 16:12:13. 201,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878376,2,04/20/21 12 2021 16:12:14. 227,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878216,2,04/20/21 12 2021 16:12:15. 252,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878296,2,04/20/21 12 2021 16:12:16. 277,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878192,2,04/20/21 12 2021 16:12:17. 302,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52926616,2,04/20/21 12 2021 16:12:13. 414,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52926284,2,04/20/21 12 2021 16:12:14. 441,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52926140,2,04/20/21 12 2021 16:12:15. 467,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52924840,2,04/20/21 12 2021 16:12:16. 494,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52925656,2,04/20/21 12 2021 16:12:17. 520,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4571716,3,04/20/21 12 2021 16:12:13. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,4008236,3,04/20/21 12 2021 16:12:14. 325,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3990104,3,04/20/21 12 2021 16:12:15. 341,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3561408,3,04/20/21 12 2021 16:12:16. 366,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451544,3257732,3,04/20/21 12 2021 16:12:17. 387,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878520,3,04/20/21 12 2021 16:12:13. 201,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878376,3,04/20/21 12 2021 16:12:14. 227,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878216,3,04/20/21 12 2021 16:12:15. 252,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878296,3,04/20/21 12 2021 16:12:16. 277,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451520,52878192,3,04/20/21 12 2021 16:12:17. 302,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52926616,3,04/20/21 12 2021 16:12:13. 414,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52926284,3,04/20/21 12 2021 16:12:14. 441,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52926140,3,04/20/21 12 2021 16:12:15. 467,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52924840,3,04/20/21 12 2021 16:12:16. 494,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451488,52925656,3,04/20/21 12 2021 16:12:17. 520,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451444,51028100,3,04/20/21 12 2021 16:12:13. 280,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451444,50921204,3,04/20/21 12 2021 16:12:14. 310,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451444,50725592,3,04/20/21 12 2021 16:12:15. 323,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451444,50588092,3,04/20/21 12 2021 16:12:16. 336,train
DGS,DT-maxDepth-15-maxBins-32,1,0,65451444,50195584,3,04/20/21 12 2021 16:12:17. 349,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,4201696,0,04/20/21 12 2021 16:12:41. 845,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,4193668,0,04/20/21 12 2021 16:12:42. 862,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3899164,0,04/20/21 12 2021 16:12:43. 885,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3578868,0,04/20/21 12 2021 16:12:44. 912,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3448316,0,04/20/21 12 2021 16:12:45. 960,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,4201696,1,04/20/21 12 2021 16:12:41. 845,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,4193668,1,04/20/21 12 2021 16:12:42. 862,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3899164,1,04/20/21 12 2021 16:12:43. 885,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3578868,1,04/20/21 12 2021 16:12:44. 912,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3448316,1,04/20/21 12 2021 16:12:45. 960,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451520,52879060,1,04/20/21 12 2021 16:12:41. 908,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451520,52878860,1,04/20/21 12 2021 16:12:42. 933,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451520,52878428,1,04/20/21 12 2021 16:12:43. 959,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451520,52878508,1,04/20/21 12 2021 16:12:44. 984,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,4201696,2,04/20/21 12 2021 16:12:41. 845,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,4193668,2,04/20/21 12 2021 16:12:42. 862,train
DGS,DT-maxDepth-15-maxBins-32,1,1,65451544,3899164,2,04/20/21 12 2021 16:12:43. 885,train
