dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,DT-maxDepth-15-maxBins-32,1,0,198726825220266,355539709919052,0,04/20/21 12 2021 16:12:13. 315,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726848153418,355539736946361,0,04/20/21 12 2021 16:12:14. 328,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726862851506,355539765389778,0,04/20/21 12 2021 16:12:15. 356,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726869413249,355539777901619,0,04/20/21 12 2021 16:12:16. 370,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726871337810,355539787481325,0,04/20/21 12 2021 16:12:17. 403,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726825220266,355539709919052,1,04/20/21 12 2021 16:12:13. 315,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726848153418,355539736946361,1,04/20/21 12 2021 16:12:14. 328,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726862851506,355539765389778,1,04/20/21 12 2021 16:12:15. 356,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726869413249,355539777901619,1,04/20/21 12 2021 16:12:16. 370,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726871337810,355539787481325,1,04/20/21 12 2021 16:12:17. 403,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412602,60580620671,1,04/20/21 12 2021 16:12:13. 210,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412697,60580620961,1,04/20/21 12 2021 16:12:14. 235,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412886,60580621757,1,04/20/21 12 2021 16:12:15. 261,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412981,60580622047,1,04/20/21 12 2021 16:12:16. 286,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726413076,60580622337,1,04/20/21 12 2021 16:12:17. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726825220266,355539709919052,2,04/20/21 12 2021 16:12:13. 315,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726848153418,355539736946361,2,04/20/21 12 2021 16:12:14. 328,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726862851506,355539765389778,2,04/20/21 12 2021 16:12:15. 356,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726869413249,355539777901619,2,04/20/21 12 2021 16:12:16. 370,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726871337810,355539787481325,2,04/20/21 12 2021 16:12:17. 403,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412602,60580620671,2,04/20/21 12 2021 16:12:13. 210,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412697,60580620961,2,04/20/21 12 2021 16:12:14. 235,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412886,60580621757,2,04/20/21 12 2021 16:12:15. 261,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412981,60580622047,2,04/20/21 12 2021 16:12:16. 286,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726413076,60580622337,2,04/20/21 12 2021 16:12:17. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284549,61228814693,2,04/20/21 12 2021 16:12:13. 423,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284644,61228814984,2,04/20/21 12 2021 16:12:14. 450,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284833,61228815782,2,04/20/21 12 2021 16:12:15. 476,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284928,61228816073,2,04/20/21 12 2021 16:12:16. 503,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488285023,61228816364,2,04/20/21 12 2021 16:12:17. 529,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726825220266,355539709919052,3,04/20/21 12 2021 16:12:13. 315,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726848153418,355539736946361,3,04/20/21 12 2021 16:12:14. 328,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726862851506,355539765389778,3,04/20/21 12 2021 16:12:15. 356,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726869413249,355539777901619,3,04/20/21 12 2021 16:12:16. 370,train
DGS,DT-maxDepth-15-maxBins-32,1,0,198726871337810,355539787481325,3,04/20/21 12 2021 16:12:17. 403,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412602,60580620671,3,04/20/21 12 2021 16:12:13. 210,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412697,60580620961,3,04/20/21 12 2021 16:12:14. 235,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412886,60580621757,3,04/20/21 12 2021 16:12:15. 261,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726412981,60580622047,3,04/20/21 12 2021 16:12:16. 286,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1913726413076,60580622337,3,04/20/21 12 2021 16:12:17. 311,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284549,61228814693,3,04/20/21 12 2021 16:12:13. 423,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284644,61228814984,3,04/20/21 12 2021 16:12:14. 450,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284833,61228815782,3,04/20/21 12 2021 16:12:15. 476,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488284928,61228816073,3,04/20/21 12 2021 16:12:16. 503,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1904488285023,61228816364,3,04/20/21 12 2021 16:12:17. 529,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1922594655416,58321159922,3,04/20/21 12 2021 16:12:13. 807,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1922606319839,58321188290,3,04/20/21 12 2021 16:12:14. 821,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1922617081750,58325563369,3,04/20/21 12 2021 16:12:15. 834,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1922630177435,58325641961,3,04/20/21 12 2021 16:12:16. 847,train
DGS,DT-maxDepth-15-maxBins-32,1,0,1922632877563,58327147994,3,04/20/21 12 2021 16:12:17. 859,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727085988992,355540192189653,0,04/20/21 12 2021 16:12:41. 849,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727101052653,355540226409691,0,04/20/21 12 2021 16:12:42. 874,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727105735524,355540229424193,0,04/20/21 12 2021 16:12:43. 891,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727113645882,355540250605807,0,04/20/21 12 2021 16:12:44. 927,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727117113662,355540255086228,0,04/20/21 12 2021 16:12:45. 965,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727085988992,355540192189653,1,04/20/21 12 2021 16:12:41. 849,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727101052653,355540226409691,1,04/20/21 12 2021 16:12:42. 874,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727105735524,355540229424193,1,04/20/21 12 2021 16:12:43. 891,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727113645882,355540250605807,1,04/20/21 12 2021 16:12:44. 927,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727117113662,355540255086228,1,04/20/21 12 2021 16:12:45. 965,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417210,60580636815,1,04/20/21 12 2021 16:12:41. 917,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417305,60580637105,1,04/20/21 12 2021 16:12:42. 942,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417400,60580637395,1,04/20/21 12 2021 16:12:43. 967,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417589,60580638191,1,04/20/21 12 2021 16:12:44. 992,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727085988992,355540192189653,2,04/20/21 12 2021 16:12:41. 849,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727101052653,355540226409691,2,04/20/21 12 2021 16:12:42. 874,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727105735524,355540229424193,2,04/20/21 12 2021 16:12:43. 891,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727113645882,355540250605807,2,04/20/21 12 2021 16:12:44. 927,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727117113662,355540255086228,2,04/20/21 12 2021 16:12:45. 965,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417210,60580636815,2,04/20/21 12 2021 16:12:41. 917,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417305,60580637105,2,04/20/21 12 2021 16:12:42. 942,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417400,60580637395,2,04/20/21 12 2021 16:12:43. 967,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417589,60580638191,2,04/20/21 12 2021 16:12:44. 992,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488288822,61228830078,2,04/20/21 12 2021 16:12:41. 139,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488288917,61228830369,2,04/20/21 12 2021 16:12:42. 165,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488289106,61228831167,2,04/20/21 12 2021 16:12:43. 191,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488289201,61228831458,2,04/20/21 12 2021 16:12:44. 218,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488289296,61228831749,2,04/20/21 12 2021 16:12:45. 244,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727085988992,355540192189653,3,04/20/21 12 2021 16:12:41. 849,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727101052653,355540226409691,3,04/20/21 12 2021 16:12:42. 874,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727105735524,355540229424193,3,04/20/21 12 2021 16:12:43. 891,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727113645882,355540250605807,3,04/20/21 12 2021 16:12:44. 927,train
DGS,DT-maxDepth-15-maxBins-32,1,1,198727117113662,355540255086228,3,04/20/21 12 2021 16:12:45. 965,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417210,60580636815,3,04/20/21 12 2021 16:12:41. 917,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417305,60580637105,3,04/20/21 12 2021 16:12:42. 942,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417400,60580637395,3,04/20/21 12 2021 16:12:43. 967,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1913726417589,60580638191,3,04/20/21 12 2021 16:12:44. 992,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488288822,61228830078,3,04/20/21 12 2021 16:12:41. 139,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488288917,61228830369,3,04/20/21 12 2021 16:12:42. 165,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488289106,61228831167,3,04/20/21 12 2021 16:12:43. 191,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488289201,61228831458,3,04/20/21 12 2021 16:12:44. 218,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1904488289296,61228831749,3,04/20/21 12 2021 16:12:45. 244,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1922825016476,58328811695,3,04/20/21 12 2021 16:12:41. 489,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1922833325986,58328832096,3,04/20/21 12 2021 16:12:42. 525,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1922847478932,58333232474,3,04/20/21 12 2021 16:12:43. 538,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1922860466574,58333373481,3,04/20/21 12 2021 16:12:44. 551,train
DGS,DT-maxDepth-15-maxBins-32,1,1,1922863072911,58334834345,3,04/20/21 12 2021 16:12:45. 577,train
DGS,DT-maxDepth-15-maxBins-32,1,2,198727346544132,355540655748028,0,04/20/21 13 2021 16:13:09. 366,train
DGS,DT-maxDepth-15-maxBins-32,1,2,198727369620420,355540691966803,0,04/20/21 13 2021 16:13:10. 391,train
DGS,DT-maxDepth-15-maxBins-32,1,2,198727374057855,355540698217572,0,04/20/21 13 2021 16:13:11. 405,train
DGS,DT-maxDepth-15-maxBins-32,1,2,198727387074366,355540718692829,0,04/20/21 13 2021 16:13:12. 421,train
DGS,DT-maxDepth-15-maxBins-32,1,2,198727346544132,355540655748028,1,04/20/21 13 2021 16:13:09. 366,train
DGS,DT-maxDepth-15-maxBins-32,1,2,198727369620420,355540691966803,1,04/20/21 13 2021 16:13:10. 391,train
