transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
502.0,128.0,5499.0,2776.0,11115.0,,,,,0,DGS,DT-maxDepth-15,classification,0,0.9751777492079764,0.9751440922190202,0.9753628322121471,0.9751440922190202,
495.0,128.0,5055.0,2776.0,11115.0,,,,,1,DGS,DT-maxDepth-15,classification,0,0.9751777492079764,0.9751440922190202,0.9753628322121471,0.9751440922190202,
497.0,128.0,5335.0,2776.0,11115.0,,,,,2,DGS,DT-maxDepth-15,classification,0,0.9751777492079764,0.9751440922190202,0.9753628322121471,0.9751440922190202,
544.0,128.0,5639.0,2776.0,11115.0,,,,,0,DGS,DT-maxDepth-20,classification,0,0.9769655275472858,0.9769452449567724,0.9771086125811256,0.9769452449567724,
531.0,128.0,5683.0,2776.0,11115.0,,,,,1,DGS,DT-maxDepth-20,classification,0,0.9769655275472858,0.9769452449567724,0.9771086125811256,0.9769452449567724,
588.0,128.0,5989.0,2776.0,11115.0,,,,,2,DGS,DT-maxDepth-20,classification,0,0.9769655275472858,0.9769452449567724,0.9771086125811256,0.9769452449567724,
525.0,128.0,3724.0,2776.0,11115.0,,,,,0,DGS,DT-maxDepth-5,classification,0,0.7943994663177039,0.7845821325648416,0.8170427378131934,0.7845821325648414,
516.0,128.0,3787.0,2776.0,11115.0,,,,,1,DGS,DT-maxDepth-5,classification,0,0.7943994663177039,0.7845821325648416,0.8170427378131934,0.7845821325648414,
560.0,128.0,3943.0,2776.0,11115.0,,,,,2,DGS,DT-maxDepth-5,classification,0,0.7943994663177039,0.7845821325648416,0.8170427378131934,0.7845821325648414,
581.0,128.0,4876.0,2776.0,11115.0,,,,,0,DGS,DT-maxBins-48,classification,0,0.9567290017432192,0.9567723342939479,0.9567572808257898,0.9567723342939479,
518.0,128.0,4773.0,2776.0,11115.0,,,,,1,DGS,DT-maxBins-48,classification,0,0.9567290017432192,0.9567723342939479,0.9567572808257898,0.9567723342939479,
500.0,128.0,4902.0,2776.0,11115.0,,,,,2,DGS,DT-maxBins-48,classification,0,0.9567290017432192,0.9567723342939479,0.9567572808257898,0.9567723342939479,
482.0,128.0,4724.0,2776.0,11115.0,,,,,0,DGS,DT-maxBins-32,classification,0,0.9552356002230242,0.954971181556196,0.9557642543524044,0.954971181556196,
511.0,128.0,4671.0,2776.0,11115.0,,,,,1,DGS,DT-maxBins-32,classification,0,0.9552356002230242,0.954971181556196,0.9557642543524044,0.954971181556196,
521.0,128.0,4756.0,2776.0,11115.0,,,,,2,DGS,DT-maxBins-32,classification,0,0.9552356002230242,0.954971181556196,0.9557642543524044,0.954971181556196,
513.0,128.0,4246.0,2776.0,11115.0,,,,,0,DGS,DT-maxBins-16,classification,0,0.9546496730414896,0.9546109510086456,0.9548355501154822,0.9546109510086456,
493.0,128.0,4378.0,2776.0,11115.0,,,,,1,DGS,DT-maxBins-16,classification,0,0.9546496730414896,0.9546109510086456,0.9548355501154822,0.9546109510086456,
486.0,128.0,4354.0,2776.0,11115.0,,,,,2,DGS,DT-maxBins-16,classification,0,0.9546496730414896,0.9546109510086456,0.9548355501154822,0.9546109510086456,
564.0,128.0,4611.0,2776.0,11115.0,,,,,0,DGS,DT-maxDepth-10,classification,0,0.9552356002230242,0.954971181556196,0.9557642543524044,0.954971181556196,
494.0,128.0,4679.0,2776.0,11115.0,,,,,1,DGS,DT-maxDepth-10,classification,0,0.9552356002230242,0.954971181556196,0.9557642543524044,0.954971181556196,
524.0,128.0,4621.0,2776.0,11115.0,,,,,2,DGS,DT-maxDepth-10,classification,0,0.9552356002230242,0.954971181556196,0.9557642543524044,0.954971181556196,
511.0,128.0,4289.0,2776.0,11115.0,,,,,0,DGS,DT-maxBins-4,classification,0,0.925598387358585,0.9247118155619596,0.9284758836617482,0.9247118155619598,
493.0,128.0,4269.0,2776.0,11115.0,,,,,1,DGS,DT-maxBins-4,classification,0,0.925598387358585,0.9247118155619596,0.9284758836617482,0.9247118155619598,
460.0,128.0,4315.0,2776.0,11115.0,,,,,2,DGS,DT-maxBins-4,classification,0,0.925598387358585,0.9247118155619596,0.9284758836617482,0.9247118155619598,
