dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,DT-maxBins-16,0,0,152.23000000000005,train,DT,maxBins,16
DGS,DT-maxBins-16,0,1,163.335,train,DT,maxBins,16
DGS,DT-maxBins-16,0,2,154.51,train,DT,maxBins,16
DGS,DT-maxBins-16,0,0,49.93,test,DT,maxBins,16
DGS,DT-maxBins-32,0,0,166.835,train,DT,maxBins,32
DGS,DT-maxBins-32,0,1,205.92,train,DT,maxBins,32
DGS,DT-maxBins-32,0,2,159.395,train,DT,maxBins,32
DGS,DT-maxBins-32,0,2,51.48,test,DT,maxBins,32
DGS,DT-maxBins-4,0,0,91.74,train,DT,maxBins,4
DGS,DT-maxBins-4,0,1,225.35,train,DT,maxBins,4
DGS,DT-maxBins-4,0,2,168.61,train,DT,maxBins,4
DGS,DT-maxBins-48,0,0,168.77,train,DT,maxBins,48
DGS,DT-maxBins-48,0,1,226.85,train,DT,maxBins,48
DGS,DT-maxBins-48,0,2,213.69,train,DT,maxBins,48
DGS,DT-maxDepth-10,0,0,160.675,train,DT,maxDepth,10
DGS,DT-maxDepth-10,0,1,210.38,train,DT,maxDepth,10
DGS,DT-maxDepth-10,0,2,160.35500000000005,train,DT,maxDepth,10
DGS,DT-maxDepth-10,0,2,50.425,test,DT,maxDepth,10
DGS,DT-maxDepth-15,0,0,261.44,train,DT,maxDepth,15
DGS,DT-maxDepth-15,0,1,209.21,train,DT,maxDepth,15
DGS,DT-maxDepth-15,0,2,208.26,train,DT,maxDepth,15
DGS,DT-maxDepth-20,0,0,409.795,train,DT,maxDepth,20
DGS,DT-maxDepth-20,0,1,300.15,train,DT,maxDepth,20
DGS,DT-maxDepth-20,0,2,201.45,train,DT,maxDepth,20
DGS,DT-maxDepth-20,0,2,53.315,test,DT,maxDepth,20
DGS,DT-maxDepth-5,0,0,99.205,train,DT,maxDepth,5
DGS,DT-maxDepth-5,0,1,96.615,train,DT,maxDepth,5
DGS,DT-maxDepth-5,0,2,153.62,train,DT,maxDepth,5
DGS,DT-maxDepth-5,0,1,51.68,test,DT,maxDepth,5
