dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DGS,DT-maxDepth-15,0,0,65451572,10243224,0,0,train
DGS,DT-maxBins-16,0,0,65451544,10357904,1,0,train
DGS,DT-maxBins-16,0,2,65451572,10144248,0,4,train
DGS,DT-maxBins-16,0,2,65451572,10142784,0,3,train
DGS,DT-maxBins-16,0,2,65451572,10254840,0,2,train
DGS,DT-maxBins-16,0,2,65451572,10468376,0,1,train
DGS,DT-maxBins-16,0,2,65451572,10467960,0,0,train
DGS,DT-maxBins-16,0,1,65451572,10159264,0,4,train
DGS,DT-maxBins-16,0,1,65451572,10158620,0,3,train
DGS,DT-maxBins-16,0,1,65451572,10292916,0,2,train
DGS,DT-maxBins-16,0,1,65451572,10486824,0,1,train
DGS,DT-maxBins-16,0,1,65451572,10487348,0,0,train
DGS,DT-maxBins-16,0,0,65451572,10176024,0,4,train
DGS,DT-maxBins-16,0,0,65451572,10176600,0,3,train
DGS,DT-maxBins-16,0,0,65451572,10288152,0,2,train
DGS,DT-maxBins-16,0,0,65451544,10357396,1,1,train
DGS,DT-maxBins-16,0,0,65451572,10501020,0,1,train
DGS,DT-maxBins-32,0,2,65451544,11397044,3,5,test
DGS,DT-maxBins-32,0,2,65451544,11459880,3,4,train
DGS,DT-maxBins-32,0,2,65451544,11608000,3,3,train
DGS,DT-maxBins-32,0,2,65451544,12135612,3,2,train
DGS,DT-maxBins-32,0,2,65451544,12417280,3,1,train
DGS,DT-maxBins-32,0,2,65451544,12687452,3,0,train
DGS,DT-maxBins-32,0,1,65451544,11416540,3,5,test
DGS,DT-maxBins-32,0,1,65451544,11476832,3,4,train
DGS,DT-maxBins-32,0,1,65451544,11553408,3,3,train
DGS,DT-maxBins-32,0,1,65451544,12121048,3,2,train
DGS,DT-maxBins-32,0,1,65451544,12429892,3,1,train
DGS,DT-maxBins-32,0,1,65451544,12704728,3,0,train
DGS,DT-maxBins-32,0,0,65451544,11222412,3,5,test
DGS,DT-maxBins-32,0,0,65451544,11500512,3,4,train
DGS,DT-maxBins-16,0,0,65451572,10500956,0,0,train
DGS,DT-maxBins-16,0,0,65451544,10135224,1,2,train
DGS,DT-maxBins-16,0,0,65451544,9996732,1,3,train
DGS,DT-maxBins-16,0,0,65451544,9998908,1,4,train
DGS,DT-maxBins-16,0,1,65451544,12755748,3,0,train
DGS,DT-maxBins-16,0,0,65451544,11497832,3,4,train
DGS,DT-maxBins-16,0,0,65451544,11628684,3,3,train
DGS,DT-maxBins-16,0,0,65451544,12215288,3,2,train
DGS,DT-maxBins-16,0,0,65451544,12503784,3,1,train
DGS,DT-maxBins-16,0,0,65451544,12773268,3,0,train
DGS,DT-maxBins-16,0,2,65451544,10222552,2,4,train
DGS,DT-maxBins-16,0,2,65451544,10221692,2,3,train
DGS,DT-maxBins-16,0,2,65451544,10350812,2,2,train
DGS,DT-maxBins-16,0,2,65451544,10600580,2,1,train
DGS,DT-maxBins-16,0,2,65451544,10600536,2,0,train
DGS,DT-maxBins-16,0,1,65451544,10240064,2,4,train
DGS,DT-maxBins-16,0,1,65451544,10240084,2,3,train
DGS,DT-maxBins-16,0,1,65451544,10354896,2,2,train
DGS,DT-maxBins-16,0,1,65451544,10616996,2,1,train
DGS,DT-maxBins-16,0,1,65451544,10616292,2,0,train
DGS,DT-maxBins-16,0,0,65451544,10255880,2,4,train
DGS,DT-maxBins-16,0,1,65451544,10340580,1,0,train
DGS,DT-maxBins-16,0,1,65451544,10340728,1,1,train
DGS,DT-maxBins-16,0,1,65451544,10116476,1,2,train
DGS,DT-maxBins-16,0,1,65451544,9983820,1,3,train
DGS,DT-maxBins-16,0,1,65451544,9983800,1,4,train
DGS,DT-maxBins-16,0,2,65451544,10324288,1,0,train
DGS,DT-maxBins-32,0,0,65451544,11568796,3,3,train
DGS,DT-maxBins-16,0,2,65451544,10324628,1,1,train
DGS,DT-maxBins-16,0,2,65451544,9965464,1,3,train
DGS,DT-maxBins-16,0,2,65451544,9967064,1,4,train
DGS,DT-maxBins-16,0,0,65451544,10632536,2,0,train
DGS,DT-maxBins-16,0,0,65451544,10632808,2,1,train
DGS,DT-maxBins-16,0,0,65451544,10411556,2,2,train
DGS,DT-maxBins-16,0,0,65451544,10253596,2,3,train
DGS,DT-maxBins-16,0,2,65451544,10099072,1,2,train
DGS,DT-maxBins-32,0,0,65451544,12157800,3,2,train
DGS,DT-maxBins-32,0,0,65451544,12448392,3,1,train
DGS,DT-maxBins-32,0,0,65451544,12722020,3,0,train
DGS,DT-maxBins-32,0,0,65451544,10307492,1,0,train
DGS,DT-maxBins-32,0,2,65451572,10088116,0,5,test
DGS,DT-maxBins-32,0,2,65451572,10087336,0,4,train
DGS,DT-maxBins-32,0,2,65451572,10086756,0,3,train
