dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,DT-maxDepth-15,0,0,0,0,0,0,train
DGS,DT-maxBins-16,0,0,0,0,1,0,train
DGS,DT-maxBins-16,0,2,147,1574,0,4,train
DGS,DT-maxBins-16,0,2,3432,8127,0,3,train
DGS,DT-maxBins-16,0,2,4908,3673,0,2,train
DGS,DT-maxBins-16,0,2,95,289,0,1,train
DGS,DT-maxBins-16,0,2,0,0,0,0,train
DGS,DT-maxBins-16,0,1,147,1574,0,4,train
DGS,DT-maxBins-16,0,1,5426,9015,0,3,train
DGS,DT-maxBins-16,0,1,2898,2785,0,2,train
DGS,DT-maxBins-16,0,1,235,795,0,1,train
DGS,DT-maxBins-16,0,1,0,0,0,0,train
DGS,DT-maxBins-16,0,0,454,795,0,4,train
DGS,DT-maxBins-16,0,0,3057,7621,0,3,train
DGS,DT-maxBins-16,0,0,4908,3673,0,2,train
DGS,DT-maxBins-16,0,0,95,290,1,1,train
DGS,DT-maxBins-16,0,0,189,795,0,1,train
DGS,DT-maxBins-32,0,2,123477,16382586,3,5,test
DGS,DT-maxBins-32,0,2,2271,861,3,4,train
DGS,DT-maxBins-32,0,2,40568,30136,3,3,train
DGS,DT-maxBins-32,0,2,230998,230510,3,2,train
DGS,DT-maxBins-32,0,2,16339,13861,3,1,train
DGS,DT-maxBins-32,0,2,0,0,3,0,train
DGS,DT-maxBins-32,0,1,124378,16383564,3,5,test
DGS,DT-maxBins-32,0,1,1764,767,3,4,train
DGS,DT-maxBins-32,0,1,40516,30136,3,3,train
DGS,DT-maxBins-32,0,1,25804,23670,3,2,train
DGS,DT-maxBins-32,0,1,14547,13611,3,1,train
DGS,DT-maxBins-32,0,1,0,0,3,0,train
DGS,DT-maxBins-32,0,0,16393913,16392916,3,5,test
DGS,DT-maxBins-32,0,0,5716,1433,3,4,train
DGS,DT-maxBins-16,0,0,0,0,0,0,train
DGS,DT-maxBins-16,0,0,3176,3190,1,2,train
DGS,DT-maxBins-16,0,0,4833,7329,1,3,train
DGS,DT-maxBins-16,0,0,360,290,1,4,train
DGS,DT-maxBins-16,0,1,0,0,3,0,train
DGS,DT-maxBins-16,0,0,6074,3167,3,4,train
DGS,DT-maxBins-16,0,0,35731,28585,3,3,train
DGS,DT-maxBins-16,0,0,23829,24034,3,2,train
DGS,DT-maxBins-16,0,0,14897,13809,3,1,train
DGS,DT-maxBins-16,0,0,0,0,3,0,train
DGS,DT-maxBins-16,0,2,147,1575,2,4,train
DGS,DT-maxBins-16,0,2,5020,6822,2,3,train
DGS,DT-maxBins-16,0,2,3270,3697,2,2,train
DGS,DT-maxBins-16,0,2,95,290,2,1,train
DGS,DT-maxBins-16,0,2,0,0,2,0,train
DGS,DT-maxBins-16,0,1,242,1865,2,4,train
DGS,DT-maxBins-16,0,1,3322,6337,2,3,train
DGS,DT-maxBins-16,0,1,5004,4182,2,2,train
DGS,DT-maxBins-16,0,1,141,290,2,1,train
DGS,DT-maxBins-16,0,1,0,0,2,0,train
DGS,DT-maxBins-16,0,0,360,290,2,4,train
DGS,DT-maxBins-16,0,1,0,0,1,0,train
DGS,DT-maxBins-16,0,1,141,290,1,1,train
DGS,DT-maxBins-16,0,1,3280,3467,1,2,train
DGS,DT-maxBins-16,0,1,5046,7052,1,3,train
DGS,DT-maxBins-16,0,1,95,290,1,4,train
DGS,DT-maxBins-16,0,2,0,0,1,0,train
DGS,DT-maxBins-32,0,0,245610,236642,3,3,train
DGS,DT-maxBins-16,0,2,190,580,1,1,train
DGS,DT-maxBins-16,0,2,5062,7052,1,3,train
DGS,DT-maxBins-16,0,2,147,1575,1,4,train
DGS,DT-maxBins-16,0,0,0,0,2,0,train
