dataset,algorithm,platformId,runId,Energy,phase
DGS,DT,0,2,800.1099999999999,train
DGS,DT,0,1,225.73000000000002,train
DGS,DT,0,0,334.37,train
DGS,DT,0,0,52.87835,test
DGS,DT,0,1,50.9,test
DGS,DT,0,2,53.3856,test
DGS,DT,1,0,488.35,train
DGS,DT,1,1,34.31538,test
DGS,DT,1,0,43.74453999999999,test
DGS,DT,1,2,33.94867,test
DGS,DT,1,1,498.95000000000005,train
DGS,DT,1,2,512.4200000000001,train
DGS,DT,2,1,454.5,train
DGS,DT,2,2,506.35,train
DGS,DT,2,0,30.39036,test
DGS,DT,2,0,176.47499999999997,train
DGS,DT,2,1,44.43184,test
DGS,DT,2,2,42.27552,test
DGS,DT,3,2,38.8808,test
DGS,DT,3,1,38.95649999999999,test
DGS,DT,3,1,456.375,train
DGS,DT,3,2,494.645,train
DGS,DT,3,0,385.985,train
DGS,DT,3,0,42.7924,test
DGS,DT,4,2,603.19,train
DGS,DT,4,1,320.43,train
DGS,DT,4,0,621.575,train
DGS,DT,4,0,67.319,test
DGS,DT,4,2,45.837,test
DGS,DT,4,1,57.3024,test
DGS,DT,5,1,79.3131,test
DGS,DT,5,0,76.34,test
DGS,DT,5,1,390.44,train
DGS,DT,5,2,557.4350000000001,train
DGS,DT,5,0,476.57,train
DGS,DT,5,2,72.519,test
DGS,DT,6,2,639.1099999999999,train
DGS,DT,6,1,662.74,train
DGS,DT,6,2,90.48159999999999,test
DGS,DT,6,1,61.0558,test
DGS,DT,6,0,50.32668000000001,test
DGS,DT,6,0,688.0799999999999,train
DGS,DT,7,0,722.865,train
DGS,DT,7,1,70.50240000000001,test
DGS,DT,7,2,79.4486,test
DGS,DT,7,2,794.22,train
DGS,DT,7,1,807.4200000000001,train
DGS,DT,7,0,77.46109999999999,test
DGS,DT,8,0,892.8199999999999,train
DGS,DT,8,1,314.80000000000007,train
DGS,DT,8,0,73.34960000000001,test
DGS,DT,8,1,74.2788,test
DGS,DT,8,2,81.85370000000002,test
DGS,DT,8,2,347.76,train
DGS,DT,9,0,62.945499999999996,test
DGS,DT,9,2,49.9105,test
DGS,DT,9,1,55.6512,test
DGS,DT,9,2,632.05,train
DGS,DT,9,1,443.97,train
DGS,DT,9,0,523.55,train
DGS,DT,10,2,52.60499999999999,test
DGS,DT,10,1,310.65,train
DGS,DT,10,2,239.02000000000004,train
DGS,DT,10,1,44.8722,test
DGS,DT,10,0,67.5096,test
DGS,DT,10,0,481.91999999999996,train
DGS,DT,11,2,60.15239999999999,test
DGS,DT,11,1,59.8808,test
DGS,DT,11,0,49.2408,test
DGS,DT,11,0,542.26,train
DGS,DT,11,2,559.3,train
DGS,DT,11,1,574.6999999999999,train
DGS,DT,12,0,42.10289999999999,test
DGS,DT,12,0,741.9500000000002,train
DGS,DT,12,2,272.895,train
DGS,DT,12,1,43.7184,test
DGS,DT,12,1,148.23499999999999,train
DGS,DT,12,2,45.521,test
DGS,DT,13,1,50.2362,test
DGS,DT,13,2,58.9002,test
DGS,DT,13,0,599.3,train
DGS,DT,13,1,485.98,train
DGS,DT,13,2,695.95,train
DGS,DT,13,0,43.3,test
DGS,DT,14,0,714.35,train
DGS,DT,14,1,556.74,train
DGS,DT,14,1,47.544,test
DGS,DT,14,2,46.629,test
DGS,DT,14,2,428.20000000000005,train
DGS,DT,14,0,57.72390000000001,test
DGS,DT,15,0,67.26769999999999,test
DGS,DT,15,1,569.325,train
DGS,DT,15,2,425.63,train
DGS,DT,15,2,47.785,test
DGS,DT,15,1,50.459199999999996,test
DGS,DT,15,0,345.145,train
DGS,DT,16,0,52.32104,test
DGS,DT,16,1,57.2064,test
DGS,DT,16,0,518.32,train
DGS,DT,16,1,505.99,train
DGS,DT,16,2,641.7550000000001,train
DGS,DT,16,2,51.4227,test
DGS,DT,17,1,380.76,train
DGS,DT,17,2,56.586600000000004,test
DGS,DT,17,1,55.366800000000005,test
DGS,DT,17,2,804.9649999999999,train
DGS,DT,17,0,311.495,train
DGS,DT,17,0,55.176,test
DGS,DT,18,0,805.0250000000001,train
DGS,DT,18,0,45.559200000000004,test
DGS,DT,18,1,52.35659999999999,test
DGS,DT,18,1,735.6949999999999,train
DGS,DT,18,2,952.7,train
DGS,DT,18,2,65.72,test
DGS,DT,19,2,836.4749999999999,train
DGS,DT,19,2,51.205,test
DGS,DT,19,1,52.52720000000001,test
DGS,DT,19,1,512.0100000000001,train
DGS,DT,19,0,589.085,train
DGS,DT,19,0,52.4552,test
DGS,DT,20,0,1103.2500000000002,train
DGS,DT,20,2,46.516799999999996,test
DGS,DT,20,1,49.202999999999996,test
DGS,DT,20,2,879.05,train
DGS,DT,20,1,624.0999999999999,train
DGS,DT,20,0,54.108200000000004,test
DGS,DT,21,2,46.1663,test
DGS,DT,21,1,55.696,test
DGS,DT,21,0,45.922799999999995,test
DGS,DT,21,0,714.975,train
DGS,DT,21,1,850.8,train
DGS,DT,21,2,585.2199999999998,train
DGS,DT,22,1,680.72,train
DGS,DT,22,0,546.44,train
DGS,DT,22,2,49.47,test
DGS,DT,22,2,883.1000000000001,train
DGS,DT,22,1,44.4652,test
DGS,DT,22,0,62.85059999999999,test
DGS,DT,23,2,43.7235,test
DGS,DT,23,1,54.6951,test
DGS,DT,23,2,712.9750000000001,train
DGS,DT,23,0,43.78484,test
DGS,DT,23,1,810.5049999999999,train
DGS,DT,23,0,416.02,train
DGS,DT,24,1,701.4,train
DGS,DT,24,0,586.2249999999999,train
DGS,DT,24,0,56.67430000000001,test
DGS,DT,24,1,50.605599999999995,test
DGS,DT,24,2,868.5000000000001,train
DGS,DT,24,2,46.55,test
DGS,DT,25,1,636.94,train
DGS,DT,25,2,53.5429,test
DGS,DT,25,1,53.6956,test
DGS,DT,25,0,44.6605,test
DGS,DT,25,0,445.9349999999999,train
DGS,DT,25,2,714.38,train
DGS,DT,26,0,44.5904,test
DGS,DT,26,2,48.2226,test
DGS,DT,26,1,49.8,test
DGS,DT,26,0,896.6999999999999,train
DGS,DT,26,1,595.95,train
DGS,DT,26,2,1106.6,train
DGS,DT,27,0,46.495,test
DGS,DT,27,2,45.1659,test
DGS,DT,27,2,649.5600000000001,train
DGS,DT,27,1,805.595,train
DGS,DT,27,0,766.3499999999999,train
DGS,DT,27,1,54.693,test
DGS,DT,28,0,52.734,test
DGS,DT,28,2,47.6398,test
DGS,DT,28,1,539.885,train
DGS,DT,28,2,1126.6000000000001,train
DGS,DT,28,1,47.59499999999999,test
DGS,DT,28,0,1123.4999999999998,train
DGS,DT,29,0,43.941,test
DGS,DT,29,1,678.6099999999999,train
DGS,DT,29,2,664.135,train
DGS,DT,29,1,55.1448,test
DGS,DT,29,2,49.13818,test
DGS,DT,29,0,378.57500000000005,train
DGS,DT,30,2,372.20500000000004,train
DGS,DT,30,0,53.22299999999999,test
DGS,DT,30,1,48.601,test
DGS,DT,30,1,649.8199999999999,train
DGS,DT,30,0,357.905,train
DGS,DT,30,2,52.958400000000005,test
DGS,DT,31,2,234.42,train
DGS,DT,31,1,49.8797,test
DGS,DT,31,2,48.28300000000001,test
DGS,DT,31,0,715.46,train
DGS,DT,31,0,42.556799999999996,test
DGS,DT,31,1,462.185,train
DGS,DT,32,2,60.876,test
DGS,DT,32,0,491.84000000000003,train
DGS,DT,32,0,45.739,test
DGS,DT,32,1,224.95999999999998,train
DGS,DT,32,1,44.2104,test
DGS,DT,32,2,371.245,train
DGS,DT,33,1,415.84000000000003,train
DGS,DT,33,0,396.86,train
DGS,DT,33,1,43.22712,test
DGS,DT,33,0,38.96,test
DGS,DT,33,2,248.20500000000004,train
DGS,DT,33,2,51.260400000000004,test
DGS,DT,34,0,44.767,test
DGS,DT,34,0,406.925,train
DGS,DT,34,1,240.925,train
DGS,DT,34,2,362.07500000000005,train
DGS,DT,34,1,46.5291,test
DGS,DT,34,2,44.7151,test
DGS,DT,35,0,44.989799999999995,test
DGS,DT,35,2,47.851600000000005,test
DGS,DT,35,1,230.695,train
DGS,DT,35,1,49.979699999999994,test
DGS,DT,35,0,257.72,train
DGS,DT,35,2,357.68499999999995,train
DGS,DT,36,2,42.47127,test
DGS,DT,36,0,449.355,train
DGS,DT,36,2,154.185,train
DGS,DT,36,1,263.185,train
DGS,DT,36,1,51.0976,test
DGS,DT,36,0,46.35,test
DGS,DT,37,2,52.781200000000005,test
DGS,DT,37,0,57.0349,test
DGS,DT,37,0,521.095,train
DGS,DT,37,1,250.435,train
DGS,DT,37,2,701.1349999999999,train
DGS,DT,38,2,203.67000000000002,train
DGS,DT,38,1,914.5150000000001,train
DGS,DT,38,0,179.985,train
DGS,DT,38,2,51.66,test
DGS,DT,38,1,54.9682,test
DGS,DT,39,0,560.6949999999999,train
DGS,DT,39,1,249.90500000000003,train
DGS,DT,39,2,54.766,test
DGS,DT,39,1,52.2915,test
DGS,DT,39,0,52.9774,test
DGS,DT,39,2,641.7750000000001,train
DGS,DT,40,0,252.21499999999997,train
DGS,DT,40,1,360.6,train
DGS,DT,40,2,243.07,train
DGS,DT,40,0,52.06180000000001,test
DGS,DT,40,1,47.369,test
DGS,DT,40,2,50.6018,test
DGS,DT,41,1,194.445,train
DGS,DT,41,0,468.21000000000004,train
DGS,DT,41,2,51.074799999999996,test
DGS,DT,41,1,55.941100000000006,test
DGS,DT,41,0,55.176899999999996,test
DGS,DT,41,2,588.3,train
DGS,DT,42,2,47.241,test
DGS,DT,42,2,306.58500000000004,train
DGS,DT,42,1,49.71470000000001,test
DGS,DT,42,1,911.1650000000002,train
DGS,DT,42,0,53.2467,test
DGS,DT,42,0,159.245,train
DGS,DT,43,0,376.57,train
DGS,DT,43,1,720.5250000000001,train
DGS,DT,43,2,49.5,test
DGS,DT,43,1,50.031600000000005,test
DGS,DT,43,0,54.8104,test
DGS,DT,43,2,942.365,train
DGS,DT,44,0,46.472879999999996,test
DGS,DT,44,1,791.4550000000002,train
DGS,DT,44,2,835.905,train
DGS,DT,44,1,49.588,test
DGS,DT,44,0,457.92499999999995,train
DGS,DT,44,2,49.845600000000005,test
DGS,DT,45,2,55.06699999999999,test
DGS,DT,45,1,52.406200000000005,test
DGS,DT,45,0,49.421679999999995,test
DGS,DT,45,2,825.1999999999999,train
DGS,DT,45,1,482.97,train
DGS,DT,45,0,397.33,train
DGS,DT,46,1,51.429,test
DGS,DT,46,0,51.5406,test
DGS,DT,46,2,598.86,train
DGS,DT,46,1,560.355,train
DGS,DT,46,0,676.735,train
DGS,DT,46,2,48.2724,test
