dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,DT,0,1,5350,4479,2,2,train
DGS,DT,0,2,3151,8127,0,3,train
DGS,DT,0,2,5140,4889,0,2,train
DGS,DT,0,2,95,289,0,1,train
DGS,DT,0,2,0,0,0,0,train
DGS,DT,0,1,6650320,52647,0,4,train
DGS,DT,0,1,2710,6713,0,3,train
DGS,DT,0,1,5529,5018,0,2,train
DGS,DT,0,1,95,289,0,1,train
DGS,DT,0,1,0,0,0,0,train
DGS,DT,0,0,11571491,86453,0,5,test
DGS,DT,0,0,4943872,40025,0,4,train
DGS,DT,0,0,2487,5934,0,3,train
DGS,DT,0,0,5435,4512,0,2,train
DGS,DT,0,0,95,289,0,1,train
DGS,DT,0,2,141,289,0,4,train
DGS,DT,0,0,0,0,0,0,train
DGS,DT,0,0,19180,18657,3,1,train
DGS,DT,0,0,23732,23524,3,2,train
DGS,DT,0,0,37122,29564,3,3,train
DGS,DT,0,0,1861,1277,3,4,train
DGS,DT,0,0,125548,16382639,3,5,test
DGS,DT,0,1,0,0,3,0,train
DGS,DT,0,1,19083,18147,3,1,train
DGS,DT,0,1,24290,23670,3,2,train
DGS,DT,0,1,36765,30032,3,3,train
DGS,DT,0,1,3314,819,3,4,train
DGS,DT,0,2,0,0,3,0,train
DGS,DT,0,2,18926,17991,3,1,train
DGS,DT,0,2,25166,24138,3,2,train
DGS,DT,0,2,38103,29046,3,3,train
DGS,DT,0,0,0,0,3,0,train
DGS,DT,0,2,5059,1597,3,4,train
DGS,DT,0,2,95,289,0,5,test
DGS,DT,0,2,10049,2248,2,4,train
DGS,DT,0,0,5340,4691,1,2,train
DGS,DT,0,0,2669,5828,1,3,train
DGS,DT,0,0,95,290,1,4,train
DGS,DT,0,0,454,797,1,5,test
DGS,DT,0,1,0,0,1,0,train
DGS,DT,0,1,189,797,1,1,train
DGS,DT,0,1,4910,3675,1,2,train
DGS,DT,0,1,3270,6337,1,3,train
DGS,DT,0,1,241,2082,1,4,train
DGS,DT,0,2,0,0,1,0,train
DGS,DT,0,2,95,290,1,1,train
DGS,DT,0,2,5175,3675,1,2,train
DGS,DT,0,2,3151,8129,1,3,train
DGS,DT,0,2,141,290,1,4,train
DGS,DT,0,2,16502259,102041,2,5,test
DGS,DT,0,2,95,290,1,5,test
DGS,DT,0,0,95,290,2,1,train
DGS,DT,0,0,4919,4113,2,2,train
DGS,DT,0,0,3057,6337,2,3,train
DGS,DT,0,0,95,290,2,4,train
DGS,DT,0,0,454,797,2,5,test
DGS,DT,0,1,0,0,2,0,train
DGS,DT,0,1,95,290,2,1,train
DGS,DT,0,0,95,290,1,1,train
DGS,DT,0,1,2976,6040,2,3,train
DGS,DT,0,1,147,1575,2,4,train
DGS,DT,0,2,0,0,2,0,train
DGS,DT,0,2,95,290,2,1,train
DGS,DT,0,2,5269,4182,2,2,train
