dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DGS,GBT-maxDepth-10-maxIter-10,1,0,1477.6649999999993,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,1,1,1460.8500000000006,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,1,2,1729.185,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,2,0,1664.65,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,2,1,1737.245,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,2,2,1684.41,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,3,0,1847.975,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,3,1,1869.83,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,3,2,1882.925,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,4,0,1958.85,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,4,1,1989.015,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,4,2,2094.59,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,5,0,1402.92,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,5,1,1397.0749999999996,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,5,2,1335.66,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,6,0,1662.66,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,6,1,1740.9699999999998,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,6,2,1690.55,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,7,0,1810.37,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,7,1,1890.36,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,7,2,1780.265,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,8,0,1766.7250000000006,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,8,1,1996.455,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,8,2,1826.38,train,GBT,maxDepth,10.0,maxIter,10
DGS,GBT-maxDepth-10-maxIter-10,9,0,1491.05,train,GBT,maxDepth,10.0,maxIter,10
