dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,GBT-maxBins-16,0,0,1733.0400000000004,train,GBT,maxBins,16
DGS,GBT-maxBins-16,0,1,1576.6549999999993,train,GBT,maxBins,16
DGS,GBT-maxBins-16,0,2,1485.395,train,GBT,maxBins,16
DGS,GBT-maxBins-16,0,0,79.285,test,GBT,maxBins,16
DGS,GBT-maxBins-16,0,1,96.85,test,GBT,maxBins,16
DGS,GBT-maxBins-32,0,0,1673.37,train,GBT,maxBins,32
DGS,GBT-maxBins-32,0,1,1843.215,train,GBT,maxBins,32
DGS,GBT-maxBins-32,0,2,1551.13,train,GBT,maxBins,32
DGS,GBT-maxBins-32,0,1,69.115,test,GBT,maxBins,32
DGS,GBT-maxBins-32,0,2,97.935,test,GBT,maxBins,32
DGS,GBT-maxBins-4,0,0,1314.03,train,GBT,maxBins,4
DGS,GBT-maxBins-4,0,1,1135.855,train,GBT,maxBins,4
DGS,GBT-maxBins-4,0,2,1216.0300000000002,train,GBT,maxBins,4
DGS,GBT-maxBins-4,0,0,32.69,test,GBT,maxBins,4
DGS,GBT-maxBins-4,0,1,128.5,test,GBT,maxBins,4
DGS,GBT-maxBins-48,0,0,1549.9100000000005,train,GBT,maxBins,48
DGS,GBT-maxBins-48,0,1,1999.325,train,GBT,maxBins,48
DGS,GBT-maxBins-48,0,2,1627.385,train,GBT,maxBins,48
DGS,GBT-maxBins-48,0,0,40.72,test,GBT,maxBins,48
DGS,GBT-maxBins-48,0,1,38.75,test,GBT,maxBins,48
DGS,GBT-maxBins-48,0,2,44.41,test,GBT,maxBins,48
DGS,GBT-maxDepth-10,0,0,1646.0400000000004,train,GBT,maxDepth,10
DGS,GBT-maxDepth-10,0,1,1557.1549999999993,train,GBT,maxDepth,10
DGS,GBT-maxDepth-10,0,2,1639.245,train,GBT,maxDepth,10
DGS,GBT-maxDepth-10,0,0,44.40000000000001,test,GBT,maxDepth,10
DGS,GBT-maxDepth-15,0,0,2390.0650000000005,train,GBT,maxDepth,15
DGS,GBT-maxDepth-15,0,1,2634.19,train,GBT,maxDepth,15
DGS,GBT-maxDepth-15,0,2,2333.105,train,GBT,maxDepth,15
DGS,GBT-maxDepth-15,0,0,117.45,test,GBT,maxDepth,15
DGS,GBT-maxDepth-15,0,1,79.55499999999998,test,GBT,maxDepth,15
DGS,GBT-maxDepth-15,0,2,65.55,test,GBT,maxDepth,15
DGS,GBT-maxDepth-20,0,0,3142.01,train,GBT,maxDepth,20
DGS,GBT-maxDepth-20,0,1,2935.78,train,GBT,maxDepth,20
DGS,GBT-maxDepth-20,0,2,1968.74,train,GBT,maxDepth,20
DGS,GBT-maxDepth-20,0,0,60.13,test,GBT,maxDepth,20
DGS,GBT-maxDepth-20,0,1,39.64,test,GBT,maxDepth,20
DGS,GBT-maxDepth-20,0,2,51.8,test,GBT,maxDepth,20
DGS,GBT-maxDepth-5,0,0,693.055,train,GBT,maxDepth,5
DGS,GBT-maxDepth-5,0,1,707.885,train,GBT,maxDepth,5
DGS,GBT-maxDepth-5,0,2,982.35,train,GBT,maxDepth,5
DGS,GBT-maxIter-10,0,0,1767.12,train,GBT,maxIter,10
DGS,GBT-maxIter-10,0,1,1866.885,train,GBT,maxIter,10
DGS,GBT-maxIter-10,0,2,1630.005,train,GBT,maxIter,10
DGS,GBT-maxIter-10,0,2,77.80000000000003,test,GBT,maxIter,10
DGS,GBT-maxIter-100,0,0,25805.385,train,GBT,maxIter,100
DGS,GBT-maxIter-100,0,1,27412.0,train,GBT,maxIter,100
DGS,GBT-maxIter-100,0,2,27559.6,train,GBT,maxIter,100
DGS,GBT-maxIter-100,0,2,89.45,test,GBT,maxIter,100
DGS,GBT-maxIter-15,0,0,2565.16,train,GBT,maxIter,15
DGS,GBT-maxIter-15,0,1,3270.315,train,GBT,maxIter,15
DGS,GBT-maxIter-15,0,2,3103.7000000000007,train,GBT,maxIter,15
DGS,GBT-maxIter-15,0,1,44.11,test,GBT,maxIter,15
DGS,GBT-maxIter-20,0,0,3659.37,train,GBT,maxIter,20
DGS,GBT-maxIter-20,0,1,4192.2,train,GBT,maxIter,20
DGS,GBT-maxIter-20,0,2,3310.03,train,GBT,maxIter,20
DGS,GBT-maxIter-20,0,0,92.27,test,GBT,maxIter,20
DGS,GBT-maxIter-5,0,0,1285.05,train,GBT,maxIter,5
DGS,GBT-maxIter-5,0,1,1374.0499999999995,train,GBT,maxIter,5
DGS,GBT-maxIter-5,0,2,1068.135,train,GBT,maxIter,5
DGS,GBT-maxIter-5,0,1,92.2,test,GBT,maxIter,5
DGS,GBT-maxIter-5,0,2,94.55,test,GBT,maxIter,5
DGS,GBT-maxIter-50,0,0,11215.87,train,GBT,maxIter,50
DGS,GBT-maxIter-50,0,1,11119.49,train,GBT,maxIter,50
DGS,GBT-maxIter-50,0,2,10126.97,train,GBT,maxIter,50
DGS,GBT-maxIter-50,0,1,92.55,test,GBT,maxIter,50
DGS,GBT-stepSize-0.003,0,0,1893.36,train,GBT,stepSize,0.003
DGS,GBT-stepSize-0.003,0,1,1675.9700000000007,train,GBT,stepSize,0.003
DGS,GBT-stepSize-0.003,0,2,1948.175,train,GBT,stepSize,0.003
DGS,GBT-stepSize-0.3,0,0,1840.67,train,GBT,stepSize,0.3
DGS,GBT-stepSize-0.3,0,1,1543.805,train,GBT,stepSize,0.3
DGS,GBT-stepSize-0.3,0,2,1553.785,train,GBT,stepSize,0.3
