dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DGS,GBT,0,1,0.004932182490752113,2,15,train
DGS,GBT,0,2,0.40745341614906827,0,16,train
DGS,GBT,0,2,0.19581280788177335,0,17,train
DGS,GBT,0,2,0.25402726146220567,0,18,train
DGS,GBT,0,2,0.16152897657213314,0,19,train
DGS,GBT,0,2,0.15802469135802466,0,20,train
DGS,GBT,0,2,0.1393034825870647,0,21,train
DGS,GBT,0,2,0.16646115906288528,0,22,train
DGS,GBT,0,2,0.16891064871481032,0,23,train
DGS,GBT,0,2,0.16997518610421836,0,24,train
DGS,GBT,0,2,0.12207151664611594,0,25,test
DGS,GBT,0,2,0.1995073891625616,2,24,train
DGS,GBT,0,2,0.1635916359163591,2,23,train
DGS,GBT,0,2,0.1948212083847103,2,22,train
DGS,GBT,0,2,0.21766169154228848,2,21,train
DGS,GBT,0,2,0.25802469135802464,2,20,train
DGS,GBT,0,2,0.20822942643391518,2,19,train
DGS,GBT,0,2,0.345252774352651,2,18,train
DGS,GBT,0,2,0.3147459727385377,2,17,train
DGS,GBT,0,2,0.2509316770186335,2,16,train
DGS,GBT,0,2,0.03101736972704716,2,15,train
DGS,GBT,0,2,0.0012391573729864105,2,14,train
DGS,GBT,0,2,0.003708281829419069,2,13,train
DGS,GBT,0,2,0.045848822800495626,2,12,train
DGS,GBT,0,2,0.3519206939281288,2,11,train
DGS,GBT,0,2,0.3498145859085291,2,10,train
DGS,GBT,0,2,0.008728179551122149,0,15,train
DGS,GBT,0,2,0.2555831265508684,2,9,train
DGS,GBT,0,2,0.001240694789081842,0,14,train
DGS,GBT,0,2,0.0,0,12,train
DGS,GBT,0,1,0.001242236024844745,0,13,train
DGS,GBT,0,1,0.001240694789081842,0,14,train
DGS,GBT,0,1,0.001242236024844745,0,15,train
DGS,GBT,0,1,0.3121890547263681,0,16,train
DGS,GBT,0,1,0.45093167701863357,0,17,train
DGS,GBT,0,1,0.31604938271604943,0,18,train
DGS,GBT,0,1,0.3092909535452323,0,19,train
DGS,GBT,0,1,0.2908415841584159,0,20,train
DGS,GBT,0,1,0.22140221402214022,0,21,train
DGS,GBT,0,1,0.19454770755885994,0,22,train
DGS,GBT,0,1,0.18788627935723112,0,23,train
DGS,GBT,0,1,0.17428924598269468,0,24,train
DGS,GBT,0,1,0.20146520146520147,0,25,test
DGS,GBT,0,2,0.11360762759472545,0,0,train
DGS,GBT,0,2,0.002481389578163795,0,1,train
DGS,GBT,0,2,0.22466422466422462,0,2,train
DGS,GBT,0,2,0.11524163568773238,0,3,train
DGS,GBT,0,2,0.004962779156327589,0,4,train
DGS,GBT,0,2,0.003726708074534124,0,5,train
DGS,GBT,0,2,0.16687422166874222,0,6,train
DGS,GBT,0,2,0.37330037082818285,0,7,train
DGS,GBT,0,2,0.310727496917386,0,8,train
DGS,GBT,0,2,0.18034825870646767,0,9,train
DGS,GBT,0,2,0.30123456790123465,0,10,train
DGS,GBT,0,2,0.001242236024844745,0,11,train
DGS,GBT,0,2,0.002481389578163795,0,13,train
DGS,GBT,0,2,0.30778739184177994,2,8,train
DGS,GBT,0,2,0.31488314883148827,2,7,train
DGS,GBT,0,2,0.1554726368159204,2,6,train
DGS,GBT,0,1,0.12525385954864832,2,0,train
DGS,GBT,0,0,0.1600496277915633,2,25,test
DGS,GBT,0,0,0.17417783191230207,2,24,train
DGS,GBT,0,0,0.09950859950859947,2,23,train
DGS,GBT,0,0,0.16605166051660514,2,22,train
DGS,GBT,0,0,0.09471094710947113,2,21,train
DGS,GBT,0,0,0.16502463054187191,2,20,train
DGS,GBT,0,0,0.27791563275434233,2,19,train
DGS,GBT,0,0,0.3620689655172413,2,18,train
DGS,GBT,0,0,0.35403726708074545,2,17,train
DGS,GBT,0,0,0.38936959208899885,2,16,train
DGS,GBT,0,0,0.003708281829419069,2,15,train
DGS,GBT,0,0,0.006157635467980316,2,14,train
DGS,GBT,0,0,0.004938271604938316,2,13,train
DGS,GBT,0,0,0.002475247524752477,2,12,train
DGS,GBT,0,0,0.15061728395061724,2,11,train
DGS,GBT,0,0,0.35411471321695764,2,10,train
DGS,GBT,0,0,0.21059113300492607,2,9,train
DGS,GBT,0,0,0.30321782178217827,2,8,train
DGS,GBT,0,0,0.30970149253731344,2,7,train
DGS,GBT,0,0,0.15724815724815722,2,6,train
DGS,GBT,0,0,0.002478314745972709,2,5,train
DGS,GBT,0,0,0.009876543209876519,2,4,train
DGS,GBT,0,0,0.14534161490683226,2,3,train
DGS,GBT,0,0,0.2085889570552148,2,2,train
DGS,GBT,0,1,0.003708281829419069,2,1,train
DGS,GBT,0,1,0.19702602230483268,2,2,train
DGS,GBT,0,1,0.15270935960591137,2,3,train
DGS,GBT,0,1,0.011083743842364546,2,4,train
DGS,GBT,0,2,0.003712871287128716,2,5,train
DGS,GBT,0,2,0.00864197530864197,2,4,train
DGS,GBT,0,2,0.14391143911439117,2,3,train
