dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,GBT,0,1,0.8100135880675329,65451544,12434904,2,15,train
DGS,GBT,0,2,0.8145486864700515,65451572,12138080,0,16,train
DGS,GBT,0,2,0.8146576525312486,65451572,12130948,0,17,train
DGS,GBT,0,2,0.8150152298863044,65451572,12107544,0,18,train
DGS,GBT,0,2,0.815110261981179,65451572,12101324,0,19,train
DGS,GBT,0,2,0.816452750745238,65451572,12013456,0,20,train
DGS,GBT,0,2,0.8165667281452003,65451572,12005996,0,21,train
DGS,GBT,0,2,0.8167257464801609,65451572,11995588,0,22,train
DGS,GBT,0,2,0.8187442159525213,65451572,11863476,0,23,train
DGS,GBT,0,2,0.8194014958112847,65451572,11820456,0,24,train
DGS,GBT,0,2,0.8193103750052023,65451572,11826420,0,25,test
DGS,GBT,0,2,0.8306216275050746,65451544,11086076,2,24,train
DGS,GBT,0,2,0.8287688369887806,65451544,11207344,2,23,train
DGS,GBT,0,2,0.8286393366060242,65451544,11215820,2,22,train
DGS,GBT,0,2,0.8286492370600149,65451544,11215172,2,21,train
DGS,GBT,0,2,0.8255057818040167,65451544,11420916,2,20,train
DGS,GBT,0,2,0.8185642801642693,65451544,11875248,2,19,train
DGS,GBT,0,2,0.8178442971490482,65451544,11922372,2,18,train
DGS,GBT,0,2,0.8176563107510496,65451544,11934676,2,17,train
DGS,GBT,0,2,0.8175971524827589,65451544,11938548,2,16,train
DGS,GBT,0,2,0.8174804249079288,65451544,11946188,2,15,train
DGS,GBT,0,2,0.8174466289137503,65451544,11948400,2,14,train
DGS,GBT,0,2,0.8174344672449592,65451544,11949196,2,13,train
DGS,GBT,0,2,0.8174267668918551,65451544,11949700,2,12,train
DGS,GBT,0,2,0.8174157052735074,65451544,11950424,2,11,train
DGS,GBT,0,2,0.8105574407839791,65451544,12399308,2,10,train
DGS,GBT,0,2,0.8125066881510501,65451572,12271732,0,15,train
DGS,GBT,0,2,0.8101756621661973,65451544,12424296,2,9,train
DGS,GBT,0,2,0.8124082336784821,65451572,12278176,0,14,train
DGS,GBT,0,2,0.812391610701115,65451572,12279264,0,12,train
DGS,GBT,0,1,0.817090963071139,65451572,11971684,0,13,train
DGS,GBT,0,1,0.8170993967875974,65451572,11971132,0,14,train
DGS,GBT,0,1,0.8171114362234111,65451572,11970344,0,15,train
DGS,GBT,0,1,0.8172939222911254,65451572,11958400,0,16,train
DGS,GBT,0,1,0.8217526692865376,65451572,11666568,0,17,train
DGS,GBT,0,1,0.8237195586379499,65451572,11537832,0,18,train
DGS,GBT,0,1,0.8239552137876841,65451572,11522408,0,19,train
DGS,GBT,0,1,0.8272509635062699,65451572,11306696,0,20,train
DGS,GBT,0,1,0.8274653510231962,65451572,11292664,0,21,train
