dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,GBT,0,1,95,290,2,15,train
DGS,GBT,0,2,8325918,2572433,0,16,train
DGS,GBT,0,2,676573,338090,0,17,train
DGS,GBT,0,2,3462220,2200134,0,18,train
DGS,GBT,0,2,2747601,2770539,0,19,train
DGS,GBT,0,2,5102477,2936977,0,20,train
DGS,GBT,0,2,5704588,3738740,0,21,train
DGS,GBT,0,2,7388698,4097922,0,22,train
DGS,GBT,0,2,8038554,3385412,0,23,train
DGS,GBT,0,2,10422203,4659610,0,24,train
DGS,GBT,0,2,5942581,3807408,0,25,test
DGS,GBT,0,2,5931683,7777802,2,24,train
DGS,GBT,0,2,5753341,5553651,2,23,train
DGS,GBT,0,2,5735455,6737929,2,22,train
DGS,GBT,0,2,5247765,5446377,2,21,train
DGS,GBT,0,2,5132277,4265823,2,20,train
DGS,GBT,0,2,3089413,3369293,2,19,train
DGS,GBT,0,2,3326463,2899884,2,18,train
DGS,GBT,0,2,953895,414258,2,17,train
DGS,GBT,0,2,1990141,3043620,2,16,train
DGS,GBT,0,2,732846,70364,2,15,train
DGS,GBT,0,2,95,290,2,14,train
DGS,GBT,0,2,95,290,2,13,train
DGS,GBT,0,2,40803,11608,2,12,train
DGS,GBT,0,2,11207104,28697,2,11,train
DGS,GBT,0,2,5839578,45511,2,10,train
DGS,GBT,0,2,40701,5314,0,15,train
DGS,GBT,0,2,6226583,37649,2,9,train
DGS,GBT,0,2,388,2369,0,14,train
DGS,GBT,0,2,95,289,0,12,train
DGS,GBT,0,1,95,289,0,13,train
DGS,GBT,0,1,95,289,0,14,train
DGS,GBT,0,1,189,795,0,15,train
DGS,GBT,0,1,8979840,3943700,0,16,train
DGS,GBT,0,1,598066,221065,0,17,train
DGS,GBT,0,1,2703236,1661621,0,18,train
DGS,GBT,0,1,5514855,5911184,0,19,train
DGS,GBT,0,1,5306223,5154901,0,20,train
DGS,GBT,0,1,5659811,6048772,0,21,train
DGS,GBT,0,1,6865930,7959348,0,22,train
DGS,GBT,0,1,5059232,5129602,0,23,train
DGS,GBT,0,1,6550062,6792925,0,24,train
DGS,GBT,0,1,6832811,6604189,0,25,test
DGS,GBT,0,2,0,0,0,0,train
DGS,GBT,0,2,95,289,0,1,train
DGS,GBT,0,2,5054,4179,0,2,train
DGS,GBT,0,2,3005,6336,0,3,train
DGS,GBT,0,2,95,289,0,4,train
DGS,GBT,0,2,189,795,0,5,train
DGS,GBT,0,2,16506355,127099,0,6,train
DGS,GBT,0,2,29016,27509,0,7,train
DGS,GBT,0,2,11976267,54760,0,8,train
DGS,GBT,0,2,5828558,29961,0,9,train
DGS,GBT,0,2,5789382,50259,0,10,train
DGS,GBT,0,2,189,795,0,11,train
DGS,GBT,0,2,95,289,0,13,train
DGS,GBT,0,2,9995190,35045,2,8,train
DGS,GBT,0,2,26206,2321,2,7,train
DGS,GBT,0,2,16497055,122584,2,6,train
DGS,GBT,0,1,0,0,2,0,train
DGS,GBT,0,0,8423701,3390991,2,25,test
DGS,GBT,0,0,6654474,3306115,2,24,train
DGS,GBT,0,0,3369188,862253,2,23,train
DGS,GBT,0,0,8169774,6707166,2,22,train
DGS,GBT,0,0,3500631,2956435,2,21,train
DGS,GBT,0,0,5127501,3938939,2,20,train
DGS,GBT,0,0,5807980,2209113,2,19,train
DGS,GBT,0,0,4180030,2187071,2,18,train
DGS,GBT,0,0,557249,215877,2,17,train
DGS,GBT,0,0,9221549,1957234,2,16,train
DGS,GBT,0,0,40238,3584,2,15,train
DGS,GBT,0,0,95,290,2,14,train
DGS,GBT,0,0,199,1575,2,13,train
DGS,GBT,0,0,189,797,2,12,train
DGS,GBT,0,0,5619048,20799,2,11,train
DGS,GBT,0,0,5423554,24761,2,10,train
DGS,GBT,0,0,5063631,54704,2,9,train
DGS,GBT,0,0,9993438,44909,2,8,train
DGS,GBT,0,0,26180,2274,2,7,train
DGS,GBT,0,0,16497178,103864,2,6,train
DGS,GBT,0,0,95,290,2,5,train
DGS,GBT,0,0,95,290,2,4,train
DGS,GBT,0,0,5221,7844,2,3,train
DGS,GBT,0,0,2892,2675,2,2,train
DGS,GBT,0,1,95,290,2,1,train
DGS,GBT,0,1,2986,3182,2,2,train
DGS,GBT,0,1,5127,7337,2,3,train
DGS,GBT,0,1,95,290,2,4,train
DGS,GBT,0,2,199,1575,2,5,train
DGS,GBT,0,2,95,290,2,4,train
DGS,GBT,0,2,4885,7329,2,3,train
DGS,GBT,0,2,3228,3138,2,2,train
DGS,GBT,0,2,95,290,2,1,train
DGS,GBT,0,2,0,0,2,0,train
DGS,GBT,0,1,2173016,1333939,2,25,test
DGS,GBT,0,1,1660484,2850731,2,24,train
DGS,GBT,0,1,1446054,979089,2,23,train
DGS,GBT,0,1,1616929,3275685,2,22,train
DGS,GBT,0,1,962404,1649845,2,21,train
DGS,GBT,0,1,1354471,2179715,2,20,train
DGS,GBT,0,1,3046464,16735,0,12,train
DGS,GBT,0,1,781750,1346349,2,19,train
DGS,GBT,0,1,373220,101862,2,17,train
DGS,GBT,0,1,842217,537634,2,16,train
DGS,GBT,0,1,189,797,2,14,train
DGS,GBT,0,1,95,290,2,13,train
DGS,GBT,0,1,95,290,2,12,train
DGS,GBT,0,1,189,797,2,11,train
DGS,GBT,0,1,5725384,49420,2,10,train
DGS,GBT,0,1,4542579,31589,2,9,train
DGS,GBT,0,1,23364,6430,2,8,train
DGS,GBT,0,1,11091437,39577,2,7,train
DGS,GBT,0,1,163424,28371,2,6,train
DGS,GBT,0,1,16513001,126292,2,5,train
DGS,GBT,0,1,869705,838480,2,18,train
DGS,GBT,0,0,95,290,2,1,train
DGS,GBT,0,1,8481761,25541,0,11,train
DGS,GBT,0,1,6868376,44060,0,9,train
DGS,GBT,0,1,7278006,10966222,3,22,train
DGS,GBT,0,1,9717151,7068600,3,21,train
DGS,GBT,0,1,3621206,7754703,3,20,train
DGS,GBT,0,1,6308892,8566522,3,19,train
DGS,GBT,0,1,1419975,3595304,3,18,train
DGS,GBT,0,1,2387445,3185408,3,17,train
DGS,GBT,0,1,5137174,18092402,3,16,train
DGS,GBT,0,1,1764,767,3,15,train
DGS,GBT,0,1,2368,1371,3,14,train
DGS,GBT,0,1,2537,1493,3,13,train
DGS,GBT,0,1,37115,5292425,3,12,train
DGS,GBT,0,1,2320532,15914906,3,11,train
DGS,GBT,0,1,2828185,12901624,3,10,train
DGS,GBT,0,1,10379767,27156769,3,9,train
DGS,GBT,0,1,10002886,35100390,3,8,train
DGS,GBT,0,1,121923,18066874,3,7,train
DGS,GBT,0,1,16617825,42356077,3,6,train
DGS,GBT,0,1,128799,16384897,3,5,train
DGS,GBT,0,1,3048,871,3,4,train
DGS,GBT,0,1,36616,29522,3,3,train
DGS,GBT,0,1,24440,24388,3,2,train
DGS,GBT,0,1,14546,13715,3,1,train
DGS,GBT,0,1,0,0,3,0,train
DGS,GBT,0,0,5766662,12941736,3,25,test
DGS,GBT,0,0,5009652,13728144,3,24,train
DGS,GBT,0,1,8012382,7198832,3,23,train
DGS,GBT,0,0,6377527,9592589,3,23,train
DGS,GBT,0,1,8442225,13082549,3,24,train
DGS,GBT,0,2,0,0,3,0,train
DGS,GBT,0,2,7099582,12936517,3,25,test
DGS,GBT,0,2,7549157,13627414,3,24,train
DGS,GBT,0,2,5660158,11901955,3,23,train
DGS,GBT,0,2,6779421,12923243,3,22,train
DGS,GBT,0,2,5564195,7516916,3,21,train
DGS,GBT,0,2,4599218,9049275,3,20,train
DGS,GBT,0,2,6775708,5894467,3,19,train
DGS,GBT,0,2,2873033,5480005,3,18,train
DGS,GBT,0,2,4856119,3433382,3,17,train
DGS,GBT,0,2,6662067,18525099,3,16,train
DGS,GBT,0,2,3146,1381,3,15,train
DGS,GBT,0,2,3555,965,3,14,train
DGS,GBT,0,2,1920,923,3,13,train
DGS,GBT,0,2,26875,5119541,3,12,train
DGS,GBT,0,2,210385,6275792,3,11,train
DGS,GBT,0,2,5113011,22176767,3,10,train
DGS,GBT,0,2,11025299,28242045,3,9,train
DGS,GBT,0,2,13781158,35106806,3,8,train
DGS,GBT,0,2,67425,9775836,3,7,train
DGS,GBT,0,2,16675156,49385637,3,6,train
DGS,GBT,0,2,125982,16382056,3,5,train
DGS,GBT,0,2,1764,767,3,4,train
DGS,GBT,0,2,37101,30420,3,3,train
DGS,GBT,0,2,24290,23878,3,2,train
DGS,GBT,0,2,18402,13975,3,1,train
DGS,GBT,0,1,8059573,10949894,3,25,test
DGS,GBT,0,0,7010018,14890482,3,22,train
DGS,GBT,0,0,7158469,8254523,3,21,train
DGS,GBT,0,0,4170902,10610033,3,20,train
DGS,GBT,0,0,5785255,25910,0,10,train
DGS,GBT,0,0,189,795,0,11,train
DGS,GBT,0,0,95,289,0,12,train
DGS,GBT,0,0,189,795,0,13,train
DGS,GBT,0,0,95,289,0,14,train
DGS,GBT,0,0,95,289,0,15,train
DGS,GBT,0,0,7226431,2548545,0,16,train
DGS,GBT,0,0,609430,134807,0,17,train
DGS,GBT,0,0,4089879,2066830,0,18,train
DGS,GBT,0,0,2775665,2989443,0,19,train
DGS,GBT,0,0,5297543,3590876,0,20,train
DGS,GBT,0,0,3422997,2783672,0,21,train
DGS,GBT,0,0,8261180,4249018,0,22,train
DGS,GBT,0,0,5106612,3293699,0,23,train
DGS,GBT,0,0,6388259,3210101,0,24,train
DGS,GBT,0,0,5614946,4112666,0,25,test
DGS,GBT,0,1,0,0,0,0,train
DGS,GBT,0,1,95,289,0,1,train
DGS,GBT,0,1,4960,3673,0,2,train
DGS,GBT,0,1,3255,8127,0,3,train
DGS,GBT,0,1,95,289,0,4,train
DGS,GBT,0,1,199,1574,0,5,train
DGS,GBT,0,1,16506604,126352,0,6,train
DGS,GBT,0,1,26224,2325,0,7,train
DGS,GBT,0,1,13007815,63301,0,8,train
DGS,GBT,0,0,4800225,30822,0,9,train
DGS,GBT,0,0,9889263,54245,0,8,train
DGS,GBT,0,0,26985,27953,0,7,train
DGS,GBT,0,0,16505230,118311,0,6,train
DGS,GBT,0,0,4509361,9423820,3,19,train
DGS,GBT,0,0,1945034,5197018,3,18,train
DGS,GBT,0,0,2281297,3809025,3,17,train
DGS,GBT,0,0,863166,16565627,3,16,train
DGS,GBT,0,0,2420,1423,3,15,train
DGS,GBT,0,0,4385,1027,3,14,train
DGS,GBT,0,0,1920,923,3,13,train
DGS,GBT,0,0,6599636,6598639,3,12,train
DGS,GBT,0,0,74852,7028704,3,11,train
DGS,GBT,0,0,5084371,20903360,3,10,train
DGS,GBT,0,0,10318506,25701506,3,9,train
DGS,GBT,0,0,124193,30687055,3,8,train
DGS,GBT,0,1,5795935,39092,0,10,train
DGS,GBT,0,0,13720344,13742524,3,7,train
DGS,GBT,0,0,16393860,16392864,3,5,train
DGS,GBT,0,0,1764,767,3,4,train
DGS,GBT,0,0,37786,30592,3,3,train
DGS,GBT,0,0,23835,23784,3,2,train
DGS,GBT,0,0,19947,18907,3,1,train
DGS,GBT,0,0,0,0,3,0,train
DGS,GBT,0,0,0,0,0,0,train
DGS,GBT,0,0,95,289,0,1,train
DGS,GBT,0,0,5054,4179,0,2,train
DGS,GBT,0,0,3005,6336,0,3,train
DGS,GBT,0,0,95,289,0,4,train
DGS,GBT,0,0,189,795,0,5,train
DGS,GBT,0,0,518276,49338759,3,6,train
DGS,GBT,0,0,0,0,2,0,train
DGS,GBT,0,2,6596089,5882974,2,25,test
DGS,GBT,0,1,6141378,48897,1,10,train
DGS,GBT,0,0,147,342,1,14,train
DGS,GBT,0,0,147,342,1,15,train
DGS,GBT,0,0,7787351,2559696,1,16,train
DGS,GBT,0,0,602499,137461,1,17,train
DGS,GBT,0,0,4012709,2245616,1,18,train
DGS,GBT,0,0,3026934,2930731,1,19,train
DGS,GBT,0,0,6954890,3402733,1,20,train
DGS,GBT,0,0,3589307,2922279,1,21,train
DGS,GBT,0,0,6618254,4686890,1,22,train
DGS,GBT,0,0,4310929,3599051,1,23,train
DGS,GBT,0,0,6131542,3680207,1,24,train
DGS,GBT,0,0,5349475,4200437,1,25,test
DGS,GBT,0,1,0,0,1,0,train
DGS,GBT,0,1,95,290,1,1,train
DGS,GBT,0,1,2952,2787,1,2,train
DGS,GBT,0,0,293,2082,1,13,train
DGS,GBT,0,0,95,290,1,12,train
DGS,GBT,0,0,95,290,1,11,train
DGS,GBT,0,0,6099469,40803,1,10,train
DGS,GBT,0,2,7212744,5495689,1,24,train
DGS,GBT,0,2,5581894,3915413,1,23,train
DGS,GBT,0,2,7524137,4242788,1,22,train
DGS,GBT,0,2,6328709,3422241,1,21,train
DGS,GBT,0,2,3605285,2971435,1,20,train
DGS,GBT,0,2,3064393,3188019,1,19,train
DGS,GBT,0,0,0,0,1,0,train
DGS,GBT,0,1,5109,7732,1,3,train
DGS,GBT,0,0,189,797,1,1,train
DGS,GBT,0,0,5015,7225,1,3,train
DGS,GBT,0,0,189,797,1,4,train
DGS,GBT,0,0,95,290,1,5,train
DGS,GBT,0,0,16499268,124937,1,6,train
DGS,GBT,0,0,26274,2880,1,7,train
DGS,GBT,0,0,11016945,40802,1,8,train
DGS,GBT,0,0,5808987,45450,1,9,train
DGS,GBT,0,0,2952,2787,1,2,train
DGS,GBT,0,2,6734655,2730376,1,25,test
DGS,GBT,0,1,95,290,1,4,train
DGS,GBT,0,1,16498822,125028,1,6,train
DGS,GBT,0,2,0,0,1,0,train
DGS,GBT,0,2,189,797,1,1,train
DGS,GBT,0,2,2952,2787,1,2,train
DGS,GBT,0,2,5067,7225,1,3,train
DGS,GBT,0,2,189,797,1,4,train
DGS,GBT,0,2,16521801,124641,1,5,train
DGS,GBT,0,2,923817,25970,1,6,train
DGS,GBT,0,2,9014109,22909,1,7,train
DGS,GBT,0,2,24528,27809,1,8,train
DGS,GBT,0,2,5060689,29817,1,9,train
DGS,GBT,0,2,5585057,26266,1,10,train
DGS,GBT,0,2,95,290,1,11,train
DGS,GBT,0,2,95,290,1,12,train
DGS,GBT,0,2,189,797,1,13,train
DGS,GBT,0,2,95,290,1,14,train
DGS,GBT,0,1,6665883,3992212,1,25,test
DGS,GBT,0,1,8618756,3206717,1,24,train
DGS,GBT,0,1,4590411,3071539,1,23,train
DGS,GBT,0,1,8763110,3750313,1,22,train
DGS,GBT,0,1,26256,2326,1,7,train
