transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
268.0,128.0,98581.0,13891.0,13891.0,,,,,0,DGS,GMM-tol-0.0001,clustering,0,,,,,0.10330798179889772
283.0,128.0,98262.0,13891.0,13891.0,,,,,1,DGS,GMM-tol-0.0001,clustering,0,,,,,0.32409736292901736
291.0,128.0,99584.0,13891.0,13891.0,,,,,2,DGS,GMM-tol-0.0001,clustering,0,,,,,0.4319372035686671
282.0,128.0,52908.0,13891.0,13891.0,,,,,0,DGS,GMM-maxIter-50,clustering,0,,,,,0.17664359987669134
286.0,128.0,52932.0,13891.0,13891.0,,,,,1,DGS,GMM-maxIter-50,clustering,0,,,,,0.3642301462396084
270.0,128.0,54415.0,13891.0,13891.0,,,,,2,DGS,GMM-maxIter-50,clustering,0,,,,,0.17361979672668906
297.0,128.0,25452.0,13891.0,13891.0,,,,,0,DGS,GMM-maxIter-20,clustering,0,,,,,0.19218525027393926
303.0,128.0,26662.0,13891.0,13891.0,,,,,1,DGS,GMM-maxIter-20,clustering,0,,,,,0.13260821195434394
267.0,128.0,26762.0,13891.0,13891.0,,,,,2,DGS,GMM-maxIter-20,clustering,0,,,,,0.2021414976489256
298.0,128.0,12889.0,13891.0,13891.0,,,,,0,DGS,GMM-maxIter-5,clustering,0,,,,,0.4312307912713904
296.0,128.0,12934.0,13891.0,13891.0,,,,,1,DGS,GMM-maxIter-5,clustering,0,,,,,0.3326870498710511
288.0,128.0,12062.0,13891.0,13891.0,,,,,2,DGS,GMM-maxIter-5,clustering,0,,,,,0.3887455295646821
271.0,128.0,65790.0,13891.0,13891.0,,,,,0,DGS,GMM-tol-0.01,clustering,0,,,,,0.390472684979176
284.0,128.0,67190.0,13891.0,13891.0,,,,,1,DGS,GMM-tol-0.01,clustering,0,,,,,0.2826081384555194
286.0,128.0,55281.0,13891.0,13891.0,,,,,2,DGS,GMM-tol-0.01,clustering,0,,,,,0.2387565822038857
321.0,128.0,98385.0,13891.0,13891.0,,,,,0,DGS,GMM-tol-1e-06,clustering,0,,,,,0.14512865936890892
262.0,128.0,98414.0,13891.0,13891.0,,,,,1,DGS,GMM-tol-1e-06,clustering,0,,,,,0.18862208154335505
292.0,128.0,97653.0,13891.0,13891.0,,,,,2,DGS,GMM-tol-1e-06,clustering,0,,,,,0.2082246465031434
280.0,128.0,22155.0,13891.0,13891.0,,,,,0,DGS,GMM-maxIter-15,clustering,0,,,,,0.2995775153014236
285.0,128.0,22067.0,13891.0,13891.0,,,,,1,DGS,GMM-maxIter-15,clustering,0,,,,,0.1809276797767233
295.0,128.0,20733.0,13891.0,13891.0,,,,,2,DGS,GMM-maxIter-15,clustering,0,,,,,0.14930505147231668
274.0,128.0,90489.0,13891.0,13891.0,,,,,0,DGS,GMM-maxIter-100,clustering,0,,,,,0.2060849024450196
293.0,128.0,99185.0,13891.0,13891.0,,,,,1,DGS,GMM-maxIter-100,clustering,0,,,,,0.1901073425255209
276.0,128.0,95912.0,13891.0,13891.0,,,,,2,DGS,GMM-maxIter-100,clustering,0,,,,,0.1868627841564777
295.0,128.0,16592.0,13891.0,13891.0,,,,,0,DGS,GMM-maxIter-10,clustering,0,,,,,0.3641425738998061
292.0,128.0,16534.0,13891.0,13891.0,,,,,1,DGS,GMM-maxIter-10,clustering,0,,,,,0.4671998560491668
296.0,128.0,17328.0,13891.0,13891.0,,,,,2,DGS,GMM-maxIter-10,clustering,0,,,,,0.2412972305327757
280.0,128.0,87788.0,13891.0,13891.0,,,,,0,DGS,GMM-tol-0.1,clustering,0,,,,,0.10885254351327957
289.0,128.0,52589.0,13891.0,13891.0,,,,,1,DGS,GMM-tol-0.1,clustering,0,,,,,0.23705695436110466
304.0,128.0,65554.0,13891.0,13891.0,,,,,2,DGS,GMM-tol-0.1,clustering,0,,,,,0.1883846160838836
