dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,GMM-maxIter-10,0,0,1404.29,train,GMM,maxIter,10
DGS,GMM-maxIter-10,0,1,867.1000000000001,train,GMM,maxIter,10
DGS,GMM-maxIter-10,0,2,1489.91,train,GMM,maxIter,10
DGS,GMM-maxIter-100,0,0,6603.715,train,GMM,maxIter,100
DGS,GMM-maxIter-100,0,1,7369.429999999998,train,GMM,maxIter,100
DGS,GMM-maxIter-100,0,2,7255.134999999998,train,GMM,maxIter,100
DGS,GMM-maxIter-15,0,0,1629.3849999999998,train,GMM,maxIter,15
DGS,GMM-maxIter-15,0,1,1766.7900000000004,train,GMM,maxIter,15
DGS,GMM-maxIter-15,0,2,1370.415,train,GMM,maxIter,15
DGS,GMM-maxIter-20,0,0,1685.7199999999998,train,GMM,maxIter,20
DGS,GMM-maxIter-20,0,1,1965.29,train,GMM,maxIter,20
DGS,GMM-maxIter-20,0,2,2219.125,train,GMM,maxIter,20
DGS,GMM-maxIter-5,0,0,1134.8000000000004,train,GMM,maxIter,5
DGS,GMM-maxIter-5,0,1,1155.475,train,GMM,maxIter,5
DGS,GMM-maxIter-5,0,2,980.425,train,GMM,maxIter,5
DGS,GMM-maxIter-50,0,0,3903.275000000001,train,GMM,maxIter,50
DGS,GMM-maxIter-50,0,1,3764.335,train,GMM,maxIter,50
DGS,GMM-maxIter-50,0,2,3987.745,train,GMM,maxIter,50
DGS,GMM-maxIter-50,0,0,115.9,test,GMM,maxIter,50
DGS,GMM-tol-0.0001,0,0,7703.6950000000015,train,GMM,tol,0.0001
DGS,GMM-tol-0.0001,0,1,7670.32,train,GMM,tol,0.0001
DGS,GMM-tol-0.0001,0,2,7753.195,train,GMM,tol,0.0001
DGS,GMM-tol-0.0001,0,2,48.39,test,GMM,tol,0.0001
DGS,GMM-tol-0.01,0,0,4997.6100000000015,train,GMM,tol,0.01
DGS,GMM-tol-0.01,0,1,5288.81,train,GMM,tol,0.01
DGS,GMM-tol-0.01,0,2,4156.0999999999985,train,GMM,tol,0.01
DGS,GMM-tol-0.01,0,1,94.25,test,GMM,tol,0.01
DGS,GMM-tol-0.1,0,0,6856.31,train,GMM,tol,0.1
DGS,GMM-tol-0.1,0,1,4116.7,train,GMM,tol,0.1
DGS,GMM-tol-0.1,0,2,5386.549999999998,train,GMM,tol,0.1
DGS,GMM-tol-1e-06,0,0,7569.615,train,GMM,tol,1e-06
DGS,GMM-tol-1e-06,0,1,7426.57,train,GMM,tol,1e-06
DGS,GMM-tol-1e-06,0,2,7706.455,train,GMM,tol,1e-06
