dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DGS,GMM-tol-0.0001,0,0,65451572,7971264,0,0,train
DGS,GMM-maxIter-15,0,0,65451544,8112180,3,18,train
DGS,GMM-maxIter-15,0,0,65451544,8130752,3,17,train
DGS,GMM-maxIter-15,0,0,65451544,8151864,3,16,train
DGS,GMM-maxIter-15,0,0,65451544,8178188,3,15,train
DGS,GMM-maxIter-15,0,0,65451544,8182112,3,14,train
DGS,GMM-maxIter-15,0,0,65451544,8182672,3,13,train
DGS,GMM-maxIter-15,0,0,65451544,8183168,3,12,train
DGS,GMM-maxIter-15,0,0,65451544,8172120,3,11,train
DGS,GMM-maxIter-15,0,0,65451544,8178900,3,10,train
DGS,GMM-maxIter-15,0,0,65451544,8199492,3,9,train
DGS,GMM-maxIter-15,0,0,65451544,7990692,3,19,train
DGS,GMM-maxIter-15,0,0,65451544,8321928,3,8,train
DGS,GMM-maxIter-15,0,0,65451544,8882240,3,6,train
DGS,GMM-maxIter-15,0,0,65451544,8996140,3,5,train
DGS,GMM-maxIter-15,0,0,65451544,9060000,3,4,train
DGS,GMM-maxIter-15,0,0,65451544,9132128,3,3,train
DGS,GMM-maxIter-15,0,0,65451544,9739432,3,2,train
DGS,GMM-maxIter-15,0,0,65451544,10024864,3,1,train
DGS,GMM-maxIter-15,0,0,65451544,10299300,3,0,train
DGS,GMM-maxIter-15,0,2,65451544,6866332,2,21,test
DGS,GMM-maxIter-15,0,2,65451544,6867572,2,20,train
DGS,GMM-maxIter-15,0,2,65451544,6868648,2,19,train
DGS,GMM-maxIter-15,0,0,65451544,8675564,3,7,train
DGS,GMM-maxIter-15,0,2,65451544,6870320,2,18,train
DGS,GMM-maxIter-15,0,0,65451544,7967676,3,20,train
DGS,GMM-maxIter-15,0,0,65451544,7914144,3,22,train
DGS,GMM-maxIter-15,0,1,65451544,7705448,3,21,train
DGS,GMM-maxIter-15,0,1,65451544,7711264,3,20,train
DGS,GMM-maxIter-15,0,1,65451544,7713240,3,19,train
DGS,GMM-maxIter-15,0,1,65451544,7719108,3,18,train
DGS,GMM-maxIter-15,0,1,65451544,7722800,3,17,train
DGS,GMM-maxIter-15,0,1,65451544,7849064,3,16,train
DGS,GMM-maxIter-15,0,1,65451544,8001472,3,15,train
DGS,GMM-maxIter-15,0,1,65451544,8297516,3,14,train
DGS,GMM-maxIter-15,0,1,65451544,8298816,3,13,train
DGS,GMM-maxIter-15,0,1,65451544,8298680,3,12,train
DGS,GMM-maxIter-15,0,0,65451544,7941224,3,21,train
DGS,GMM-maxIter-15,0,1,65451544,8295848,3,11,train
DGS,GMM-maxIter-15,0,1,65451544,8396576,3,9,train
DGS,GMM-maxIter-15,0,1,65451544,8476764,3,8,train
DGS,GMM-maxIter-15,0,1,65451544,8800972,3,7,train
DGS,GMM-maxIter-15,0,1,65451544,8974268,3,6,train
DGS,GMM-maxIter-15,0,1,65451544,9050896,3,5,train
DGS,GMM-maxIter-15,0,1,65451544,9103128,3,4,train
DGS,GMM-maxIter-15,0,1,65451544,9153544,3,3,train
DGS,GMM-maxIter-15,0,1,65451544,9705780,3,2,train
DGS,GMM-maxIter-15,0,1,65451544,10007088,3,1,train
DGS,GMM-maxIter-15,0,1,65451544,10280848,3,0,train
DGS,GMM-maxIter-15,0,1,65451544,8367896,3,10,train
DGS,GMM-maxIter-15,0,2,65451544,6874332,2,17,train
DGS,GMM-maxIter-15,0,2,65451544,7044440,2,16,train
DGS,GMM-maxIter-15,0,2,65451544,7107712,2,15,train
DGS,GMM-maxIter-15,0,1,65451544,7268720,2,10,train
DGS,GMM-maxIter-15,0,1,65451544,7279972,2,9,train
DGS,GMM-maxIter-15,0,1,65451544,7326248,2,8,train
DGS,GMM-maxIter-15,0,1,65451544,7387880,2,7,train
DGS,GMM-maxIter-15,0,1,65451544,7616924,2,6,train
DGS,GMM-maxIter-15,0,1,65451544,7669888,2,5,train
DGS,GMM-maxIter-15,0,1,65451544,7911524,2,4,train
DGS,GMM-maxIter-15,0,1,65451544,7909284,2,3,train
DGS,GMM-maxIter-15,0,1,65451544,8052540,2,2,train
DGS,GMM-maxIter-15,0,1,65451544,8289100,2,1,train
DGS,GMM-maxIter-15,0,1,65451544,7267648,2,11,train
DGS,GMM-maxIter-15,0,1,65451544,8288660,2,0,train
DGS,GMM-maxIter-15,0,0,65451544,6920064,2,21,train
DGS,GMM-maxIter-15,0,0,65451544,6921136,2,20,train
DGS,GMM-maxIter-15,0,0,65451544,6922624,2,19,train
DGS,GMM-maxIter-15,0,0,65451544,7048036,2,18,train
DGS,GMM-maxIter-15,0,0,65451544,7110384,2,17,train
DGS,GMM-maxIter-15,0,0,65451544,7166776,2,16,train
DGS,GMM-maxIter-15,0,0,65451544,7269852,2,15,train
DGS,GMM-maxIter-15,0,0,65451544,7285172,2,14,train
DGS,GMM-maxIter-15,0,0,65451544,7285248,2,13,train
DGS,GMM-maxIter-15,0,0,65451544,7286044,2,12,train
DGS,GMM-maxIter-15,0,0,65451544,6918236,2,22,train
DGS,GMM-maxIter-15,0,1,65451544,7270976,2,12,train
DGS,GMM-maxIter-15,0,1,65451544,7270828,2,13,train
DGS,GMM-maxIter-15,0,1,65451544,7269740,2,14,train
DGS,GMM-maxIter-15,0,2,65451544,7187276,2,14,train
DGS,GMM-maxIter-15,0,2,65451544,7297748,2,13,train
DGS,GMM-maxIter-15,0,2,65451544,7298000,2,12,train
DGS,GMM-maxIter-15,0,2,65451544,7281376,2,11,train
DGS,GMM-maxIter-15,0,2,65451544,7281904,2,10,train
DGS,GMM-maxIter-15,0,2,65451544,7284668,2,9,train
DGS,GMM-maxIter-15,0,2,65451544,7317804,2,8,train
DGS,GMM-maxIter-15,0,2,65451544,7611708,2,7,train
DGS,GMM-maxIter-15,0,2,65451544,7792268,2,6,train
DGS,GMM-maxIter-15,0,2,65451544,7896076,2,5,train
DGS,GMM-maxIter-15,0,2,65451544,7896036,2,4,train
DGS,GMM-maxIter-15,0,2,65451544,7894760,2,3,train
DGS,GMM-maxIter-15,0,2,65451544,8015752,2,2,train
DGS,GMM-maxIter-15,0,2,65451544,8272544,2,1,train
DGS,GMM-maxIter-15,0,2,65451544,8271744,2,0,train
DGS,GMM-maxIter-15,0,1,65451544,6880768,2,22,train
DGS,GMM-maxIter-15,0,1,65451544,6884552,2,21,train
DGS,GMM-maxIter-15,0,1,65451544,6885728,2,20,train
DGS,GMM-maxIter-15,0,1,65451544,6887612,2,19,train
DGS,GMM-maxIter-15,0,1,65451544,7006400,2,18,train
DGS,GMM-maxIter-15,0,1,65451544,7064424,2,17,train
DGS,GMM-maxIter-15,0,1,65451544,7128344,2,16,train
DGS,GMM-maxIter-15,0,1,65451544,7218592,2,15,train
DGS,GMM-maxIter-15,0,1,65451544,7652432,3,22,train
DGS,GMM-maxIter-15,0,0,65451544,7280776,2,11,train
DGS,GMM-maxIter-15,0,2,65451544,10264828,3,0,train
DGS,GMM-maxIter-15,0,2,65451544,9706632,3,2,train
DGS,GMM-maxIter-100,0,0,65451572,6720836,0,55,train
DGS,GMM-maxIter-100,0,0,65451572,6721256,0,54,train
DGS,GMM-maxIter-100,0,0,65451572,6721168,0,53,train
DGS,GMM-maxIter-100,0,0,65451572,6721964,0,52,train
DGS,GMM-maxIter-100,0,0,65451572,6722508,0,51,train
DGS,GMM-maxIter-100,0,0,65451572,6779720,0,50,train
DGS,GMM-maxIter-100,0,0,65451572,6780500,0,49,train
DGS,GMM-maxIter-100,0,0,65451572,6780752,0,48,train
DGS,GMM-maxIter-100,0,0,65451572,6781524,0,47,train
DGS,GMM-maxIter-100,0,0,65451572,6781620,0,46,train
DGS,GMM-maxIter-100,0,0,65451572,6720544,0,56,train
DGS,GMM-maxIter-100,0,0,65451572,6782336,0,45,train
DGS,GMM-maxIter-100,0,0,65451572,6837448,0,43,train
DGS,GMM-maxIter-100,0,0,65451572,6838060,0,42,train
DGS,GMM-maxIter-100,0,0,65451572,6837568,0,41,train
DGS,GMM-maxIter-100,0,0,65451572,6837348,0,40,train
DGS,GMM-maxIter-100,0,0,65451572,6837360,0,39,train
DGS,GMM-maxIter-100,0,0,65451572,6838092,0,38,train
DGS,GMM-maxIter-100,0,0,65451572,6885696,0,37,train
DGS,GMM-maxIter-100,0,0,65451572,6886304,0,36,train
