dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,GMM-tol-0.0001,0,0,0,0,0,0,train
DGS,GMM-maxIter-15,0,0,3159255,2839466,3,18,train
DGS,GMM-maxIter-15,0,0,3157699,2842326,3,17,train
DGS,GMM-maxIter-15,0,0,516617,723983,3,16,train
DGS,GMM-maxIter-15,0,0,980088,17006797,3,15,train
DGS,GMM-maxIter-15,0,0,2271,861,3,14,train
DGS,GMM-maxIter-15,0,0,8284,7091,3,13,train
DGS,GMM-maxIter-15,0,0,1763,767,3,12,train
DGS,GMM-maxIter-15,0,0,32663,5495592,3,11,train
DGS,GMM-maxIter-15,0,0,6645983,23368276,3,10,train
DGS,GMM-maxIter-15,0,0,9366878,26470025,3,9,train
DGS,GMM-maxIter-15,0,0,3126446,2808619,3,19,train
DGS,GMM-maxIter-15,0,0,13777486,36358806,3,8,train
DGS,GMM-maxIter-15,0,0,16642895,45793669,3,6,train
DGS,GMM-maxIter-15,0,0,125685,16383250,3,5,train
DGS,GMM-maxIter-15,0,0,2479,1847,3,4,train
DGS,GMM-maxIter-15,0,0,36563,29470,3,3,train
DGS,GMM-maxIter-15,0,0,24239,23618,3,2,train
DGS,GMM-maxIter-15,0,0,14644,14121,3,1,train
DGS,GMM-maxIter-15,0,0,0,0,3,0,train
DGS,GMM-maxIter-15,0,2,530786,496114,2,21,test
DGS,GMM-maxIter-15,0,2,608242,569698,2,20,train
DGS,GMM-maxIter-15,0,2,532238,501053,2,19,train
DGS,GMM-maxIter-15,0,0,87567,13510478,3,7,train
DGS,GMM-maxIter-15,0,2,534552,501939,2,18,train
DGS,GMM-maxIter-15,0,0,3081563,2763916,3,20,train
DGS,GMM-maxIter-15,0,0,3150103,2834711,3,22,train
DGS,GMM-maxIter-15,0,1,3160874,3248080,3,21,train
DGS,GMM-maxIter-15,0,1,3166085,3250044,3,20,train
DGS,GMM-maxIter-15,0,1,3160510,3247867,3,19,train
DGS,GMM-maxIter-15,0,1,3086311,3179478,3,18,train
DGS,GMM-maxIter-15,0,1,3086589,3180190,3,17,train
DGS,GMM-maxIter-15,0,1,558506,314935,3,16,train
DGS,GMM-maxIter-15,0,1,5170437,18169353,3,15,train
DGS,GMM-maxIter-15,0,1,3658,2564,3,14,train
DGS,GMM-maxIter-15,0,1,2426,1017,3,13,train
DGS,GMM-maxIter-15,0,1,1764,767,3,12,train
DGS,GMM-maxIter-15,0,0,3078401,2764056,3,21,train
DGS,GMM-maxIter-15,0,1,6563515,6562931,3,11,train
DGS,GMM-maxIter-15,0,1,10985918,26511782,3,9,train
DGS,GMM-maxIter-15,0,1,13065866,37977845,3,8,train
DGS,GMM-maxIter-15,0,1,60156,9950751,3,7,train
DGS,GMM-maxIter-15,0,1,16659156,49371216,3,6,train
