dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,GMM,0,1,0.8428547384611736,65451544,10285400,2,58,train
DGS,GMM,0,2,0.843759352334578,65451572,10226196,0,90,train
DGS,GMM,0,2,0.8432318172587207,65451572,10260724,0,91,train
DGS,GMM,0,2,0.8432364619141615,65451572,10260420,0,92,train
DGS,GMM,0,2,0.8432386009002197,65451572,10260280,0,93,train
DGS,GMM,0,2,0.8432343229281032,65451572,10260560,0,94,train
DGS,GMM,0,2,0.8432364008002742,65451572,10260424,0,95,train
DGS,GMM,0,2,0.8432355452058509,65451572,10260480,0,96,train
DGS,GMM,0,2,0.8513922910665026,65451544,9726604,2,97,train
DGS,GMM,0,2,0.851389540940394,65451544,9726784,2,96,train
DGS,GMM,0,2,0.8513809849925007,65451544,9727344,2,95,train
DGS,GMM,0,2,0.8513832462073011,65451544,9727196,2,94,train
DGS,GMM,0,2,0.8513787848916139,65451544,9727488,2,93,train
DGS,GMM,0,2,0.8513786015498733,65451544,9727500,2,92,train
DGS,GMM,0,2,0.8513762792211594,65451544,9727652,2,91,train
DGS,GMM,0,2,0.851375301398543,65451544,9727716,2,90,train
DGS,GMM,0,2,0.8513855074221015,65451544,9727048,2,89,train
DGS,GMM,0,2,0.8513752402846295,65451544,9727720,2,88,train
DGS,GMM,0,2,0.8513687010958825,65451544,9728148,2,87,train
DGS,GMM,0,2,0.8513720012472128,65451544,9727932,2,86,train
DGS,GMM,0,2,0.8437589245373663,65451572,10226224,0,89,train
DGS,GMM,0,2,0.8513694344628447,65451544,9728100,2,85,train
DGS,GMM,0,2,0.8437547076791372,65451572,10226500,0,88,train
DGS,GMM,0,2,0.8437547076791372,65451572,10226500,0,86,train
DGS,GMM,0,2,0.8440520878551244,65451572,10207036,0,67,train
DGS,GMM,0,2,0.8440531879050972,65451572,10206964,0,68,train
DGS,GMM,0,2,0.8440571603077769,65451572,10206704,0,69,train
DGS,GMM,0,2,0.8440553268911555,65451572,10206824,0,70,train
DGS,GMM,0,2,0.8437419348766749,65451572,10227336,0,71,train
DGS,GMM,0,2,0.8437493296570479,65451572,10226852,0,72,train
DGS,GMM,0,2,0.8437423015599992,65451572,10227312,0,73,train
DGS,GMM,0,2,0.8437522020097546,65451572,10226664,0,74,train
DGS,GMM,0,2,0.8437511630736692,65451572,10226732,0,75,train
DGS,GMM,0,2,0.8437649748122169,65451572,10225828,0,76,train
DGS,GMM,0,2,0.8437547076791372,65451572,10226500,0,77,train
DGS,GMM,0,2,0.8437518964403178,65451572,10226684,0,78,train
DGS,GMM,0,2,0.8437558688429974,65451572,10226424,0,79,train
DGS,GMM,0,2,0.8437586800818169,65451572,10226240,0,80,train
DGS,GMM,0,2,0.8437377180184458,65451572,10227612,0,81,train
DGS,GMM,0,2,0.8437344789824147,65451572,10227824,0,82,train
DGS,GMM,0,2,0.8437408348267021,65451572,10227408,0,83,train
DGS,GMM,0,2,0.8437506741625701,65451572,10226764,0,84,train
DGS,GMM,0,2,0.843764180331681,65451572,10225880,0,85,train
DGS,GMM,0,2,0.8437503685931332,65451572,10226784,0,87,train
DGS,GMM,0,2,0.8513693122350177,65451544,9728108,2,84,train
DGS,GMM,0,2,0.8513671732480443,65451544,9728248,2,83,train
DGS,GMM,0,2,0.8513655231723792,65451544,9728356,2,82,train
DGS,GMM,0,2,0.8508183091906892,65451544,9764172,2,57,train
DGS,GMM,0,2,0.8508208148611437,65451544,9764008,2,56,train
DGS,GMM,0,2,0.850769601401611,65451544,9767360,2,55,train
DGS,GMM,0,2,0.8507562785684628,65451544,9768232,2,54,train
DGS,GMM,0,2,0.8507483948736183,65451544,9768748,2,53,train
DGS,GMM,0,2,0.8507516950249485,65451544,9768532,2,52,train
DGS,GMM,0,2,0.8507380055083192,65451544,9769428,2,51,train
DGS,GMM,0,2,0.8505232512161974,65451544,9783484,2,50,train
DGS,GMM,0,2,0.8503437596521787,65451544,9795232,2,49,train
DGS,GMM,0,2,0.8503397261338862,65451544,9795496,2,48,train
DGS,GMM,0,2,0.8501906692988022,65451544,9805252,2,47,train
DGS,GMM,0,2,0.8501757575039024,65451544,9806228,2,46,train
DGS,GMM,0,2,0.8501728240360533,65451544,9806420,2,45,train
DGS,GMM,0,2,0.8501738018586696,65451544,9806356,2,44,train
DGS,GMM,0,2,0.8501740463143238,65451544,9806340,2,43,train
DGS,GMM,0,2,0.85016426808816,65451544,9806980,2,42,train
DGS,GMM,0,2,0.8502619281219707,65451544,9800588,2,41,train
DGS,GMM,0,2,0.850245977390541,65451544,9801632,2,40,train
DGS,GMM,0,2,0.8501347500679282,65451544,9808912,2,39,train
DGS,GMM,0,2,0.851300131284909,65451544,9732636,2,58,train
DGS,GMM,0,2,0.8513007424240443,65451544,9732596,2,59,train
DGS,GMM,0,2,0.8513097872832458,65451544,9732004,2,60,train
DGS,GMM,0,2,0.8513047759423368,65451544,9732332,2,61,train
DGS,GMM,0,2,0.8513932688891189,65451544,9726540,2,81,train
DGS,GMM,0,2,0.8513856296499285,65451544,9727040,2,80,train
DGS,GMM,0,2,0.851375301398543,65451544,9727716,2,79,train
DGS,GMM,0,2,0.8513705345132881,65451544,9728028,2,78,train
DGS,GMM,0,2,0.8513477390235439,65451544,9729520,2,77,train
DGS,GMM,0,2,0.8513374107721584,65451544,9730196,2,76,train
DGS,GMM,0,2,0.8513373496582449,65451544,9730200,2,75,train
DGS,GMM,0,2,0.8513330716842983,65451544,9730480,2,74,train
DGS,GMM,0,2,0.851330015988622,65451544,9730680,2,73,train
DGS,GMM,0,2,0.844047504313571,65451572,10207336,0,66,train
DGS,GMM,0,2,0.8513289770520922,65451544,9730748,2,72,train
DGS,GMM,0,2,0.8513133930041437,65451544,9731768,2,70,train
DGS,GMM,0,2,0.8513165709276469,65451544,9731560,2,69,train
DGS,GMM,0,2,0.8513175487502632,65451544,9731496,2,68,train
DGS,GMM,0,2,0.851309237258024,65451544,9732040,2,67,train
DGS,GMM,0,2,0.8513223767494316,65451544,9731180,2,66,train
DGS,GMM,0,2,0.8513135763458842,65451544,9731756,2,65,train
DGS,GMM,0,2,0.851319382167669,65451544,9731376,2,64,train
DGS,GMM,0,2,0.8513163264719927,65451544,9731576,2,63,train
DGS,GMM,0,2,0.8513083816632347,65451544,9732096,2,62,train
DGS,GMM,0,2,0.8513163264719927,65451544,9731576,2,71,train
DGS,GMM,0,2,0.8440558158022545,65451572,10206792,0,65,train
