dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,GMM,0,1,531264,496045,2,58,train
DGS,GMM,0,2,530400,496535,0,90,train
DGS,GMM,0,2,607869,568621,0,91,train
DGS,GMM,0,2,608829,569024,0,92,train
DGS,GMM,0,2,532990,497843,0,93,train
DGS,GMM,0,2,563654,529384,0,94,train
DGS,GMM,0,2,531546,496322,0,95,train
DGS,GMM,0,2,608327,569230,0,96,train
DGS,GMM,0,2,530433,495392,2,97,train
DGS,GMM,0,2,1058339,578320,2,96,train
DGS,GMM,0,2,610816,980275,2,95,train
DGS,GMM,0,2,563602,528553,2,94,train
DGS,GMM,0,2,608024,567888,2,93,train
DGS,GMM,0,2,530636,495218,2,92,train
DGS,GMM,0,2,531856,498754,2,91,train
DGS,GMM,0,2,607842,567221,2,90,train
DGS,GMM,0,2,607746,568352,2,89,train
DGS,GMM,0,2,1136536,651750,2,88,train
DGS,GMM,0,2,611420,979796,2,87,train
DGS,GMM,0,2,530532,495573,2,86,train
DGS,GMM,0,2,1142551,1472397,0,89,train
DGS,GMM,0,2,531786,494971,2,85,train
DGS,GMM,0,2,610521,624103,0,88,train
DGS,GMM,0,2,529958,495807,0,86,train
DGS,GMM,0,2,608033,568884,0,67,train
DGS,GMM,0,2,608642,569401,0,68,train
DGS,GMM,0,2,608400,574301,0,69,train
DGS,GMM,0,2,608825,568866,0,70,train
DGS,GMM,0,2,531470,523778,0,71,train
DGS,GMM,0,2,1139930,1064809,0,72,train
DGS,GMM,0,2,532090,496940,0,73,train
DGS,GMM,0,2,530994,496333,0,74,train
DGS,GMM,0,2,531722,496990,0,75,train
DGS,GMM,0,2,608193,568662,0,76,train
DGS,GMM,0,2,565053,528969,0,77,train
DGS,GMM,0,2,531492,497754,0,78,train
DGS,GMM,0,2,608606,573211,0,79,train
DGS,GMM,0,2,769582,1129661,0,80,train
DGS,GMM,0,2,1054499,577111,0,81,train
DGS,GMM,0,2,610210,568213,0,82,train
DGS,GMM,0,2,608842,568265,0,83,train
DGS,GMM,0,2,609787,569184,0,84,train
DGS,GMM,0,2,607661,568512,0,85,train
DGS,GMM,0,2,607822,568654,0,87,train
DGS,GMM,0,2,530970,496005,2,84,train
DGS,GMM,0,2,535425,901455,2,83,train
DGS,GMM,0,2,530862,495444,2,82,train
DGS,GMM,0,2,608075,567316,2,57,train
