transformTime,features,fitTime,testCount,trainCount,f1,accuracy,weightedPrecision,weightedRecall,runId,dataset,algorithm,family,platformId,rmse,mse,mae,r2,silhouette
245.0,128.0,3312.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,9,,,,,0.432239473842666
252.0,128.0,3296.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,9,,,,,0.432239473842666
232.0,128.0,3161.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,9,,,,,0.432239473842666
286.0,128.0,3284.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,6,,,,,0.432239473842666
274.0,128.0,3259.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,6,,,,,0.432239473842666
301.0,128.0,3223.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,6,,,,,0.432239473842666
356.0,128.0,4841.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,8,,,,,0.432239473842666
316.0,128.0,4575.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,8,,,,,0.432239473842666
398.0,128.0,4765.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,8,,,,,0.432239473842666
277.0,128.0,3065.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,10,,,,,0.432239473842666
322.0,128.0,3320.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,10,,,,,0.4322394738426661
294.0,128.0,3054.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,10,,,,,0.4322394738426661
277.0,128.0,4020.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,7,,,,,0.432239473842666
291.0,128.0,4107.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,7,,,,,0.432239473842666
285.0,128.0,4359.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,7,,,,,0.432239473842666
341.0,128.0,4305.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,12,,,,,0.432239473842666
312.0,128.0,4445.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,12,,,,,0.432239473842666
456.0,128.0,4538.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,12,,,,,0.432239473842666
341.0,128.0,4303.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,3,,,,,0.432239473842666
342.0,128.0,3786.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,3,,,,,0.432239473842666
305.0,128.0,3852.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,3,,,,,0.432239473842666
324.0,128.0,3431.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06-maxIter-10,clustering,2,,,,,0.5794413241927961
278.0,128.0,3421.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06-maxIter-10,clustering,2,,,,,0.5794413241927963
279.0,128.0,3444.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06-maxIter-10,clustering,2,,,,,0.5794413241927963
