dataset,algorithm,platformId,runId,CpuUsage,node,time,phase
DGS,KM-tol-0.0001-maxIter-10,1,0,0.4951690821256039,0,04/20/21 31 2021 23:31:51. 948,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.5811138014527846,0,04/20/21 31 2021 23:31:52. 979,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.3146341463414634,0,04/20/21 31 2021 23:31:54. 023,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.4951690821256039,1,04/20/21 31 2021 23:31:51. 948,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.5811138014527846,1,04/20/21 31 2021 23:31:52. 979,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.3146341463414634,1,04/20/21 31 2021 23:31:54. 023,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004878048780487809,1,04/20/21 31 2021 23:31:51. 300,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004878048780487809,1,04/20/21 31 2021 23:31:52. 325,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004878048780487809,1,04/20/21 31 2021 23:31:53. 350,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004866180048661794,1,04/20/21 31 2021 23:31:54. 375,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.4951690821256039,2,04/20/21 31 2021 23:31:51. 948,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.5811138014527846,2,04/20/21 31 2021 23:31:52. 979,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.3146341463414634,2,04/20/21 31 2021 23:31:54. 023,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004878048780487809,2,04/20/21 31 2021 23:31:51. 300,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004878048780487809,2,04/20/21 31 2021 23:31:52. 325,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004878048780487809,2,04/20/21 31 2021 23:31:53. 350,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.004866180048661794,2,04/20/21 31 2021 23:31:54. 375,train
DGS,KM-tol-0.0001-maxIter-10,1,0,0.009685230024213063,2,04/20/21 31 2021 23:31:51. 010,train
