dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DGS,KM-tol-0.0001-maxIter-10,1,0,246.8,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,1,1,246.025,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,1,2,241.815,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,2,0,196.1,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,2,1,214.5,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,2,2,184.495,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,3,0,213.1,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,3,1,304.3,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,3,2,312.02,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,4,0,305.7999999999999,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,4,1,403.49,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,4,2,283.52,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,5,0,178.55,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,5,1,180.01,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,5,2,171.695,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,6,0,122.45,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,6,1,232.65,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,6,2,220.65,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,7,0,215.1,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,7,1,310.35,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,7,2,313.875,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,8,0,309.5900000000001,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,8,1,336.4500000000001,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,8,2,389.57,train,KM,tol,0.0001,maxIter,10
DGS,KM-tol-0.0001-maxIter-10,9,0,187.6,train,KM,tol,0.0001,maxIter,10
