dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4628180,0,04/20/21 31 2021 23:31:51. 946,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4368580,0,04/20/21 31 2021 23:31:52. 971,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4312492,0,04/20/21 31 2021 23:31:54. 020,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4628180,1,04/20/21 31 2021 23:31:51. 946,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4368580,1,04/20/21 31 2021 23:31:52. 971,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4312492,1,04/20/21 31 2021 23:31:54. 020,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749248,1,04/20/21 31 2021 23:31:51. 809,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42748592,1,04/20/21 31 2021 23:31:52. 835,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749436,1,04/20/21 31 2021 23:31:53. 860,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749340,1,04/20/21 31 2021 23:31:54. 885,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4628180,2,04/20/21 31 2021 23:31:51. 946,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4368580,2,04/20/21 31 2021 23:31:52. 971,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4312492,2,04/20/21 31 2021 23:31:54. 020,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749248,2,04/20/21 31 2021 23:31:51. 809,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42748592,2,04/20/21 31 2021 23:31:52. 835,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749436,2,04/20/21 31 2021 23:31:53. 860,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749340,2,04/20/21 31 2021 23:31:54. 885,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42764972,2,04/20/21 31 2021 23:31:51. 520,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42764576,2,04/20/21 31 2021 23:31:52. 547,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42763868,2,04/20/21 31 2021 23:31:53. 573,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42764032,2,04/20/21 31 2021 23:31:54. 600,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4628180,3,04/20/21 31 2021 23:31:51. 946,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4368580,3,04/20/21 31 2021 23:31:52. 971,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451544,4312492,3,04/20/21 31 2021 23:31:54. 020,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749248,3,04/20/21 31 2021 23:31:51. 809,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42748592,3,04/20/21 31 2021 23:31:52. 835,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749436,3,04/20/21 31 2021 23:31:53. 860,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451520,42749340,3,04/20/21 31 2021 23:31:54. 885,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42764972,3,04/20/21 31 2021 23:31:51. 520,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42764576,3,04/20/21 31 2021 23:31:52. 547,train
DGS,KM-tol-0.0001-maxIter-10,1,0,65451488,42763868,3,04/20/21 31 2021 23:31:53. 573,train
