dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,KM-tol-0.0001-maxIter-10,1,0,198888295985679,355932943704904,0,04/20/21 31 2021 23:31:51. 950,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888300196840,355932948337930,0,04/20/21 31 2021 23:31:53. 008,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888307515259,355932967707545,0,04/20/21 31 2021 23:31:54. 030,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888295985679,355932943704904,1,04/20/21 31 2021 23:31:51. 950,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888300196840,355932948337930,1,04/20/21 31 2021 23:31:53. 008,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888307515259,355932967707545,1,04/20/21 31 2021 23:31:54. 030,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841583,82085849857,1,04/20/21 31 2021 23:31:51. 818,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841678,82085850147,1,04/20/21 31 2021 23:31:52. 843,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841773,82085850437,1,04/20/21 31 2021 23:31:53. 868,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841962,82085851233,1,04/20/21 31 2021 23:31:54. 894,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888295985679,355932943704904,2,04/20/21 31 2021 23:31:51. 950,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888300196840,355932948337930,2,04/20/21 31 2021 23:31:53. 008,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888307515259,355932967707545,2,04/20/21 31 2021 23:31:54. 030,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841583,82085849857,2,04/20/21 31 2021 23:31:51. 818,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841678,82085850147,2,04/20/21 31 2021 23:31:52. 843,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841773,82085850437,2,04/20/21 31 2021 23:31:53. 868,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841962,82085851233,2,04/20/21 31 2021 23:31:54. 894,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814119,85687631017,2,04/20/21 31 2021 23:31:51. 529,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814308,85687631815,2,04/20/21 31 2021 23:31:52. 556,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814403,85687632106,2,04/20/21 31 2021 23:31:53. 582,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814498,85687632397,2,04/20/21 31 2021 23:31:54. 609,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888295985679,355932943704904,3,04/20/21 31 2021 23:31:51. 950,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888300196840,355932948337930,3,04/20/21 31 2021 23:31:53. 008,train
DGS,KM-tol-0.0001-maxIter-10,1,0,198888307515259,355932967707545,3,04/20/21 31 2021 23:31:54. 030,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841583,82085849857,3,04/20/21 31 2021 23:31:51. 818,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841678,82085850147,3,04/20/21 31 2021 23:31:52. 843,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841773,82085850437,3,04/20/21 31 2021 23:31:53. 868,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1995223841962,82085851233,3,04/20/21 31 2021 23:31:54. 894,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814119,85687631017,3,04/20/21 31 2021 23:31:51. 529,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814308,85687631815,3,04/20/21 31 2021 23:31:52. 556,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814403,85687632106,3,04/20/21 31 2021 23:31:53. 582,train
DGS,KM-tol-0.0001-maxIter-10,1,0,1991572814498,85687632397,3,04/20/21 31 2021 23:31:54. 609,train
DGS,KM-tol-0.0001-maxIter-10,1,0,2070095270448,94570552260,3,04/20/21 31 2021 23:31:51. 649,train
DGS,KM-tol-0.0001-maxIter-10,1,0,2070098225776,94570646527,3,04/20/21 31 2021 23:31:52. 662,train
DGS,KM-tol-0.0001-maxIter-10,1,0,2070098852378,94570848156,3,04/20/21 31 2021 23:31:53. 680,train
DGS,KM-tol-0.0001-maxIter-10,1,0,2070112652783,94571514857,3,04/20/21 31 2021 23:31:54. 695,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888415926846,355933178203343,0,04/20/21 32 2021 23:32:13. 384,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888423100670,355933198357734,0,04/20/21 32 2021 23:32:14. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888424158288,355933199784459,0,04/20/21 32 2021 23:32:15. 424,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888432409950,355933220682912,0,04/20/21 32 2021 23:32:16. 440,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888415926846,355933178203343,1,04/20/21 32 2021 23:32:13. 384,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888423100670,355933198357734,1,04/20/21 32 2021 23:32:14. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888424158288,355933199784459,1,04/20/21 32 2021 23:32:15. 424,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888432409950,355933220682912,1,04/20/21 32 2021 23:32:16. 440,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845125,82085861168,1,04/20/21 32 2021 23:32:13. 347,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845220,82085861458,1,04/20/21 32 2021 23:32:14. 372,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845409,82085862254,1,04/20/21 32 2021 23:32:15. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845504,82085862544,1,04/20/21 32 2021 23:32:16. 422,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888415926846,355933178203343,2,04/20/21 32 2021 23:32:13. 384,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888423100670,355933198357734,2,04/20/21 32 2021 23:32:14. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888424158288,355933199784459,2,04/20/21 32 2021 23:32:15. 424,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888432409950,355933220682912,2,04/20/21 32 2021 23:32:16. 440,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845125,82085861168,2,04/20/21 32 2021 23:32:13. 347,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845220,82085861458,2,04/20/21 32 2021 23:32:14. 372,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845409,82085862254,2,04/20/21 32 2021 23:32:15. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845504,82085862544,2,04/20/21 32 2021 23:32:16. 422,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817471,85687642066,2,04/20/21 32 2021 23:32:13. 086,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817660,85687642864,2,04/20/21 32 2021 23:32:14. 112,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817755,85687643155,2,04/20/21 32 2021 23:32:15. 139,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817850,85687643446,2,04/20/21 32 2021 23:32:16. 165,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888415926846,355933178203343,3,04/20/21 32 2021 23:32:13. 384,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888423100670,355933198357734,3,04/20/21 32 2021 23:32:14. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888424158288,355933199784459,3,04/20/21 32 2021 23:32:15. 424,train
DGS,KM-tol-0.0001-maxIter-10,1,1,198888432409950,355933220682912,3,04/20/21 32 2021 23:32:16. 440,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845125,82085861168,3,04/20/21 32 2021 23:32:13. 347,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845220,82085861458,3,04/20/21 32 2021 23:32:14. 372,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845409,82085862254,3,04/20/21 32 2021 23:32:15. 397,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1995223845504,82085862544,3,04/20/21 32 2021 23:32:16. 422,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817471,85687642066,3,04/20/21 32 2021 23:32:13. 086,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817660,85687642864,3,04/20/21 32 2021 23:32:14. 112,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817755,85687643155,3,04/20/21 32 2021 23:32:15. 139,train
DGS,KM-tol-0.0001-maxIter-10,1,1,1991572817850,85687643446,3,04/20/21 32 2021 23:32:16. 165,train
DGS,KM-tol-0.0001-maxIter-10,1,1,2070214856497,94572175275,3,04/20/21 32 2021 23:32:13. 238,train
DGS,KM-tol-0.0001-maxIter-10,1,1,2070227936680,94572253708,3,04/20/21 32 2021 23:32:14. 255,train
DGS,KM-tol-0.0001-maxIter-10,1,1,2070228668457,94572539407,3,04/20/21 32 2021 23:32:15. 269,train
DGS,KM-tol-0.0001-maxIter-10,1,1,2070241671345,94572875651,3,04/20/21 32 2021 23:32:16. 283,train
DGS,KM-tol-0.0001-maxIter-10,1,2,198888572073395,355933459791442,0,04/20/21 32 2021 23:32:35. 757,train
DGS,KM-tol-0.0001-maxIter-10,1,2,198888572926466,355933460967951,0,04/20/21 32 2021 23:32:36. 803,train
DGS,KM-tol-0.0001-maxIter-10,1,2,198888580345737,355933476689101,0,04/20/21 32 2021 23:32:37. 817,train
DGS,KM-tol-0.0001-maxIter-10,1,2,198888582540936,355933484007766,0,04/20/21 32 2021 23:32:38. 835,train
