transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
303.0,128.0,3728.0,13891.0,13891.0,,,,,0,DGS,KM-tol-0.01,clustering,0,,,,,0.44132709347082016
277.0,128.0,3695.0,13891.0,13891.0,,,,,1,DGS,KM-tol-0.01,clustering,0,,,,,0.4413270934708203
279.0,128.0,3630.0,13891.0,13891.0,,,,,2,DGS,KM-tol-0.01,clustering,0,,,,,0.4413270934708202
271.0,128.0,3392.0,13891.0,13891.0,,,,,0,DGS,KM-tol-0.1,clustering,0,,,,,0.4396565199477542
282.0,128.0,3195.0,13891.0,13891.0,,,,,1,DGS,KM-tol-0.1,clustering,0,,,,,0.4396565199477542
279.0,128.0,3443.0,13891.0,13891.0,,,,,2,DGS,KM-tol-0.1,clustering,0,,,,,0.4396565199477542
301.0,128.0,2796.0,13891.0,13891.0,,,,,0,DGS,KM-maxIter-5,clustering,0,,,,,0.3969026554617936
293.0,128.0,2806.0,13891.0,13891.0,,,,,1,DGS,KM-maxIter-5,clustering,0,,,,,0.3969026554617936
300.0,128.0,2806.0,13891.0,13891.0,,,,,2,DGS,KM-maxIter-5,clustering,0,,,,,0.3969026554617936
306.0,128.0,3410.0,13891.0,13891.0,,,,,0,DGS,KM-maxIter-15,clustering,0,,,,,0.4401296754965088
331.0,128.0,3646.0,13891.0,13891.0,,,,,1,DGS,KM-maxIter-15,clustering,0,,,,,0.4401296754965089
297.0,128.0,3579.0,13891.0,13891.0,,,,,2,DGS,KM-maxIter-15,clustering,0,,,,,0.4401296754965088
285.0,128.0,3702.0,13891.0,13891.0,,,,,0,DGS,KM-maxIter-20,clustering,0,,,,,0.44132709347082016
268.0,128.0,3612.0,13891.0,13891.0,,,,,1,DGS,KM-maxIter-20,clustering,0,,,,,0.44132709347082016
264.0,128.0,3797.0,13891.0,13891.0,,,,,2,DGS,KM-maxIter-20,clustering,0,,,,,0.4413270934708203
272.0,128.0,3278.0,13891.0,13891.0,,,,,0,DGS,KM-maxIter-10,clustering,0,,,,,0.432239473842666
277.0,128.0,3063.0,13891.0,13891.0,,,,,1,DGS,KM-maxIter-10,clustering,0,,,,,0.432239473842666
289.0,128.0,2976.0,13891.0,13891.0,,,,,2,DGS,KM-maxIter-10,clustering,0,,,,,0.432239473842666
274.0,128.0,3759.0,13891.0,13891.0,,,,,0,DGS,KM-tol-1e-06,clustering,0,,,,,0.44132709347082016
272.0,128.0,3736.0,13891.0,13891.0,,,,,1,DGS,KM-tol-1e-06,clustering,0,,,,,0.4413270934708202
301.0,128.0,3690.0,13891.0,13891.0,,,,,2,DGS,KM-tol-1e-06,clustering,0,,,,,0.4413270934708203
289.0,128.0,3787.0,13891.0,13891.0,,,,,0,DGS,KM-maxIter-50,clustering,0,,,,,0.44132709347082016
272.0,128.0,3744.0,13891.0,13891.0,,,,,1,DGS,KM-maxIter-50,clustering,0,,,,,0.4413270934708202
316.0,128.0,3748.0,13891.0,13891.0,,,,,2,DGS,KM-maxIter-50,clustering,0,,,,,0.4413270934708202
323.0,128.0,3722.0,13891.0,13891.0,,,,,0,DGS,KM-maxIter-100,clustering,0,,,,,0.44132709347082016
270.0,128.0,3902.0,13891.0,13891.0,,,,,1,DGS,KM-maxIter-100,clustering,0,,,,,0.44132709347082016
312.0,128.0,3808.0,13891.0,13891.0,,,,,2,DGS,KM-maxIter-100,clustering,0,,,,,0.44132709347082016
346.0,128.0,3747.0,13891.0,13891.0,,,,,0,DGS,KM-tol-0.0001,clustering,0,,,,,0.4413270934708201
303.0,128.0,3747.0,13891.0,13891.0,,,,,1,DGS,KM-tol-0.0001,clustering,0,,,,,0.44132709347082016
282.0,128.0,4049.0,13891.0,13891.0,,,,,2,DGS,KM-tol-0.0001,clustering,0,,,,,0.44132709347082016
