dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DGS,KM-tol-0.01,0,0,0.1280935085163781,0,0,train
DGS,KM-maxIter-50,0,2,0.0,0,1,train
DGS,KM-maxIter-50,0,2,0.1280939072095142,0,0,train
DGS,KM-maxIter-50,0,1,0.004968944099378869,0,4,test
DGS,KM-maxIter-50,0,1,0.09328358208955224,0,3,train
DGS,KM-maxIter-50,0,1,0.23471882640586794,0,2,train
DGS,KM-maxIter-50,0,1,0.0,0,1,train
DGS,KM-maxIter-50,0,1,0.12809400391137626,0,0,train
DGS,KM-maxIter-50,0,0,0.006203473945409432,0,4,test
DGS,KM-maxIter-50,0,0,0.12422360248447205,0,3,train
DGS,KM-maxIter-50,0,0,0.19454770755885994,0,2,train
DGS,KM-maxIter-50,0,0,0.001242236024844745,0,1,train
DGS,KM-maxIter-50,0,0,0.128094029828111,0,0,train
DGS,KM-tol-1e-06,0,2,0.55980271270037,3,3,train
DGS,KM-tol-1e-06,0,2,0.5018450184501845,3,2,train
DGS,KM-tol-1e-06,0,2,0.28848484848484846,3,1,train
DGS,KM-tol-1e-06,0,2,0.31553673837734547,3,0,train
DGS,KM-tol-1e-06,0,1,0.361077111383109,3,4,test
DGS,KM-tol-1e-06,0,1,0.5092250922509225,3,3,train
DGS,KM-tol-1e-06,0,1,0.49022004889975546,3,2,train
DGS,KM-tol-1e-06,0,1,0.28658536585365857,3,1,train
DGS,KM-tol-1e-06,0,1,0.3155367961516568,3,0,train
DGS,KM-tol-1e-06,0,0,0.3616504854368932,3,4,test
DGS,KM-tol-1e-06,0,0,0.547945205479452,3,3,train
DGS,KM-tol-1e-06,0,0,0.48708487084870855,3,2,train
DGS,KM-tol-1e-06,0,0,0.2745341614906832,3,1,train
DGS,KM-tol-1e-06,0,0,0.31553684279273225,3,0,train
DGS,KM-tol-1e-06,0,2,0.12406947890818856,2,3,train
DGS,KM-tol-1e-06,0,2,0.24029126213592236,2,2,train
DGS,KM-tol-1e-06,0,2,0.0012376237623762387,2,1,train
DGS,KM-maxIter-50,0,2,0.23623011015911877,0,2,train
DGS,KM-tol-1e-06,0,2,0.13862928358259155,2,0,train
DGS,KM-maxIter-50,0,2,0.10578105781057812,0,3,train
DGS,KM-maxIter-50,0,0,0.12775463813730203,1,0,train
DGS,KM-maxIter-50,0,2,0.006195786864931829,2,4,test
DGS,KM-maxIter-50,0,2,0.1906519065190652,2,3,train
DGS,KM-maxIter-50,0,2,0.2170731707317073,2,2,train
DGS,KM-maxIter-50,0,2,0.003708281829419069,2,1,train
DGS,KM-maxIter-50,0,2,0.13863090014799895,2,0,train
DGS,KM-maxIter-50,0,1,0.00988875154511748,2,4,test
DGS,KM-maxIter-50,0,1,0.12577833125778326,2,3,train
DGS,KM-maxIter-50,0,1,0.21551724137931036,2,2,train
DGS,KM-maxIter-50,0,1,0.001240694789081842,2,1,train
DGS,KM-maxIter-50,0,1,0.1386310190104643,2,0,train
DGS,KM-maxIter-50,0,0,0.00988875154511748,2,4,test
DGS,KM-maxIter-50,0,0,0.12747524752475248,2,3,train
DGS,KM-maxIter-50,0,0,0.21978021978021975,2,2,train
DGS,KM-maxIter-50,0,0,0.002481389578163795,2,1,train
DGS,KM-maxIter-50,0,0,0.13863112941224576,2,0,train
DGS,KM-maxIter-50,0,2,0.003731343283582045,1,4,test
DGS,KM-maxIter-50,0,2,0.13754646840148696,1,3,train
DGS,KM-maxIter-50,0,2,0.2138517618469016,1,2,train
DGS,KM-maxIter-50,0,2,0.002481389578163795,1,1,train
DGS,KM-maxIter-50,0,2,0.12775465964549382,1,0,train
DGS,KM-maxIter-50,0,1,0.004975124378109429,1,4,test
