dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,KM-maxIter-10,0,0,160.88500000000005,train,KM,maxIter,10
DGS,KM-maxIter-10,0,1,186.75,train,KM,maxIter,10
DGS,KM-maxIter-10,0,2,78.345,train,KM,maxIter,10
DGS,KM-maxIter-100,0,0,197.26,train,KM,maxIter,100
DGS,KM-maxIter-100,0,1,108.515,train,KM,maxIter,100
DGS,KM-maxIter-100,0,2,69.34,train,KM,maxIter,100
DGS,KM-maxIter-100,0,1,103.6,test,KM,maxIter,100
DGS,KM-maxIter-15,0,0,102.64,train,KM,maxIter,15
DGS,KM-maxIter-15,0,1,255.5,train,KM,maxIter,15
DGS,KM-maxIter-15,0,2,213.9,train,KM,maxIter,15
DGS,KM-maxIter-20,0,0,233.7,train,KM,maxIter,20
DGS,KM-maxIter-20,0,1,222.97,train,KM,maxIter,20
DGS,KM-maxIter-20,0,2,170.015,train,KM,maxIter,20
DGS,KM-maxIter-5,0,0,78.89500000000002,train,KM,maxIter,5
DGS,KM-maxIter-5,0,1,106.385,train,KM,maxIter,5
DGS,KM-maxIter-5,0,2,93.95,train,KM,maxIter,5
DGS,KM-maxIter-5,0,2,83.85,test,KM,maxIter,5
DGS,KM-maxIter-50,0,0,217.7,train,KM,maxIter,50
DGS,KM-maxIter-50,0,1,240.45,train,KM,maxIter,50
DGS,KM-maxIter-50,0,2,298.36,train,KM,maxIter,50
DGS,KM-maxIter-50,0,0,83.41499999999998,test,KM,maxIter,50
DGS,KM-tol-0.0001,0,0,190.05,train,KM,tol,0.0001
DGS,KM-tol-0.0001,0,1,121.635,train,KM,tol,0.0001
DGS,KM-tol-0.0001,0,2,142.12500000000003,train,KM,tol,0.0001
DGS,KM-tol-0.01,0,0,250.515,train,KM,tol,0.01
DGS,KM-tol-0.01,0,1,192.1,train,KM,tol,0.01
DGS,KM-tol-0.01,0,2,368.2,train,KM,tol,0.01
DGS,KM-tol-0.1,0,0,217.7,train,KM,tol,0.1
DGS,KM-tol-0.1,0,1,95.6,train,KM,tol,0.1
DGS,KM-tol-0.1,0,2,117.935,train,KM,tol,0.1
DGS,KM-tol-0.1,0,2,48.47,test,KM,tol,0.1
DGS,KM-tol-1e-06,0,0,173.29999999999995,train,KM,tol,1e-06
DGS,KM-tol-1e-06,0,1,366.05,train,KM,tol,1e-06
DGS,KM-tol-1e-06,0,2,129.695,train,KM,tol,1e-06
