dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,KM-tol-0.01,0,0,0,0,0,0,train
DGS,KM-maxIter-50,0,2,241,2080,0,1,train
DGS,KM-maxIter-50,0,2,0,0,0,0,train
DGS,KM-maxIter-50,0,1,189,795,0,4,test
DGS,KM-maxIter-50,0,1,3057,6336,0,3,train
DGS,KM-maxIter-50,0,1,4823,3604,0,2,train
DGS,KM-maxIter-50,0,1,189,795,0,1,train
DGS,KM-maxIter-50,0,1,0,0,0,0,train
DGS,KM-maxIter-50,0,0,189,795,0,4,test
DGS,KM-maxIter-50,0,0,3109,6440,0,3,train
DGS,KM-maxIter-50,0,0,4793,3486,0,2,train
DGS,KM-maxIter-50,0,0,189,795,0,1,train
DGS,KM-maxIter-50,0,0,0,0,0,0,train
DGS,KM-tol-1e-06,0,2,42397,35475,3,3,train
DGS,KM-tol-1e-06,0,2,24238,23618,3,2,train
DGS,KM-tol-1e-06,0,2,17117,13715,3,1,train
DGS,KM-tol-1e-06,0,2,0,0,3,0,train
DGS,KM-tol-1e-06,0,1,1764,767,3,4,test
DGS,KM-tol-1e-06,0,1,37331,30602,3,3,train
DGS,KM-tol-1e-06,0,1,24186,23618,3,2,train
DGS,KM-tol-1e-06,0,1,14547,13715,3,1,train
DGS,KM-tol-1e-06,0,1,0,0,3,0,train
DGS,KM-tol-1e-06,0,0,3556,913,3,4,test
DGS,KM-tol-1e-06,0,0,36661,29980,3,3,train
DGS,KM-tol-1e-06,0,0,23731,23524,3,2,train
DGS,KM-tol-1e-06,0,0,224056,222707,3,1,train
DGS,KM-tol-1e-06,0,0,0,0,3,0,train
DGS,KM-tol-1e-06,0,2,3057,6337,2,3,train
DGS,KM-tol-1e-06,0,2,4761,3523,2,2,train
DGS,KM-tol-1e-06,0,2,241,2082,2,1,train
DGS,KM-maxIter-50,0,2,4946,5164,0,2,train
DGS,KM-tol-1e-06,0,2,0,0,2,0,train
DGS,KM-maxIter-50,0,2,3057,6336,0,3,train
DGS,KM-maxIter-50,0,0,0,0,1,0,train
DGS,KM-maxIter-50,0,2,95,290,2,4,test
DGS,KM-maxIter-50,0,2,4885,7329,2,3,train
DGS,KM-maxIter-50,0,2,3118,4392,2,2,train
DGS,KM-maxIter-50,0,2,189,797,2,1,train
DGS,KM-maxIter-50,0,2,0,0,2,0,train
DGS,KM-maxIter-50,0,1,147,1575,2,4,test
DGS,KM-maxIter-50,0,1,3151,6844,2,3,train
DGS,KM-maxIter-50,0,1,4825,3606,2,2,train
DGS,KM-maxIter-50,0,1,95,290,2,1,train
DGS,KM-maxIter-50,0,1,0,0,2,0,train
DGS,KM-maxIter-50,0,0,95,290,2,4,test
DGS,KM-maxIter-50,0,0,3151,6844,2,3,train
DGS,KM-maxIter-50,0,0,4715,3471,2,2,train
DGS,KM-maxIter-50,0,0,141,290,2,1,train
DGS,KM-maxIter-50,0,0,0,0,2,0,train
DGS,KM-maxIter-50,0,2,189,797,1,4,test
DGS,KM-maxIter-50,0,2,5015,7225,1,3,train
DGS,KM-maxIter-50,0,2,2757,3920,1,2,train
DGS,KM-maxIter-50,0,2,189,797,1,1,train
DGS,KM-maxIter-50,0,2,0,0,1,0,train
DGS,KM-maxIter-50,0,1,241,2082,1,4,test
DGS,KM-maxIter-50,0,1,5067,7225,1,3,train
DGS,KM-maxIter-50,0,1,2900,2787,1,2,train
DGS,KM-maxIter-50,0,1,189,797,1,1,train
DGS,KM-maxIter-50,0,1,0,0,1,0,train
DGS,KM-maxIter-50,0,0,189,797,1,4,test
DGS,KM-maxIter-50,0,0,3005,6337,1,3,train
DGS,KM-maxIter-50,0,0,4715,3523,1,2,train
DGS,KM-maxIter-50,0,0,235,797,1,1,train
DGS,KM-maxIter-50,0,2,189,795,0,4,test
DGS,KM-tol-1e-06,0,1,189,797,2,4,test
DGS,KM-tol-1e-06,0,1,3005,6337,2,3,train
DGS,KM-tol-1e-06,0,1,4910,3623,2,2,train
DGS,KM-tol-1e-06,0,0,0,0,0,0,train
DGS,KM-maxIter-10,0,2,36624,29427,3,3,test
DGS,KM-maxIter-10,0,2,24239,23670,3,2,train
DGS,KM-maxIter-10,0,2,19836,19469,3,1,train
DGS,KM-maxIter-10,0,2,0,0,3,0,train
DGS,KM-maxIter-10,0,1,36713,30032,3,3,train
DGS,KM-maxIter-10,0,1,24290,23670,3,2,train
DGS,KM-maxIter-10,0,1,14547,13611,3,1,train
DGS,KM-maxIter-10,0,1,0,0,3,0,train
DGS,KM-maxIter-10,0,0,36564,29470,3,3,train
DGS,KM-maxIter-10,0,0,27736,24242,3,2,train
DGS,KM-maxIter-10,0,0,16338,13757,3,1,train
DGS,KM-maxIter-10,0,0,0,0,3,0,train
DGS,KM-maxIter-10,0,2,5015,7225,2,3,test
DGS,KM-maxIter-10,0,2,2900,2735,2,2,train
DGS,KM-maxIter-10,0,2,189,797,2,1,train
DGS,KM-maxIter-10,0,2,0,0,2,0,train
DGS,KM-maxIter-10,0,1,3151,6844,2,3,train
DGS,KM-maxIter-10,0,1,4715,3523,2,2,train
DGS,KM-maxIter-10,0,1,190,580,2,1,train
DGS,KM-maxIter-10,0,1,0,0,2,0,train
DGS,KM-maxIter-10,0,0,3151,6844,2,3,train
DGS,KM-maxIter-10,0,0,4910,3675,2,2,train
DGS,KM-maxIter-10,0,0,147,1575,2,1,train
DGS,KM-maxIter-10,0,0,0,0,2,0,train
DGS,KM-maxIter-10,0,2,3057,6441,1,3,test
DGS,KM-maxIter-10,0,2,4867,4009,1,2,train
DGS,KM-maxIter-10,0,2,95,290,1,1,train
DGS,KM-maxIter-10,0,2,0,0,1,0,train
DGS,KM-tol-1e-06,0,0,189,795,0,1,train
DGS,KM-tol-1e-06,0,0,2704,2633,0,2,train
DGS,KM-tol-1e-06,0,0,5015,7224,0,3,train
DGS,KM-tol-1e-06,0,0,241,2080,0,4,test
DGS,KM-tol-1e-06,0,1,189,797,2,1,train
DGS,KM-tol-1e-06,0,1,0,0,2,0,train
DGS,KM-tol-1e-06,0,0,95,290,2,4,test
DGS,KM-tol-1e-06,0,0,4885,7329,2,3,train
DGS,KM-tol-1e-06,0,0,2981,3038,2,2,train
DGS,KM-tol-1e-06,0,0,95,290,2,1,train
DGS,KM-tol-1e-06,0,0,0,0,2,0,train
DGS,KM-tol-1e-06,0,2,3109,6441,1,3,train
DGS,KM-tol-1e-06,0,2,4709,3419,1,2,train
DGS,KM-tol-1e-06,0,2,241,2082,1,1,train
DGS,KM-tol-1e-06,0,2,0,0,1,0,train
DGS,KM-tol-1e-06,0,1,189,797,1,4,test
DGS,KM-tol-1e-06,0,1,5067,7225,1,3,train
DGS,KM-tol-1e-06,0,1,2815,2718,1,2,train
DGS,KM-maxIter-50,0,0,0,0,3,0,train
DGS,KM-tol-1e-06,0,1,189,797,1,1,train
DGS,KM-tol-1e-06,0,0,189,797,1,4,test
DGS,KM-tol-1e-06,0,0,5067,7225,1,3,train
DGS,KM-tol-1e-06,0,0,2790,2704,1,2,train
DGS,KM-tol-1e-06,0,0,189,797,1,1,train
DGS,KM-tol-1e-06,0,0,0,0,1,0,train
DGS,KM-tol-1e-06,0,2,3005,6336,0,3,train
DGS,KM-tol-1e-06,0,2,4939,4096,0,2,train
DGS,KM-tol-1e-06,0,2,95,289,0,1,train
DGS,KM-tol-1e-06,0,2,0,0,0,0,train
DGS,KM-tol-1e-06,0,1,189,795,0,4,test
DGS,KM-tol-1e-06,0,1,4791,6821,0,3,train
DGS,KM-tol-1e-06,0,1,3183,3625,0,2,train
DGS,KM-tol-1e-06,0,1,95,289,0,1,train
DGS,KM-tol-1e-06,0,1,0,0,0,0,train
DGS,KM-tol-1e-06,0,1,0,0,1,0,train
DGS,KM-maxIter-10,0,1,3109,6441,1,3,train
DGS,KM-maxIter-50,0,0,17623,13913,3,1,train
DGS,KM-maxIter-50,0,0,41912,34818,3,3,train
DGS,KM-tol-0.0001,0,1,189,797,1,4,test
