dataset,algorithm,platformId,runId,Energy,phase
DGS,KM,0,2,368.25,train
DGS,KM,0,1,503.54999999999995,train
DGS,KM,0,0,371.25,train
DGS,KM,0,0,27.537339999999997,test
DGS,KM,0,1,34.3516,test
DGS,KM,0,2,31.6566,test
DGS,KM,1,1,222.155,train
DGS,KM,1,2,27.554799999999997,test
DGS,KM,1,1,26.075640000000003,test
DGS,KM,1,0,21.743959999999998,test
DGS,KM,1,2,77.69999999999999,train
DGS,KM,1,0,190.88,train
DGS,KM,2,1,192.5,train
DGS,KM,2,2,359.35,train
DGS,KM,2,0,23.909219999999998,test
DGS,KM,2,0,170.2,train
DGS,KM,2,1,23.690420000000003,test
DGS,KM,2,2,25.18384,test
DGS,KM,3,1,29.668800000000005,test
DGS,KM,3,0,35.1792,test
DGS,KM,3,0,215.78500000000003,train
DGS,KM,3,1,289.685,train
DGS,KM,3,2,126.265,train
DGS,KM,3,2,28.177239999999998,test
DGS,KM,4,2,375.975,train
DGS,KM,4,0,136.575,train
DGS,KM,4,1,264.25,train
DGS,KM,4,1,25.318099999999998,test
DGS,KM,4,2,33.84499999999999,test
DGS,KM,4,0,25.980480000000004,test
DGS,KM,5,2,28.955519999999996,test
DGS,KM,5,1,26.614299999999997,test
DGS,KM,5,2,126.925,train
DGS,KM,5,0,331.6,train
DGS,KM,5,1,318.56500000000005,train
DGS,KM,5,0,37.151999999999994,test
DGS,KM,6,0,162.94,train
DGS,KM,6,1,343.84,train
DGS,KM,6,0,40.4796,test
DGS,KM,6,1,28.109600000000004,test
DGS,KM,6,2,40.527,test
DGS,KM,6,2,275.85,train
DGS,KM,7,0,564.58,train
DGS,KM,7,1,26.163499999999996,test
DGS,KM,7,2,23.667600000000004,test
DGS,KM,7,2,435.69,train
DGS,KM,7,1,519.74,train
DGS,KM,7,0,36.775200000000005,test
DGS,KM,8,2,349.505,train
DGS,KM,8,1,353.34000000000003,train
DGS,KM,8,2,26.72288,test
DGS,KM,8,1,24.93,test
DGS,KM,8,0,51.069599999999994,test
DGS,KM,8,0,264.815,train
DGS,KM,9,0,22.3234,test
DGS,KM,9,2,25.759839999999997,test
DGS,KM,9,1,22.89302,test
DGS,KM,9,2,237.185,train
DGS,KM,9,1,245.45,train
DGS,KM,9,0,347.2,train
DGS,KM,10,0,20.6283,test
DGS,KM,10,1,76.26,train
DGS,KM,10,0,240.87,train
DGS,KM,10,1,23.6466,test
DGS,KM,10,2,19.9449,test
DGS,KM,10,2,140.03500000000003,train
DGS,KM,11,0,29.8284,test
DGS,KM,11,1,37.404,test
DGS,KM,11,2,23.8855,test
DGS,KM,11,2,233.35000000000002,train
DGS,KM,11,0,229.53,train
DGS,KM,11,1,261.73,train
DGS,KM,12,1,33.495200000000004,test
DGS,KM,12,1,225.485,train
DGS,KM,12,0,296.58,train
DGS,KM,12,2,17.2848,test
DGS,KM,12,2,92.765,train
DGS,KM,12,0,18.354830000000003,test
DGS,KM,13,0,31.3788,test
DGS,KM,13,2,35.0776,test
DGS,KM,13,1,110.935,train
DGS,KM,13,0,132.53,train
DGS,KM,13,2,171.53000000000003,train
DGS,KM,13,1,18.78,test
DGS,KM,14,0,341.4,train
DGS,KM,14,1,352.1,train
DGS,KM,14,1,27.756200000000003,test
DGS,KM,14,2,28.282799999999998,test
DGS,KM,14,2,206.22500000000002,train
DGS,KM,14,0,37.0414,test
DGS,KM,15,0,27.360900000000004,test
DGS,KM,15,2,82.04499999999999,train
DGS,KM,15,1,134.325,train
DGS,KM,15,1,34.524,test
DGS,KM,15,2,29.493499999999997,test
DGS,KM,15,0,175.57,train
DGS,KM,16,0,28.153200000000002,test
DGS,KM,16,1,26.42825,test
DGS,KM,16,0,113.75999999999999,train
DGS,KM,16,1,184.1,train
DGS,KM,16,2,250.05,train
DGS,KM,16,2,35.0406,test
DGS,KM,17,1,522.65,train
DGS,KM,17,2,33.8741,test
DGS,KM,17,1,27.98064,test
DGS,KM,17,2,517.3499999999999,train
DGS,KM,17,0,504.8,train
DGS,KM,17,0,28.4022,test
DGS,KM,18,0,538.35,train
DGS,KM,18,0,22.442100000000003,test
DGS,KM,18,1,30.797130000000003,test
DGS,KM,18,1,361.95,train
DGS,KM,18,2,379.2,train
DGS,KM,18,2,21.948,test
DGS,KM,19,2,330.315,train
DGS,KM,19,2,20.732,test
DGS,KM,19,1,18.369,test
DGS,KM,19,1,492.1,train
DGS,KM,19,0,363.975,train
DGS,KM,19,0,23.483700000000006,test
DGS,KM,20,0,437.4000000000001,train
DGS,KM,20,2,27.124460000000003,test
DGS,KM,20,1,21.3867,test
DGS,KM,20,2,290.71000000000004,train
DGS,KM,20,1,431.33000000000004,train
DGS,KM,20,0,26.7652,test
DGS,KM,21,2,37.50773,test
DGS,KM,21,1,29.675530000000002,test
DGS,KM,21,0,30.203599999999998,test
DGS,KM,21,0,386.1,train
DGS,KM,21,1,364.20500000000004,train
DGS,KM,21,2,377.15,train
DGS,KM,22,1,380.865,train
DGS,KM,22,0,219.78499999999997,train
DGS,KM,22,2,28.55572,test
DGS,KM,22,2,363.755,train
DGS,KM,22,1,27.222600000000003,test
DGS,KM,22,0,25.2531,test
DGS,KM,23,2,30.5092,test
DGS,KM,23,1,20.53512,test
DGS,KM,23,2,355.49500000000006,train
DGS,KM,23,0,25.702199999999998,test
DGS,KM,23,1,316.71,train
DGS,KM,23,0,326.11,train
DGS,KM,24,1,135.03,train
DGS,KM,24,0,165.41,train
DGS,KM,24,0,30.25146,test
DGS,KM,24,1,21.367499999999996,test
DGS,KM,24,2,172.29000000000002,train
DGS,KM,24,2,24.208,test
DGS,KM,25,1,152.635,train
DGS,KM,25,2,22.77213,test
DGS,KM,25,1,24.9284,test
DGS,KM,25,0,20.528200000000002,test
DGS,KM,25,0,104.07,train
DGS,KM,25,2,104.035,train
DGS,KM,26,1,30.22878,test
DGS,KM,26,0,24.523,test
DGS,KM,26,2,21.44534,test
DGS,KM,26,0,172.81,train
DGS,KM,26,1,176.865,train
DGS,KM,26,2,178.07999999999998,train
DGS,KM,27,2,29.151169999999997,test
DGS,KM,27,0,26.406699999999997,test
DGS,KM,27,2,226.72,train
DGS,KM,27,1,137.66000000000003,train
DGS,KM,27,0,182.735,train
DGS,KM,27,1,24.8634,test
DGS,KM,28,1,247.64499999999998,train
DGS,KM,28,2,178.695,train
DGS,KM,28,2,29.810299999999994,test
DGS,KM,28,0,17.9772,test
DGS,KM,28,0,174.26000000000005,train
DGS,KM,29,0,293.08,train
DGS,KM,29,0,39.15,test
DGS,KM,29,1,326.49,train
DGS,KM,29,2,247.82999999999998,train
DGS,KM,29,1,25.04845,test
DGS,KM,29,2,41.6976,test
DGS,KM,30,0,34.76520000000001,test
DGS,KM,30,1,24.786,test
DGS,KM,30,1,357.73,train
DGS,KM,30,0,252.55,train
DGS,KM,30,2,350.78999999999996,train
DGS,KM,30,2,29.916,test
DGS,KM,31,2,348.185,train
DGS,KM,31,1,31.9272,test
DGS,KM,31,2,24.730559999999997,test
DGS,KM,31,0,28.959,test
DGS,KM,31,0,264.90999999999997,train
DGS,KM,31,1,322.54999999999995,train
DGS,KM,32,2,518.35,train
DGS,KM,32,1,515.1999999999999,train
DGS,KM,32,0,329.75,train
DGS,KM,32,0,25.7214,test
DGS,KM,32,1,25.558799999999998,test
DGS,KM,32,2,37.165400000000005,test
DGS,KM,33,1,32.104510000000005,test
DGS,KM,33,2,36.919799999999995,test
DGS,KM,33,1,483.78000000000003,train
DGS,KM,33,2,346.65000000000003,train
DGS,KM,33,0,510.3,train
DGS,KM,33,0,43.8416,test
DGS,KM,34,1,22.808919999999997,test
DGS,KM,34,0,26.3097,test
DGS,KM,34,0,321.7,train
DGS,KM,34,1,517.0250000000001,train
DGS,KM,34,2,498.71500000000003,train
DGS,KM,34,2,36.9754,test
DGS,KM,35,0,25.65604,test
DGS,KM,35,2,340.95,train
DGS,KM,35,2,26.013,test
DGS,KM,35,1,495.93,train
DGS,KM,35,0,358.95000000000005,train
DGS,KM,35,1,26.16528,test
DGS,KM,36,2,38.833800000000004,test
DGS,KM,36,2,161.98000000000002,train
DGS,KM,36,1,170.21499999999997,train
DGS,KM,36,0,433.845,train
DGS,KM,36,1,22.935039999999997,test
DGS,KM,36,0,19.208800000000004,test
DGS,KM,37,2,29.04,test
DGS,KM,37,2,439.195,train
DGS,KM,37,1,262.0,train
DGS,KM,37,0,168.16,train
DGS,KM,37,1,30.588800000000003,test
DGS,KM,37,0,26.251739999999998,test
DGS,KM,38,2,28.208399999999997,test
DGS,KM,38,1,35.942479999999996,test
DGS,KM,38,0,391.0,train
DGS,KM,38,1,394.095,train
DGS,KM,38,2,331.98,train
DGS,KM,38,0,24.529960000000003,test
DGS,KM,39,0,36.71920000000001,test
DGS,KM,39,1,29.944,test
DGS,KM,39,2,20.87058,test
DGS,KM,39,2,241.815,train
DGS,KM,39,0,108.955,train
DGS,KM,39,1,170.55,train
DGS,KM,40,0,276.5,train
DGS,KM,40,2,387.955,train
DGS,KM,40,0,36.861,test
DGS,KM,40,1,19.18988,test
DGS,KM,40,1,481.8500000000001,train
DGS,KM,40,2,19.38398,test
DGS,KM,41,1,443.3,train
DGS,KM,41,0,370.03,train
DGS,KM,41,2,32.30779999999999,test
DGS,KM,41,1,24.797,test
DGS,KM,41,0,39.55,test
DGS,KM,41,2,173.58499999999998,train
DGS,KM,42,2,20.38268,test
DGS,KM,42,2,393.6,train
DGS,KM,42,1,18.519299999999998,test
DGS,KM,42,1,245.97500000000002,train
DGS,KM,42,0,17.43563,test
DGS,KM,42,0,156.83999999999997,train
DGS,KM,43,0,322.65,train
DGS,KM,43,1,358.05,train
DGS,KM,43,2,29.686700000000002,test
DGS,KM,43,1,29.22,test
DGS,KM,43,0,20.04706,test
DGS,KM,43,2,296.73,train
DGS,KM,44,0,26.2476,test
DGS,KM,44,2,106.755,train
DGS,KM,44,1,29.2521,test
DGS,KM,44,1,234.435,train
DGS,KM,44,0,210.3,train
DGS,KM,44,2,33.066,test
DGS,KM,45,2,20.212,test
DGS,KM,45,1,25.444999999999997,test
DGS,KM,45,0,26.845100000000002,test
DGS,KM,45,2,399.0,train
DGS,KM,45,1,297.26000000000005,train
DGS,KM,45,0,138.765,train
DGS,KM,46,1,19.6836,test
DGS,KM,46,0,21.4928,test
DGS,KM,46,2,243.415,train
DGS,KM,46,1,533.4,train
DGS,KM,46,0,370.2,train
DGS,KM,46,2,20.16105,test
