dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,KM,0,1,0.8171097690224084,65451544,11970448,2,2,train
DGS,KM,0,2,0.7765517992447912,65451572,14625036,0,2,train
DGS,KM,0,2,0.7721704224308013,65451572,14911804,0,1,train
DGS,KM,0,2,0.7721716447085488,65451572,14911724,0,0,train
DGS,KM,0,1,0.7769121878386664,65451572,14601448,0,3,train
DGS,KM,0,1,0.7762909651734567,65451572,14642108,0,2,train
DGS,KM,0,1,0.7718955321653695,65451572,14929796,0,1,train
DGS,KM,0,1,0.7718969377847793,65451572,14929704,0,0,train
DGS,KM,0,0,0.7761062178919095,65451572,14654200,0,4,test
DGS,KM,0,0,0.7717330914527156,65451572,14940428,0,3,train
DGS,KM,0,0,0.771724779964032,65451572,14940972,0,2,train
DGS,KM,0,0,0.7717152461976009,65451572,14941596,0,1,train
DGS,KM,0,2,0.7777316639545342,65451572,14547812,0,3,train
DGS,KM,0,0,0.7717198297391543,65451572,14941296,0,0,train
DGS,KM,0,0,0.7773912254843064,65451544,14570088,3,1,train
DGS,KM,0,0,0.7802301501092167,65451544,14384276,3,2,train
DGS,KM,0,0,0.7812234956596288,65451544,14319260,3,3,train
DGS,KM,0,0,0.7846299851994324,65451544,14096300,3,4,test
DGS,KM,0,1,0.7763383549821223,65451544,14639000,3,0,train
DGS,KM,0,1,0.7805222135019458,65451544,14365160,3,1,train
DGS,KM,0,1,0.7848628292099572,65451544,14081060,3,2,train
DGS,KM,0,1,0.7942318977226878,65451544,13467840,3,3,train
DGS,KM,0,2,0.776600717012879,65451544,14621828,3,0,train
DGS,KM,0,2,0.7808202049442867,65451544,14345656,3,1,train
DGS,KM,0,2,0.7852350740572293,65451544,14056696,3,2,train
DGS,KM,0,0,0.7761041053515865,65451544,14654332,3,0,train
DGS,KM,0,2,0.7934418170486551,65451544,13519552,3,3,train
DGS,KM,0,2,0.7777321528656332,65451572,14547780,0,4,test
DGS,KM,0,2,0.8186897470287332,65451544,11867036,2,3,train
DGS,KM,0,0,0.7976740166740757,65451544,13242548,1,2,train
DGS,KM,0,0,0.7976820837106608,65451544,13242020,1,3,train
DGS,KM,0,0,0.8024219566157217,65451544,12931788,1,4,test
DGS,KM,0,1,0.7978623086416419,65451544,13230224,1,0,train
DGS,KM,0,1,0.7978662810460209,65451544,13229964,1,1,train
DGS,KM,0,1,0.8016730667194039,65451544,12980804,1,2,train
DGS,KM,0,1,0.8033233868401943,65451544,12872788,1,3,train
DGS,KM,0,2,0.798105236447898,65451544,13214324,1,0,train
DGS,KM,0,2,0.7981045030809357,65451544,13214372,1,1,train
DGS,KM,0,2,0.8028433370494668,65451544,12904208,1,2,train
DGS,KM,0,2,0.8035092342512195,65451544,12860624,1,3,train
DGS,KM,0,2,0.8186803354860506,65451544,11867652,2,4,test
DGS,KM,0,2,0.803480694053604,65451544,12862492,1,4,test
DGS,KM,0,0,0.8124333323595849,65451544,12276528,2,1,train
DGS,KM,0,0,0.8124412160544295,65451544,12276012,2,2,train
DGS,KM,0,0,0.8124496497744957,65451544,12275460,2,3,train
DGS,KM,0,0,0.8176064417976144,65451544,11937940,2,4,test
DGS,KM,0,1,0.8126452142977711,65451544,12262660,2,0,train
DGS,KM,0,1,0.8126411196655651,65451544,12262928,2,1,train
DGS,KM,0,0,0.797673588876681,65451544,13242576,1,1,train
DGS,KM,0,1,0.8184356964902157,65451544,11883664,2,3,train
DGS,KM,0,2,0.8129114265050799,65451544,12245236,2,0,train
DGS,KM,0,2,0.8129059262528627,65451544,12245596,2,1,train
DGS,KM,0,2,0.8180358892679446,65451544,11909832,2,2,train
DGS,KM,0,0,0.8124330879039309,65451544,12276544,2,0,train
DGS,KM,0,2,0.7945049546883111,65451544,13449968,3,4,test
DGS,KM,0,0,0.7976781724201953,65451544,13242276,1,0,train
DGS,KM,1,0,0.26805418066226216,65451544,47906984,2,3,train
DGS,KM,1,0,0.2512208568497026,65451572,49008772,0,0,train
DGS,KM,1,2,0.26850159562316817,65451544,47877700,2,3,train
DGS,KM,1,2,0.26714486674294496,65451544,47966500,2,2,train
DGS,KM,1,2,0.2627488818292812,65451544,48254224,2,1,train
DGS,KM,1,2,0.262752243094525,65451544,48254004,2,0,train
DGS,KM,1,1,0.26827547414313097,65451544,47892500,2,3,train
DGS,KM,1,1,0.26766916300706367,65451544,47932184,2,2,train
DGS,KM,1,1,0.26250546511171685,65451544,48270156,2,1,train
DGS,KM,1,1,0.26250827635173896,65451544,48269972,2,0,train
DGS,KM,1,0,0.26741981823988753,65451544,47948504,2,2,train
DGS,KM,1,0,0.26222855796954153,65451544,48288280,2,1,train
DGS,KM,1,0,0.2622325303739206,65451544,48288020,2,0,train
DGS,KM,1,0,0.2569354208053518,65451544,48634724,1,0,train
DGS,KM,1,0,0.25693590971666,65451544,48634692,1,1,train
DGS,KM,1,0,0.25693652085579527,65451544,48634652,1,2,train
DGS,KM,1,0,0.2569409821714825,65451544,48634360,1,3,train
DGS,KM,1,1,0.2569466657654402,65451544,48633988,1,0,train
DGS,KM,1,0,0.25122672378289096,65451572,49008388,0,1,train
DGS,KM,1,0,0.25123998549645227,65451572,49007520,0,2,train
DGS,KM,1,1,0.25124139111586197,65451572,49007428,0,0,train
DGS,KM,1,1,0.25123491304379975,65451572,49007852,0,1,train
DGS,KM,1,0,0.8891758458746214,65451544,7253612,3,0,train
DGS,KM,1,0,0.8933202859202222,65451544,6982352,3,1,train
DGS,KM,1,0,0.8964966815756096,65451544,6774452,3,2,train
DGS,KM,1,0,0.8997299131705739,65451544,6562832,3,3,train
DGS,KM,1,1,0.8892057305783344,65451544,7251656,3,0,train
DGS,KM,1,1,0.8933732716832471,65451544,6978884,3,1,train
DGS,KM,1,1,0.8965474061238341,65451544,6771132,3,2,train
DGS,KM,1,1,0.8999949030996122,65451544,6545488,3,3,train
DGS,KM,1,1,0.2569447712341209,65451544,48634112,1,1,train
DGS,KM,1,2,0.889197052402614,65451544,7252224,3,0,train
DGS,KM,1,2,0.8963680367876424,65451544,6782872,3,2,train
DGS,KM,1,2,0.8999241943016654,65451544,6550116,3,3,train
DGS,KM,1,2,0.25126595889858844,65451572,49005820,0,3,train
DGS,KM,1,2,0.25125740295435534,65451572,49006380,0,2,train
DGS,KM,1,2,0.25125679181548155,65451572,49006420,0,1,train
DGS,KM,1,2,0.2512633310014311,65451572,49005992,0,0,train
DGS,KM,1,1,0.2512369909159707,65451572,49007716,0,3,train
DGS,KM,1,1,0.2512362575493221,65451572,49007764,0,2,train
DGS,KM,1,2,0.8933636767988239,65451544,6979512,3,1,train
DGS,KM,1,1,0.2569524715872249,65451544,48633608,1,2,train
DGS,KM,1,0,0.25124829698513584,65451572,49006976,0,3,train
DGS,KM,1,2,0.2569623720412157,65451544,48632960,1,0,train
DGS,KM,1,2,0.2569742281404393,65451544,48632184,1,1,train
DGS,KM,1,2,0.2569708668751955,65451544,48632404,1,2,train
DGS,KM,1,2,0.2569754504187098,65451544,48632104,1,3,train
DGS,KM,1,1,0.25696041639598294,65451544,48633088,1,3,train
DGS,KM,2,2,0.896419800272397,65451544,6779484,3,2,train
DGS,KM,2,2,0.8991375971207035,65451544,6601600,3,3,train
DGS,KM,2,2,0.8999730854324842,65451544,6546916,3,4,train
DGS,KM,2,2,0.2621583991968165,65451544,48292872,1,3,train
DGS,KM,2,2,0.25114825355149606,65451572,49013524,0,4,train
DGS,KM,2,2,0.25122886276894923,65451572,49008248,0,3,train
DGS,KM,2,2,0.25122812940230066,65451572,49008296,0,2,train
DGS,KM,2,2,0.2512427356213843,65451572,49007340,0,0,train
DGS,KM,2,2,0.8933103243523178,65451544,6983004,3,1,train
DGS,KM,2,1,0.25125171936282903,65451572,49006752,0,3,train
DGS,KM,2,1,0.2512434078741455,65451572,49007296,0,2,train
DGS,KM,2,1,0.2512389465603668,65451572,49007588,0,1,train
DGS,KM,2,1,0.25123644089098424,65451572,49007752,0,0,train
DGS,KM,2,0,0.25121352318321705,65451572,49009252,0,3,train
