dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,KM,0,1,4715,3523,2,2,train
DGS,KM,0,2,5685,6303,0,2,train
DGS,KM,0,2,766,1574,0,1,train
DGS,KM,0,2,0,0,0,0,train
DGS,KM,0,1,2393,5428,0,3,train
DGS,KM,0,1,5378,4429,0,2,train
DGS,KM,0,1,339,2080,0,1,train
DGS,KM,0,1,0,0,0,0,train
DGS,KM,0,0,5666,5087,0,4,test
DGS,KM,0,0,0,0,0,3,train
DGS,KM,0,0,95,289,0,2,train
DGS,KM,0,0,0,0,0,1,train
DGS,KM,0,2,2695,5428,0,3,train
DGS,KM,0,0,0,0,0,0,train
DGS,KM,0,0,13501,16075,3,1,train
DGS,KM,0,0,5566,2232,3,2,train
DGS,KM,0,0,430,183,3,3,train
DGS,KM,0,0,24456,23927,3,4,test
DGS,KM,0,1,0,0,3,0,train
DGS,KM,0,1,23132,18397,3,1,train
DGS,KM,0,1,23927,24138,3,2,train
DGS,KM,0,1,36677,29531,3,3,train
DGS,KM,0,2,0,0,3,0,train
DGS,KM,0,2,20675,18147,3,1,train
DGS,KM,0,2,28145,23930,3,2,train
DGS,KM,0,0,0,0,3,0,train
DGS,KM,0,2,37015,29928,3,3,train
DGS,KM,0,2,95,289,0,4,test
DGS,KM,0,2,2695,5429,2,3,train
DGS,KM,0,0,95,290,1,2,train
DGS,KM,0,0,0,0,1,3,train
DGS,KM,0,0,5340,4691,1,4,test
DGS,KM,0,1,0,0,1,0,train
DGS,KM,0,1,287,2082,1,1,train
DGS,KM,0,1,4715,3523,1,2,train
DGS,KM,0,1,3005,6337,1,3,train
DGS,KM,0,2,0,0,1,0,train
DGS,KM,0,2,756,797,1,1,train
DGS,KM,0,2,5489,5799,1,2,train
DGS,KM,0,2,2695,5429,1,3,train
DGS,KM,0,2,189,797,2,4,test
DGS,KM,0,2,189,797,1,4,test
DGS,KM,0,0,0,0,2,1,train
DGS,KM,0,0,189,797,2,2,train
DGS,KM,0,0,0,0,2,3,train
DGS,KM,0,0,5074,4028,2,4,test
DGS,KM,0,1,0,0,2,0,train
DGS,KM,0,1,193,1575,2,1,train
DGS,KM,0,0,0,0,1,1,train
DGS,KM,0,1,3151,6844,2,3,train
DGS,KM,0,2,0,0,2,0,train
DGS,KM,0,2,756,797,2,1,train
DGS,KM,0,2,5489,5799,2,2,train
DGS,KM,0,0,0,0,2,0,train
DGS,KM,0,2,1764,767,3,4,test
DGS,KM,0,0,0,0,1,0,train
DGS,KM,1,0,2733,7133,2,3,train
DGS,KM,1,0,0,0,0,0,train
DGS,KM,1,2,3057,6337,2,3,train
DGS,KM,1,2,5221,4908,2,2,train
DGS,KM,1,2,189,797,2,1,train
DGS,KM,1,2,0,0,2,0,train
DGS,KM,1,1,2785,7133,2,3,train
DGS,KM,1,1,5045,3980,2,2,train
DGS,KM,1,1,189,797,2,1,train
DGS,KM,1,1,0,0,2,0,train
DGS,KM,1,0,5155,4115,2,2,train
DGS,KM,1,0,189,797,2,1,train
DGS,KM,1,0,0,0,2,0,train
DGS,KM,1,0,0,0,1,0,train
DGS,KM,1,0,189,797,1,1,train
DGS,KM,1,0,95,290,1,2,train
DGS,KM,1,0,95,290,1,3,train
DGS,KM,1,1,0,0,1,0,train
DGS,KM,1,0,95,289,0,1,train
DGS,KM,1,0,95,289,0,2,train
DGS,KM,1,1,0,0,0,0,train
DGS,KM,1,1,95,289,0,1,train
DGS,KM,1,0,0,0,3,0,train
DGS,KM,1,0,19082,18251,3,1,train
DGS,KM,1,0,11168,10016,3,2,train
DGS,KM,1,0,15743,11850,3,3,train
DGS,KM,1,1,0,0,3,0,train
DGS,KM,1,1,19330,18189,3,1,train
DGS,KM,1,1,10707,10433,3,2,train
DGS,KM,1,1,14307,10054,3,3,train
DGS,KM,1,1,189,797,1,1,train
DGS,KM,1,2,0,0,3,0,train
DGS,KM,1,2,12401,10120,3,2,train
DGS,KM,1,2,15936,10605,3,3,train
DGS,KM,1,2,189,795,0,3,train
DGS,KM,1,2,464,1574,0,2,train
DGS,KM,1,2,95,289,0,1,train
DGS,KM,1,2,0,0,0,0,train
DGS,KM,1,1,189,795,0,3,train
DGS,KM,1,1,95,289,0,2,train
DGS,KM,1,2,18770,18095,3,1,train
DGS,KM,1,1,95,290,1,2,train
DGS,KM,1,0,189,795,0,3,train
DGS,KM,1,2,0,0,1,0,train
DGS,KM,1,2,189,797,1,1,train
DGS,KM,1,2,412,1575,1,2,train
DGS,KM,1,2,95,290,1,3,train
DGS,KM,1,1,95,290,1,3,train
DGS,KM,2,2,14477,14007,3,2,train
DGS,KM,2,2,27679,19703,3,3,train
DGS,KM,2,2,1862,1278,3,4,train
DGS,KM,2,2,3121,7642,1,3,train
DGS,KM,2,2,189,795,0,4,train
DGS,KM,2,2,95,289,0,3,train
DGS,KM,2,2,95,289,0,2,train
DGS,KM,2,2,0,0,0,0,train
DGS,KM,2,2,20362,20047,3,1,train
DGS,KM,2,1,95,289,0,3,train
DGS,KM,2,1,189,795,0,2,train
DGS,KM,2,1,95,289,0,1,train
DGS,KM,2,1,0,0,0,0,train
DGS,KM,2,0,95,289,0,3,train
DGS,KM,2,0,189,795,0,2,train
DGS,KM,2,2,189,795,0,1,train
DGS,KM,2,2,0,0,3,0,train
DGS,KM,2,1,14477,14007,3,2,train
DGS,KM,2,0,95,289,0,1,train
DGS,KM,2,2,4808,4030,1,2,train
DGS,KM,2,2,95,290,1,1,train
DGS,KM,2,2,0,0,1,0,train
DGS,KM,2,1,2603,7241,1,3,train
DGS,KM,2,1,5521,4583,1,2,train
DGS,KM,2,1,95,290,1,1,train
DGS,KM,2,1,0,0,1,0,train
DGS,KM,2,0,2935,6439,1,3,train
DGS,KM,2,0,4878,3928,1,2,train
DGS,KM,2,0,95,290,1,1,train
DGS,KM,2,0,0,0,1,0,train
DGS,KM,2,0,0,0,3,0,train
DGS,KM,2,0,18420,18105,3,1,train
DGS,KM,2,0,15582,15042,3,2,train
DGS,KM,2,0,20974,14291,3,3,train
DGS,KM,2,1,0,0,3,0,train
DGS,KM,2,1,19181,18658,3,1,train
DGS,KM,2,1,22331,14407,3,3,train
DGS,KM,2,0,0,0,0,0,train
DGS,KM,2,2,16492163,120277,1,4,train
DGS,KM,2,0,95,290,2,1,train
DGS,KM,2,1,2037,1969,2,1,train
DGS,KM,2,1,3494,2835,2,2,train
DGS,KM,2,0,3215,8097,2,3,train
DGS,KM,2,0,4799,3592,2,2,train
DGS,KM,2,0,0,0,2,0,train
DGS,KM,2,1,0,0,2,0,train
DGS,KM,2,2,2457,6734,2,3,train
DGS,KM,2,2,5505,5007,2,2,train
DGS,KM,2,1,2603,7241,2,3,train
DGS,KM,2,2,190,580,2,4,train
DGS,KM,2,2,95,290,2,1,train
DGS,KM,2,2,0,0,2,0,train
DGS,KM,3,2,2539,5936,1,3,train
DGS,KM,3,0,18185,18082,3,2,train
DGS,KM,3,0,26027,18541,3,3,train
DGS,KM,3,0,3705,3051,3,4,test
DGS,KM,3,1,0,0,3,0,train
DGS,KM,3,1,19082,18251,3,1,train
DGS,KM,3,1,19251,18612,3,2,train
DGS,KM,3,1,25523,18842,3,3,train
DGS,KM,3,1,1763,767,3,4,test
DGS,KM,3,2,0,0,3,0,train
DGS,KM,3,2,22160,18501,3,1,train
DGS,KM,3,2,19621,18645,3,2,train
DGS,KM,3,2,26729,18395,3,3,train
DGS,KM,3,0,0,0,2,0,train
DGS,KM,3,0,190,580,2,1,train
DGS,KM,3,0,5004,4130,2,2,train
DGS,KM,3,0,3173,6432,2,3,train
DGS,KM,3,0,95,290,2,4,test
DGS,KM,3,1,0,0,2,0,train
DGS,KM,3,1,189,797,2,1,train
DGS,KM,3,1,5327,4431,2,2,train
DGS,KM,3,1,2393,5429,2,3,train
DGS,KM,3,1,189,797,2,4,test
DGS,KM,3,2,2603,7241,2,3,train
DGS,KM,3,2,3495,2835,2,2,train
DGS,KM,3,0,19181,18554,3,1,train
DGS,KM,3,2,0,0,2,0,train
DGS,KM,3,2,5437,4514,1,2,train
DGS,KM,3,2,147,1575,1,1,train
DGS,KM,3,2,0,0,1,0,train
DGS,KM,3,1,16492362,120006,1,4,test
DGS,KM,3,1,2721,5828,1,3,train
DGS,KM,3,1,5051,4032,1,2,train
DGS,KM,3,1,189,797,1,1,train
DGS,KM,3,1,0,0,1,0,train
DGS,KM,3,2,2089,3254,2,1,train
DGS,KM,3,0,0,0,0,0,train
DGS,KM,3,0,189,795,0,1,train
DGS,KM,3,0,5487,4512,0,2,train
DGS,KM,3,0,2393,5428,0,3,train
DGS,KM,3,0,189,795,0,4,test
DGS,KM,3,0,16493552,119925,1,4,test
DGS,KM,3,1,95,341,0,1,train
DGS,KM,3,1,0,0,0,0,train
DGS,KM,3,0,0,0,1,0,train
DGS,KM,3,0,95,290,1,1,train
DGS,KM,3,0,5616,5090,1,2,train
DGS,KM,3,0,2445,5429,1,3,train
DGS,KM,3,2,2393,5428,0,3,train
DGS,KM,3,0,0,0,3,0,train
DGS,KM,3,2,199,1574,0,1,train
DGS,KM,3,2,0,0,0,0,train
DGS,KM,3,1,95,289,0,4,test
DGS,KM,3,1,2539,5934,0,3,train
DGS,KM,3,1,5463,4498,0,2,train
DGS,KM,3,2,5581,5018,0,2,train
DGS,KM,4,2,26127,25954,3,2,train
DGS,KM,4,2,18420,18053,3,1,train
DGS,KM,4,2,0,0,3,0,train
DGS,KM,4,1,36658,29586,3,3,train
DGS,KM,4,1,23830,24087,3,2,train
DGS,KM,4,1,24834,23641,3,1,train
DGS,KM,4,0,24291,23722,3,2,train
DGS,KM,4,1,95,290,2,1,train
DGS,KM,4,0,18926,18095,3,1,train
DGS,KM,4,0,0,0,3,0,train
DGS,KM,4,2,2539,5936,1,3,train
DGS,KM,4,2,42419,34964,3,3,train
DGS,KM,4,1,0,0,3,0,train
DGS,KM,4,1,4825,3606,2,2,train
DGS,KM,4,0,34672,27782,3,3,train
DGS,KM,4,1,5161,4115,1,2,train
DGS,KM,4,0,95,289,0,1,train
DGS,KM,4,0,0,0,0,0,train
DGS,KM,4,2,5327,4379,1,2,train
DGS,KM,4,2,95,290,1,1,train
DGS,KM,4,2,0,0,1,0,train
DGS,KM,4,1,2815,6335,1,3,train
DGS,KM,4,1,95,290,1,1,train
DGS,KM,4,1,0,0,1,0,train
DGS,KM,4,0,3005,6337,1,3,train
DGS,KM,4,0,4800,3592,2,2,train
DGS,KM,4,0,4800,3592,1,2,train
DGS,KM,4,0,189,797,1,1,train
DGS,KM,4,0,0,0,1,0,train
DGS,KM,4,0,189,797,2,1,train
DGS,KM,4,0,0,0,2,0,train
DGS,KM,4,0,3151,6842,0,3,train
DGS,KM,4,1,0,0,0,0,train
DGS,KM,4,0,4766,3521,0,2,train
DGS,KM,4,1,5666,5087,0,2,train
DGS,KM,4,1,3099,6792,2,3,train
DGS,KM,4,2,3385,2752,2,2,train
DGS,KM,4,2,2539,5936,2,3,train
DGS,KM,4,1,95,341,0,1,train
DGS,KM,4,2,2445,5428,0,3,train
DGS,KM,4,2,2037,1969,2,1,train
DGS,KM,4,2,0,0,2,0,train
DGS,KM,4,0,3069,6558,2,3,train
DGS,KM,4,2,5472,4935,0,2,train
DGS,KM,4,2,95,289,0,1,train
DGS,KM,4,2,0,0,0,0,train
DGS,KM,4,1,2509,5523,0,3,train
DGS,KM,4,1,0,0,2,0,train
DGS,KM,5,2,0,0,0,0,train
DGS,KM,5,2,95,289,0,1,train
DGS,KM,5,1,2935,6437,0,3,train
DGS,KM,5,1,9995,1626,0,4,train
DGS,KM,5,1,5143,4704,2,2,train
DGS,KM,5,1,189,797,2,1,train
DGS,KM,5,2,5211,4061,0,2,train
