transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
369.0,128.0,3187.0,2776.0,11115.0,74.21637278162518,5508.069988861153,27.392995261338676,0.8145760357623149,0,DGS,LR-maxIter-50,regression,0,,,,,
423.0,128.0,3253.0,2776.0,11115.0,74.21637278615722,5508.069989533858,27.39299526142375,0.8145760357396689,1,DGS,LR-maxIter-50,regression,0,,,,,
369.0,128.0,3277.0,2776.0,11115.0,74.21637278214665,5508.069988938556,27.392995261338697,0.8145760357597092,2,DGS,LR-maxIter-50,regression,0,,,,,
387.0,128.0,3277.0,2776.0,11115.0,74.2163727832495,5508.069989102257,27.39299526137102,0.8145760357541983,0,DGS,LR-maxIter-15,regression,0,,,,,
413.0,128.0,3156.0,2776.0,11115.0,74.21637277947224,5508.069988541588,27.392995261296612,0.8145760357730727,1,DGS,LR-maxIter-15,regression,0,,,,,
469.0,128.0,3272.0,2776.0,11115.0,74.21637278118477,5508.069988795783,27.39299526132122,0.8145760357645155,2,DGS,LR-maxIter-15,regression,0,,,,,
386.0,128.0,3006.0,2776.0,11115.0,74.21637278367847,5508.0699891659315,27.392995261376253,0.8145760357520548,0,DGS,LR-maxIter-20,regression,0,,,,,
431.0,128.0,3158.0,2776.0,11115.0,74.21637277653036,5508.0699881049195,27.392995261243755,0.8145760357877727,1,DGS,LR-maxIter-20,regression,0,,,,,
366.0,128.0,3198.0,2776.0,11115.0,74.21637278034494,5508.069988671125,27.39299526130231,0.814576035768712,2,DGS,LR-maxIter-20,regression,0,,,,,
377.0,128.0,3074.0,2776.0,11115.0,74.21637278647755,5508.069989581402,27.39299526141189,0.8145760357380684,0,DGS,LR-tol-0.01,regression,0,,,,,
373.0,128.0,3050.0,2776.0,11115.0,74.21637277990695,5508.069988606115,27.392995261284643,0.8145760357709004,1,DGS,LR-tol-0.01,regression,0,,,,,
377.0,128.0,3183.0,2776.0,11115.0,74.21637278269489,5508.069989019937,27.392995261360234,0.8145760357569696,2,DGS,LR-tol-0.01,regression,0,,,,,
371.0,128.0,3229.0,2776.0,11115.0,74.21637278073521,5508.069988729051,27.39299526131139,0.8145760357667621,0,DGS,LR-maxIter-100,regression,0,,,,,
419.0,128.0,3200.0,2776.0,11115.0,74.21637277805235,5508.069988330828,27.3929952612644,0.8145760357801677,1,DGS,LR-maxIter-100,regression,0,,,,,
448.0,128.0,3279.0,2776.0,11115.0,74.21637278391418,5508.069989200918,27.39299526135893,0.8145760357508771,2,DGS,LR-maxIter-100,regression,0,,,,,
405.0,128.0,3138.0,2776.0,11115.0,74.21637277900327,5508.069988471976,27.392995261286554,0.8145760357754162,0,DGS,LR-tol-1e-06,regression,0,,,,,
453.0,128.0,3043.0,2776.0,11115.0,74.21637278590966,5508.069989497112,27.39299526143434,0.8145760357409059,1,DGS,LR-tol-1e-06,regression,0,,,,,
425.0,128.0,3036.0,2776.0,11115.0,74.21637278707055,5508.069989669425,27.39299526143609,0.8145760357351052,2,DGS,LR-tol-1e-06,regression,0,,,,,
490.0,128.0,3145.0,2776.0,11115.0,74.21637278501031,5508.069989363619,27.392995261410235,0.8145760357453998,0,DGS,LR-maxIter-5,regression,0,,,,,
403.0,128.0,3181.0,2776.0,11115.0,74.21637277892047,5508.069988459688,27.39299526128757,0.8145760357758298,1,DGS,LR-maxIter-5,regression,0,,,,,
387.0,128.0,3196.0,2776.0,11115.0,74.21637277977463,5508.069988586471,27.39299526129601,0.8145760357715618,2,DGS,LR-maxIter-5,regression,0,,,,,
395.0,128.0,3126.0,2776.0,11115.0,74.21637278632515,5508.069989558783,27.392995261421646,0.8145760357388298,0,DGS,LR-tol-0.0001,regression,0,,,,,
403.0,128.0,3045.0,2776.0,11115.0,74.21637277996385,5508.069988614559,27.392995261301106,0.8145760357706162,1,DGS,LR-tol-0.0001,regression,0,,,,,
378.0,128.0,3037.0,2776.0,11115.0,74.21637278394351,5508.0699892052735,27.392995261393533,0.8145760357507305,2,DGS,LR-tol-0.0001,regression,0,,,,,
401.0,128.0,3227.0,2776.0,11115.0,74.21637278322311,5508.06998909834,27.3929952613525,0.8145760357543301,0,DGS,LR-tol-0.1,regression,0,,,,,
435.0,128.0,3082.0,2776.0,11115.0,74.21637278274545,5508.069989027442,27.39299526134575,0.8145760357567169,1,DGS,LR-tol-0.1,regression,0,,,,,
403.0,128.0,3065.0,2776.0,11115.0,74.21637278170918,5508.069988873624,27.39299526134736,0.8145760357618951,2,DGS,LR-tol-0.1,regression,0,,,,,
459.0,128.0,3190.0,2776.0,11115.0,74.21637278351865,5508.069989142208,27.39299526136909,0.8145760357528534,0,DGS,LR-maxIter-10,regression,0,,,,,
401.0,128.0,3159.0,2776.0,11115.0,74.21637277983872,5508.0699885959875,27.39299526130339,0.8145760357712415,1,DGS,LR-maxIter-10,regression,0,,,,,
440.0,128.0,2996.0,2776.0,11115.0,74.21637278612363,5508.069989528874,27.392995261419077,0.8145760357398367,2,DGS,LR-maxIter-10,regression,0,,,,,
