dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,LR-maxIter-10,0,0,235.15,train,LR,maxIter,10
DGS,LR-maxIter-10,0,1,228.85,train,LR,maxIter,10
DGS,LR-maxIter-10,0,2,128.03500000000003,train,LR,maxIter,10
DGS,LR-maxIter-100,0,0,186.95,train,LR,maxIter,100
DGS,LR-maxIter-100,0,1,85.65,train,LR,maxIter,100
DGS,LR-maxIter-100,0,2,78.87,train,LR,maxIter,100
DGS,LR-maxIter-100,0,0,48.825,test,LR,maxIter,100
DGS,LR-maxIter-100,0,2,42.985,test,LR,maxIter,100
DGS,LR-maxIter-15,0,0,97.51,train,LR,maxIter,15
DGS,LR-maxIter-15,0,1,167.79999999999995,train,LR,maxIter,15
DGS,LR-maxIter-15,0,2,317.75,train,LR,maxIter,15
DGS,LR-maxIter-15,0,1,73.22,test,LR,maxIter,15
DGS,LR-maxIter-15,0,2,93.6,test,LR,maxIter,15
DGS,LR-maxIter-20,0,0,231.4,train,LR,maxIter,20
DGS,LR-maxIter-20,0,1,211.84,train,LR,maxIter,20
DGS,LR-maxIter-20,0,2,129.24,train,LR,maxIter,20
DGS,LR-maxIter-5,0,0,131.69,train,LR,maxIter,5
DGS,LR-maxIter-5,0,1,81.71,train,LR,maxIter,5
DGS,LR-maxIter-5,0,2,93.85500000000002,train,LR,maxIter,5
DGS,LR-maxIter-50,0,0,195.445,train,LR,maxIter,50
DGS,LR-maxIter-50,0,1,80.21000000000002,train,LR,maxIter,50
DGS,LR-maxIter-50,0,2,91.975,train,LR,maxIter,50
DGS,LR-maxIter-50,0,0,64.06,test,LR,maxIter,50
DGS,LR-maxIter-50,0,1,52.815,test,LR,maxIter,50
DGS,LR-tol-0.0001,0,0,109.46,train,LR,tol,0.0001
DGS,LR-tol-0.0001,0,1,179.7,train,LR,tol,0.0001
DGS,LR-tol-0.0001,0,2,193.3,train,LR,tol,0.0001
DGS,LR-tol-0.0001,0,1,82.215,test,LR,tol,0.0001
DGS,LR-tol-0.01,0,0,239.95,train,LR,tol,0.01
DGS,LR-tol-0.01,0,1,207.54,train,LR,tol,0.01
DGS,LR-tol-0.01,0,2,129.655,train,LR,tol,0.01
DGS,LR-tol-0.1,0,0,199.7,train,LR,tol,0.1
DGS,LR-tol-0.1,0,1,100.37,train,LR,tol,0.1
DGS,LR-tol-0.1,0,2,85.365,train,LR,tol,0.1
DGS,LR-tol-0.1,0,2,42.72,test,LR,tol,0.1
DGS,LR-tol-1e-06,0,0,92.065,train,LR,tol,1e-06
DGS,LR-tol-1e-06,0,1,116.715,train,LR,tol,1e-06
DGS,LR-tol-1e-06,0,2,94.515,train,LR,tol,1e-06
