dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DGS,LR-maxIter-50,0,0,65451572,6958388,0,0,train
DGS,LR-maxIter-5,0,0,65451544,7969056,3,3,train
DGS,LR-maxIter-5,0,0,65451544,8523180,3,2,train
DGS,LR-maxIter-5,0,0,65451544,8824108,3,1,train
DGS,LR-maxIter-5,0,0,65451544,9094616,3,0,train
DGS,LR-maxIter-5,0,2,65451544,6728952,2,3,train
DGS,LR-maxIter-5,0,2,65451544,6879848,2,2,train
DGS,LR-maxIter-5,0,2,65451544,7108316,2,1,train
DGS,LR-maxIter-5,0,2,65451544,7108128,2,0,train
DGS,LR-maxIter-5,0,1,65451544,6747000,2,3,train
DGS,LR-maxIter-5,0,1,65451544,6837704,2,2,train
DGS,LR-maxIter-5,0,1,65451544,7124360,2,1,train
DGS,LR-maxIter-5,0,1,65451544,7124552,2,0,train
DGS,LR-maxIter-5,0,1,65451544,9076852,3,0,train
DGS,LR-maxIter-5,0,0,65451544,6730900,2,3,train
DGS,LR-maxIter-5,0,0,65451544,7141148,2,1,train
DGS,LR-maxIter-5,0,0,65451544,7140980,2,0,train
DGS,LR-maxIter-5,0,2,65451544,6450632,1,3,train
DGS,LR-maxIter-5,0,2,65451544,6609820,1,2,train
DGS,LR-maxIter-5,0,2,65451544,6807836,1,1,train
DGS,LR-maxIter-5,0,2,65451544,6806944,1,0,train
DGS,LR-maxIter-5,0,1,65451544,6465552,1,3,train
DGS,LR-maxIter-5,0,1,65451544,6597760,1,2,train
DGS,LR-maxIter-5,0,1,65451544,6824052,1,1,train
DGS,LR-maxIter-5,0,1,65451544,6823408,1,0,train
DGS,LR-maxIter-5,0,0,65451544,6485140,1,3,train
DGS,LR-maxIter-5,0,0,65451544,6619200,1,2,train
DGS,LR-maxIter-5,0,0,65451544,6892388,2,2,train
DGS,LR-maxIter-5,0,0,65451544,6842448,1,1,train
DGS,LR-maxIter-5,0,1,65451544,8803436,3,1,train
DGS,LR-maxIter-5,0,1,65451544,7923592,3,3,train
DGS,LR-tol-0.0001,0,2,65451544,6706384,1,1,train
DGS,LR-tol-0.0001,0,2,65451544,6706532,1,0,train
DGS,LR-tol-0.0001,0,1,65451544,6364476,1,3,train
DGS,LR-tol-0.0001,0,1,65451544,6534468,1,2,train
DGS,LR-tol-0.0001,0,1,65451544,6724612,1,1,train
DGS,LR-tol-0.0001,0,1,65451544,6724408,1,0,train
DGS,LR-tol-0.0001,0,0,65451544,6380388,1,3,train
DGS,LR-tol-0.0001,0,0,65451544,6541072,1,2,train
DGS,LR-tol-0.0001,0,0,65451544,6740224,1,1,train
DGS,LR-tol-0.0001,0,0,65451544,6739492,1,0,train
DGS,LR-tol-0.0001,0,2,65451572,6548460,0,3,train
DGS,LR-tol-0.0001,0,2,65451572,6662604,0,2,train
DGS,LR-maxIter-5,0,1,65451544,8515468,3,2,train
DGS,LR-tol-0.0001,0,2,65451572,6875112,0,1,train
DGS,LR-tol-0.0001,0,1,65451572,6565244,0,3,train
DGS,LR-tol-0.0001,0,1,65451572,6663896,0,2,train
DGS,LR-tol-0.0001,0,1,65451572,6891644,0,1,train
DGS,LR-tol-0.0001,0,1,65451572,6891952,0,0,train
DGS,LR-tol-0.0001,0,0,65451572,6579000,0,3,train
DGS,LR-tol-0.0001,0,0,65451572,6697820,0,2,train
DGS,LR-tol-0.0001,0,0,65451572,6906268,0,1,train
DGS,LR-tol-0.0001,0,0,65451572,6907140,0,0,train
DGS,LR-maxIter-5,0,2,65451544,7915448,3,3,train
DGS,LR-maxIter-5,0,2,65451544,8499048,3,2,train
DGS,LR-maxIter-5,0,2,65451544,8786408,3,1,train
DGS,LR-maxIter-5,0,2,65451544,9061488,3,0,train
DGS,LR-tol-0.0001,0,2,65451572,6874856,0,0,train
DGS,LR-tol-0.0001,0,2,65451544,6504448,1,2,train
DGS,LR-maxIter-5,0,0,65451544,6842244,1,0,train
DGS,LR-maxIter-5,0,2,65451572,6770188,0,2,train
DGS,LR-tol-1e-06,0,0,65451544,6511404,2,3,train
DGS,LR-tol-1e-06,0,0,65451544,6664276,2,2,train
DGS,LR-tol-1e-06,0,0,65451544,6888260,2,1,train
DGS,LR-tol-1e-06,0,0,65451544,6888504,2,0,train
DGS,LR-tol-1e-06,0,2,65451544,6198948,1,3,train
DGS,LR-tol-1e-06,0,2,65451544,6333700,1,2,train
DGS,LR-tol-1e-06,0,2,65451544,6557380,1,1,train
DGS,LR-tol-1e-06,0,2,65451544,6557356,1,0,train
DGS,LR-tol-1e-06,0,1,65451544,6216640,1,3,train
DGS,LR-tol-1e-06,0,1,65451544,6383616,1,2,train
DGS,LR-tol-1e-06,0,1,65451544,6575764,1,1,train
DGS,LR-tol-1e-06,0,1,65451544,6575192,1,0,train
DGS,LR-tol-1e-06,0,1,65451544,6872272,2,0,train
DGS,LR-tol-1e-06,0,0,65451544,6232800,1,3,train
DGS,LR-tol-1e-06,0,0,65451544,6591316,1,1,train
DGS,LR-tol-1e-06,0,0,65451544,6591404,1,0,train
DGS,LR-tol-1e-06,0,2,65451572,6396296,0,3,train
DGS,LR-tol-1e-06,0,2,65451572,6510596,0,2,train
DGS,LR-tol-1e-06,0,2,65451572,6720876,0,1,train
DGS,LR-tol-1e-06,0,2,65451572,6720964,0,0,train
DGS,LR-tol-1e-06,0,1,65451572,6414500,0,3,train
DGS,LR-tol-1e-06,0,1,65451572,6539140,0,2,train
DGS,LR-tol-1e-06,0,1,65451572,6739216,0,1,train
DGS,LR-tol-1e-06,0,1,65451572,6738808,0,0,train
DGS,LR-tol-1e-06,0,0,65451572,6432216,0,3,train
DGS,LR-tol-1e-06,0,0,65451572,6513700,0,2,train
DGS,LR-tol-1e-06,0,0,65451544,6366504,1,2,train
DGS,LR-maxIter-5,0,2,65451572,6647660,0,3,train
DGS,LR-tol-1e-06,0,1,65451544,6873048,2,1,train
DGS,LR-tol-1e-06,0,1,65451544,6461184,2,3,train
DGS,LR-maxIter-5,0,2,65451572,6973008,0,1,train
DGS,LR-maxIter-5,0,2,65451572,6972160,0,0,train
DGS,LR-maxIter-5,0,1,65451572,6665832,0,3,train
DGS,LR-maxIter-5,0,1,65451572,6768368,0,2,train
DGS,LR-maxIter-5,0,1,65451572,6991020,0,1,train
DGS,LR-maxIter-5,0,1,65451572,6991256,0,0,train
DGS,LR-maxIter-5,0,0,65451572,6682612,0,3,train
DGS,LR-maxIter-5,0,0,65451572,6803440,0,2,train
DGS,LR-maxIter-5,0,0,65451572,7008544,0,1,train
DGS,LR-maxIter-5,0,0,65451572,7008760,0,0,train
DGS,LR-tol-1e-06,0,2,65451544,7605392,3,3,train
DGS,LR-tol-1e-06,0,2,65451544,8236636,3,2,train
DGS,LR-tol-1e-06,0,1,65451544,6647312,2,2,train
DGS,LR-tol-1e-06,0,2,65451544,8533448,3,1,train
DGS,LR-tol-1e-06,0,1,65451544,7729816,3,3,train
DGS,LR-tol-1e-06,0,1,65451544,8268704,3,2,train
DGS,LR-tol-1e-06,0,1,65451544,8552208,3,1,train
DGS,LR-tol-1e-06,0,1,65451544,8822752,3,0,train
DGS,LR-tol-1e-06,0,0,65451544,7731148,3,3,train
DGS,LR-tol-1e-06,0,0,65451544,8259908,3,2,train
DGS,LR-tol-1e-06,0,0,65451544,8568176,3,1,train
DGS,LR-tol-1e-06,0,0,65451544,8839048,3,0,train
DGS,LR-tol-1e-06,0,2,65451544,6477088,2,3,train
DGS,LR-tol-1e-06,0,2,65451544,6571432,2,2,train
DGS,LR-tol-1e-06,0,2,65451544,6856408,2,1,train
DGS,LR-tol-1e-06,0,2,65451544,6857044,2,0,train
DGS,LR-tol-1e-06,0,2,65451544,8805392,3,0,train
DGS,LR-tol-1e-06,0,0,65451572,6758728,0,1,train
DGS,LR-tol-0.0001,0,2,65451544,6347056,1,3,train
DGS,LR-tol-0.0001,0,0,65451544,7042524,2,1,train
DGS,LR-maxIter-10,0,0,65451544,6683536,1,3,train
DGS,LR-maxIter-10,0,0,65451544,6812688,1,2,train
DGS,LR-maxIter-10,0,0,65451544,7041960,1,1,train
DGS,LR-maxIter-10,0,0,65451544,7042232,1,0,train
DGS,LR-maxIter-10,0,2,65451572,6816540,0,3,test
DGS,LR-maxIter-10,0,2,65451572,6967128,0,2,train
DGS,LR-maxIter-10,0,2,65451572,7174172,0,1,train
DGS,LR-maxIter-10,0,2,65451572,7174716,0,0,train
DGS,LR-maxIter-10,0,1,65451572,6833072,0,3,train
DGS,LR-maxIter-10,0,1,65451572,6954404,0,2,train
DGS,LR-maxIter-10,0,1,65451572,7192684,0,1,train
DGS,LR-maxIter-10,0,1,65451572,7192424,0,0,train
DGS,LR-maxIter-10,0,1,65451544,7027664,1,0,train
DGS,LR-maxIter-10,0,0,65451572,6880972,0,3,train
DGS,LR-maxIter-10,0,0,65451572,7207024,0,1,train
DGS,LR-maxIter-10,0,0,65451572,7207340,0,0,train
DGS,LR-tol-0.1,0,2,65451544,7674576,3,3,train
