dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,LR-maxIter-50,0,0,0,0,0,0,train
DGS,LR-maxIter-5,0,0,37383,30654,3,3,train
DGS,LR-maxIter-5,0,0,27132,23638,3,2,train
DGS,LR-maxIter-5,0,0,17110,13955,3,1,train
DGS,LR-maxIter-5,0,0,0,0,3,0,train
DGS,LR-maxIter-5,0,2,5221,7844,2,3,train
DGS,LR-maxIter-5,0,2,2755,2606,2,2,train
DGS,LR-maxIter-5,0,2,95,290,2,1,train
DGS,LR-maxIter-5,0,2,0,0,2,0,train
DGS,LR-maxIter-5,0,1,3432,6844,2,3,train
DGS,LR-maxIter-5,0,1,4715,3523,2,2,train
DGS,LR-maxIter-5,0,1,95,290,2,1,train
DGS,LR-maxIter-5,0,1,0,0,2,0,train
DGS,LR-maxIter-5,0,1,0,0,3,0,train
DGS,LR-maxIter-5,0,0,5005,7433,2,3,train
DGS,LR-maxIter-5,0,0,360,290,2,1,train
DGS,LR-maxIter-5,0,0,0,0,2,0,train
DGS,LR-maxIter-5,0,2,5221,7844,1,3,train
DGS,LR-maxIter-5,0,2,2755,2606,1,2,train
DGS,LR-maxIter-5,0,2,95,290,1,1,train
DGS,LR-maxIter-5,0,2,0,0,1,0,train
DGS,LR-maxIter-5,0,1,3380,6792,1,3,train
DGS,LR-maxIter-5,0,1,4715,3523,1,2,train
DGS,LR-maxIter-5,0,1,95,290,1,1,train
DGS,LR-maxIter-5,0,1,0,0,1,0,train
DGS,LR-maxIter-5,0,0,4791,6822,1,3,train
DGS,LR-maxIter-5,0,0,3228,4475,1,2,train
DGS,LR-maxIter-5,0,0,3056,4371,2,2,train
DGS,LR-maxIter-5,0,0,454,797,1,1,train
DGS,LR-maxIter-5,0,1,15053,13705,3,1,train
DGS,LR-maxIter-5,0,1,37797,29522,3,3,train
DGS,LR-tol-0.0001,0,2,189,797,1,1,train
DGS,LR-tol-0.0001,0,2,0,0,1,0,train
DGS,LR-tol-0.0001,0,1,5075,7337,1,3,train
DGS,LR-tol-0.0001,0,1,2739,2978,1,2,train
DGS,LR-tol-0.0001,0,1,95,290,1,1,train
DGS,LR-tol-0.0001,0,1,0,0,1,0,train
DGS,LR-tol-0.0001,0,0,5179,8622,1,3,train
DGS,LR-tol-0.0001,0,0,2934,3182,1,2,train
DGS,LR-tol-0.0001,0,0,95,290,1,1,train
DGS,LR-tol-0.0001,0,0,0,0,1,0,train
DGS,LR-tol-0.0001,0,2,3057,6336,0,3,train
DGS,LR-tol-0.0001,0,2,4823,3604,0,2,train
DGS,LR-maxIter-5,0,1,23881,24086,3,2,train
DGS,LR-tol-0.0001,0,2,189,795,0,1,train
DGS,LR-tol-0.0001,0,1,3057,6336,0,3,train
DGS,LR-tol-0.0001,0,1,4808,4027,0,2,train
DGS,LR-tol-0.0001,0,1,95,289,0,1,train
DGS,LR-tol-0.0001,0,1,0,0,0,0,train
DGS,LR-tol-0.0001,0,0,3057,7621,0,3,train
DGS,LR-tol-0.0001,0,0,5054,5464,0,2,train
DGS,LR-tol-0.0001,0,0,95,289,0,1,train
DGS,LR-tol-0.0001,0,0,0,0,0,0,train
DGS,LR-maxIter-5,0,2,36668,29574,3,3,train
DGS,LR-maxIter-5,0,2,23881,24086,3,2,train
DGS,LR-maxIter-5,0,2,15053,13705,3,1,train
DGS,LR-maxIter-5,0,2,0,0,3,0,train
DGS,LR-tol-0.0001,0,2,0,0,0,0,train
DGS,LR-tol-0.0001,0,2,2815,2718,1,2,train
DGS,LR-maxIter-5,0,0,0,0,1,0,train
DGS,LR-maxIter-5,0,2,4823,3604,0,2,train
DGS,LR-tol-1e-06,0,0,5173,7337,2,3,train
DGS,LR-tol-1e-06,0,0,2876,4332,2,2,train
DGS,LR-tol-1e-06,0,0,95,290,2,1,train
DGS,LR-tol-1e-06,0,0,0,0,2,0,train
DGS,LR-tol-1e-06,0,2,3161,7726,1,3,train
DGS,LR-tol-1e-06,0,2,4757,3926,1,2,train
DGS,LR-tol-1e-06,0,2,95,290,1,1,train
DGS,LR-tol-1e-06,0,2,0,0,1,0,train
DGS,LR-tol-1e-06,0,1,5075,7337,1,3,train
DGS,LR-tol-1e-06,0,1,2849,3113,1,2,train
DGS,LR-tol-1e-06,0,1,95,290,1,1,train
DGS,LR-tol-1e-06,0,1,0,0,1,0,train
DGS,LR-tol-1e-06,0,1,0,0,2,0,train
DGS,LR-tol-1e-06,0,0,3051,6337,1,3,train
DGS,LR-tol-1e-06,0,0,95,290,1,1,train
DGS,LR-tol-1e-06,0,0,0,0,1,0,train
DGS,LR-tol-1e-06,0,2,3109,7569,0,3,train
DGS,LR-tol-1e-06,0,2,4808,4027,0,2,train
DGS,LR-tol-1e-06,0,2,147,1574,0,1,train
DGS,LR-tol-1e-06,0,2,0,0,0,0,train
DGS,LR-tol-1e-06,0,1,4855,7047,0,3,train
DGS,LR-tol-1e-06,0,1,3183,3625,0,2,train
DGS,LR-tol-1e-06,0,1,95,289,0,1,train
DGS,LR-tol-1e-06,0,1,0,0,0,0,train
DGS,LR-tol-1e-06,0,0,3051,6336,0,3,train
DGS,LR-tol-1e-06,0,0,4893,4096,0,2,train
DGS,LR-tol-1e-06,0,0,4946,5384,1,2,train
DGS,LR-maxIter-5,0,2,3099,6842,0,3,train
DGS,LR-tol-1e-06,0,1,189,797,2,1,train
DGS,LR-tol-1e-06,0,1,5127,7337,2,3,train
