dataset,algorithm,platformId,runId,Energy,phase
DGS,LR,0,2,105.785,train
DGS,LR,0,1,106.53999999999999,train
DGS,LR,0,0,336.665,train
DGS,LR,0,0,35.531200000000005,test
DGS,LR,0,1,31.279999999999998,test
DGS,LR,0,2,36.9905,test
DGS,LR,1,0,42.205000000000005,train
DGS,LR,1,1,31.671039999999994,test
DGS,LR,1,0,29.486039999999996,test
DGS,LR,1,2,25.985400000000002,test
DGS,LR,1,1,135.755,train
DGS,LR,1,2,176.39,train
DGS,LR,2,2,63.269999999999996,train
DGS,LR,2,1,126.35,train
DGS,LR,2,0,30.268179999999994,test
DGS,LR,2,0,228.64,train
DGS,LR,2,2,30.62176,test
DGS,LR,2,1,25.324799999999996,test
DGS,LR,3,2,34.266400000000004,test
DGS,LR,3,0,35.2296,test
DGS,LR,3,0,71.475,train
DGS,LR,3,2,169.54500000000002,train
DGS,LR,3,1,85.29,train
DGS,LR,3,1,30.7734,test
DGS,LR,4,0,46.769999999999996,train
DGS,LR,4,2,249.28,train
DGS,LR,4,1,164.95,train
DGS,LR,4,1,32.7369,test
DGS,LR,4,0,31.419100000000004,test
DGS,LR,4,2,35.7856,test
DGS,LR,5,1,34.22921,test
DGS,LR,5,0,37.4088,test
DGS,LR,5,1,255.635,train
DGS,LR,5,2,293.025,train
DGS,LR,5,0,232.20000000000002,train
DGS,LR,5,2,40.00689,test
DGS,LR,6,0,118.155,train
DGS,LR,6,1,170.38,train
DGS,LR,6,0,47.019040000000004,test
DGS,LR,6,1,62.72279999999999,test
DGS,LR,6,2,54.655759999999994,test
DGS,LR,6,2,281.35,train
DGS,LR,7,1,312.755,train
DGS,LR,7,2,49.4802,test
DGS,LR,7,0,47.5776,test
DGS,LR,7,0,259.015,train
DGS,LR,7,2,227.485,train
DGS,LR,7,1,52.965,test
DGS,LR,8,1,190.59499999999997,train
DGS,LR,8,2,230.005,train
DGS,LR,8,1,51.596799999999995,test
DGS,LR,8,2,70.79480000000001,test
DGS,LR,8,0,54.426,test
DGS,LR,8,0,117.71499999999999,train
DGS,LR,9,1,25.96608,test
DGS,LR,9,2,29.17388,test
DGS,LR,9,0,30.652500000000003,test
DGS,LR,9,2,139.685,train
DGS,LR,9,0,103.22,train
DGS,LR,9,1,119.66,train
DGS,LR,10,2,41.940599999999996,test
DGS,LR,10,1,183.05,train
DGS,LR,10,2,231.10000000000002,train
DGS,LR,10,1,34.893600000000006,test
DGS,LR,10,0,37.754,test
DGS,LR,10,0,162.7,train
DGS,LR,11,1,38.4794,test
DGS,LR,11,0,30.1435,test
DGS,LR,11,2,28.312800000000003,test
DGS,LR,11,2,119.875,train
DGS,LR,11,1,202.03,train
DGS,LR,11,0,244.75,train
DGS,LR,12,0,29.5765,test
DGS,LR,12,0,79.11,train
DGS,LR,12,1,85.59,train
DGS,LR,12,2,29.518860000000004,test
DGS,LR,12,2,80.61,train
DGS,LR,12,1,35.653200000000005,test
DGS,LR,13,0,32.89572,test
DGS,LR,13,1,35.5264,test
DGS,LR,13,2,92.75,train
DGS,LR,13,0,99.585,train
DGS,LR,13,1,172.305,train
DGS,LR,13,2,34.5696,test
DGS,LR,14,0,236.14999999999998,train
DGS,LR,14,2,146.32,train
DGS,LR,14,2,27.2042,test
DGS,LR,14,1,28.335999999999995,test
DGS,LR,14,1,208.15000000000003,train
DGS,LR,14,0,31.2379,test
DGS,LR,15,2,34.31571000000001,test
DGS,LR,15,0,184.63,train
DGS,LR,15,1,84.02,train
DGS,LR,15,1,30.5326,test
DGS,LR,15,0,33.455400000000004,test
DGS,LR,15,2,91.86,train
DGS,LR,16,2,27.522,test
DGS,LR,16,1,44.7895,test
DGS,LR,16,2,175.12,train
DGS,LR,16,1,175.05,train
DGS,LR,16,0,93.8,train
DGS,LR,16,0,38.53320000000001,test
DGS,LR,17,1,290.4,train
DGS,LR,17,2,28.8095,test
DGS,LR,17,1,40.704,test
DGS,LR,17,2,312.15,train
DGS,LR,17,0,174.11,train
DGS,LR,17,0,30.4992,test
DGS,LR,18,0,331.59999999999997,train
DGS,LR,18,0,31.914,test
DGS,LR,18,1,30.43506,test
DGS,LR,18,1,349.235,train
DGS,LR,18,2,278.125,train
DGS,LR,18,2,33.93234,test
DGS,LR,19,2,107.07000000000001,train
DGS,LR,19,2,36.0234,test
DGS,LR,19,1,28.2355,test
DGS,LR,19,1,193.22500000000002,train
DGS,LR,19,0,298.92500000000007,train
DGS,LR,19,0,34.338,test
DGS,LR,20,0,96.87,train
DGS,LR,20,2,33.163199999999996,test
DGS,LR,20,1,28.10295,test
DGS,LR,20,2,283.0,train
DGS,LR,20,1,194.05,train
DGS,LR,20,0,25.8552,test
DGS,LR,21,1,27.876,test
DGS,LR,21,0,29.052,test
DGS,LR,21,0,345.3,train
DGS,LR,21,2,28.723200000000006,test
DGS,LR,21,1,368.2,train
DGS,LR,21,2,362.50000000000006,train
DGS,LR,22,2,38.93560000000001,test
DGS,LR,22,1,310.32,train
DGS,LR,22,0,220.55,train
DGS,LR,22,2,107.73,train
DGS,LR,22,1,29.675700000000003,test
DGS,LR,22,0,37.005900000000004,test
DGS,LR,23,1,159.0,train
DGS,LR,23,0,160.20500000000004,train
DGS,LR,23,2,32.886,test
DGS,LR,23,0,36.98575,test
DGS,LR,23,2,220.385,train
DGS,LR,23,1,33.372,test
DGS,LR,24,1,31.711500000000004,test
DGS,LR,24,0,31.878000000000004,test
DGS,LR,24,0,268.13000000000005,train
DGS,LR,24,1,352.3,train
DGS,LR,24,2,370.8,train
DGS,LR,24,2,32.7239,test
DGS,LR,25,2,105.655,train
DGS,LR,25,1,30.6064,test
DGS,LR,25,0,246.89000000000001,train
DGS,LR,25,2,32.7888,test
DGS,LR,25,0,28.827920000000002,test
DGS,LR,25,1,324.245,train
DGS,LR,26,0,31.5405,test
DGS,LR,26,0,123.62499999999999,train
DGS,LR,26,1,174.57,train
DGS,LR,26,2,269.19999999999993,train
DGS,LR,26,2,26.425,test
DGS,LR,26,1,34.6885,test
DGS,LR,27,0,33.712,test
DGS,LR,27,1,209.85,train
DGS,LR,27,0,323.35,train
DGS,LR,27,1,29.052,test
DGS,LR,27,2,38.447399999999995,test
DGS,LR,27,2,307.87,train
DGS,LR,28,2,107.06,train
DGS,LR,28,1,260.145,train
DGS,LR,28,0,180.91,train
DGS,LR,28,2,36.722,test
DGS,LR,28,1,37.3684,test
DGS,LR,28,0,32.851,test
DGS,LR,29,2,259.24999999999994,train
DGS,LR,29,1,179.83999999999997,train
DGS,LR,29,0,34.932199999999995,test
DGS,LR,29,0,114.07000000000001,train
DGS,LR,29,2,30.393240000000006,test
DGS,LR,29,1,33.884,test
DGS,LR,30,2,32.10360000000001,test
DGS,LR,30,2,306.85,train
DGS,LR,30,1,31.79076,test
DGS,LR,30,0,31.0075,test
DGS,LR,30,1,358.45,train
DGS,LR,30,0,327.35,train
DGS,LR,31,1,332.84000000000003,train
DGS,LR,31,2,31.7772,test
DGS,LR,31,0,311.84000000000003,train
DGS,LR,31,0,37.9544,test
DGS,LR,31,2,118.64,train
DGS,LR,31,1,33.84300000000001,test
DGS,LR,32,0,106.895,train
DGS,LR,32,1,154.695,train
DGS,LR,32,0,30.8469,test
DGS,LR,32,1,33.86729999999999,test
DGS,LR,32,2,32.582100000000004,test
DGS,LR,32,2,200.565,train
DGS,LR,33,1,369.25,train
DGS,LR,33,0,273.6,train
DGS,LR,33,0,28.870800000000003,test
DGS,LR,33,1,29.094450000000005,test
DGS,LR,33,2,36.124,test
DGS,LR,33,2,371.25,train
DGS,LR,34,2,309.58500000000004,train
DGS,LR,34,1,218.64500000000004,train
DGS,LR,34,0,30.3312,test
DGS,LR,34,1,39.1053,test
DGS,LR,34,2,37.07052,test
DGS,LR,34,0,332.2,train
DGS,LR,35,2,130.87,train
DGS,LR,35,0,276.07500000000005,train
DGS,LR,35,1,108.96000000000001,train
DGS,LR,35,0,33.4761,test
DGS,LR,35,1,31.6008,test
DGS,LR,35,2,35.776,test
DGS,LR,36,1,30.590100000000003,test
DGS,LR,36,0,38.287200000000006,test
DGS,LR,36,0,167.135,train
DGS,LR,36,1,283.0,train
DGS,LR,36,2,303.2,train
DGS,LR,36,2,28.11564,test
DGS,LR,37,1,384.75,train
DGS,LR,37,0,209.64999999999998,train
DGS,LR,37,1,41.660399999999996,test
DGS,LR,37,2,298.13,train
DGS,LR,37,0,34.00417,test
DGS,LR,37,2,32.595,test
DGS,LR,38,0,33.62931,test
DGS,LR,38,1,138.77499999999998,train
DGS,LR,38,2,28.634400000000007,test
DGS,LR,38,1,27.487299999999998,test
DGS,LR,38,2,107.745,train
DGS,LR,38,0,294.915,train
DGS,LR,39,2,238.67000000000002,train
DGS,LR,39,0,157.505,train
DGS,LR,39,1,269.19,train
DGS,LR,39,0,31.434,test
DGS,LR,39,2,34.76670000000001,test
DGS,LR,39,1,37.8966,test
DGS,LR,40,0,32.7288,test
DGS,LR,40,2,236.78,train
DGS,LR,40,1,32.4262,test
DGS,LR,40,2,31.955,test
DGS,LR,40,1,140.45,train
DGS,LR,40,0,189.015,train
DGS,LR,41,0,243.37,train
DGS,LR,41,1,36.0756,test
DGS,LR,41,1,143.355,train
DGS,LR,41,2,34.9444,test
DGS,LR,41,2,146.89999999999998,train
DGS,LR,41,0,33.36375,test
DGS,LR,42,2,35.24353,test
DGS,LR,42,1,33.289739999999995,test
DGS,LR,42,1,190.98000000000002,train
DGS,LR,42,0,250.16,train
DGS,LR,42,2,137.42000000000002,train
DGS,LR,42,0,28.316249999999997,test
DGS,LR,43,2,28.300800000000002,test
DGS,LR,43,2,105.655,train
DGS,LR,43,0,31.6776,test
DGS,LR,43,1,194.89499999999998,train
DGS,LR,43,1,26.866889999999998,test
DGS,LR,43,0,258.855,train
DGS,LR,44,0,32.93568,test
DGS,LR,44,2,617.25,train
DGS,LR,44,1,29.127119999999998,test
DGS,LR,44,1,216.21999999999997,train
DGS,LR,44,0,560.9,train
DGS,LR,44,2,35.0592,test
DGS,LR,45,2,35.74660000000001,test
DGS,LR,45,1,30.8958,test
DGS,LR,45,0,28.0896,test
DGS,LR,45,2,143.465,train
DGS,LR,45,1,186.67000000000002,train
DGS,LR,45,0,475.43,train
DGS,LR,46,1,28.0755,test
DGS,LR,46,0,33.0906,test
DGS,LR,46,2,324.355,train
DGS,LR,46,1,204.29500000000002,train
DGS,LR,46,0,144.56,train
DGS,LR,46,2,33.6804,test
