dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,LR,0,1,0.8410734512237023,65451544,10401988,2,2,train
DGS,LR,0,2,0.8420727248237261,65451544,10336584,2,2,train
DGS,LR,0,2,0.8426181665019239,65451544,10300884,2,3,train
DGS,LR,0,2,0.801672357082577,65451572,12980856,0,3,train
DGS,LR,0,0,0.8004829343674459,65451544,13058700,3,0,train
DGS,LR,0,0,0.8046129515294551,65451544,12788384,3,1,train
DGS,LR,0,0,0.8090633278261549,65451544,12497100,3,2,train
DGS,LR,0,0,0.8170066087363806,65451544,11977200,3,3,train
DGS,LR,0,1,0.8007452963982026,65451544,13041528,3,0,train
DGS,LR,0,1,0.8049351440815514,65451544,12767296,3,1,train
DGS,LR,0,1,0.8093094335559142,65451544,12480992,3,2,train
DGS,LR,0,1,0.8182500324209311,65451544,11895816,3,3,train
DGS,LR,0,2,0.801013342022917,65451544,13023984,3,0,train
DGS,LR,0,2,0.8368645359993341,65451544,10677468,2,0,train
DGS,LR,0,2,0.8051605321946264,65451544,12752544,3,1,train
DGS,LR,0,2,0.8179361513610741,65451544,11916360,3,3,train
DGS,LR,0,2,0.8005536062602133,65451572,13054080,0,2,train
DGS,LR,0,2,0.7961674625630076,65451572,13341160,0,1,train
DGS,LR,0,2,0.796164467982526,65451572,13341356,0,0,train
DGS,LR,0,1,0.800913750398539,65451572,13030508,0,3,train
DGS,LR,0,1,0.8002815883474884,65451572,13071884,0,2,train
DGS,LR,0,1,0.7958791883562399,65451572,13360028,0,1,train
DGS,LR,0,1,0.7958775993951681,65451572,13360132,0,0,train
DGS,LR,0,0,0.8006108088588002,65451572,13050336,0,3,train
DGS,LR,0,0,0.7999550568472213,65451572,13093256,0,2,train
DGS,LR,0,0,0.7956257490652784,65451572,13376616,0,1,train
DGS,LR,0,0,0.7956171931210453,65451572,13377176,0,0,train
DGS,LR,0,2,0.8097102797147153,65451544,12454756,3,2,train
DGS,LR,0,1,0.8424031066402345,65451544,10314960,2,3,train
DGS,LR,0,2,0.8368623970123608,65451544,10677608,2,1,train
DGS,LR,0,1,0.8366067575120917,65451544,10694340,2,0,train
DGS,LR,0,2,0.8285907510447729,65451544,11219000,1,3,train
DGS,LR,0,2,0.8273651726229713,65451544,11299216,1,2,train
DGS,LR,0,2,0.8225702971957392,65451544,11613048,1,1,train
DGS,LR,0,2,0.822579953194076,65451544,11612416,1,0,train
DGS,LR,0,1,0.8277216500805542,65451544,11275884,1,3,train
DGS,LR,0,1,0.8270040505079606,65451544,11322852,1,2,train
DGS,LR,0,1,0.822316857796357,65451544,11629636,1,1,train
DGS,LR,0,1,0.822311968683275,65451544,11629956,1,0,train
DGS,LR,0,0,0.827436920357448,65451544,11294520,1,3,train
DGS,LR,0,0,0.8261719845753371,65451544,11377312,1,2,train
DGS,LR,0,0,0.8220507067029618,65451544,11647056,1,1,train
DGS,LR,0,1,0.8365939235902518,65451544,10695180,2,1,train
DGS,LR,0,0,0.8220543735377732,65451544,11646816,1,0,train
DGS,LR,0,0,0.836406609445302,65451544,10707440,2,0,train
DGS,LR,0,0,0.8421625011626922,65451544,10330708,2,3,train
DGS,LR,0,0,0.8408392015931664,65451544,10417320,2,2,train
DGS,LR,0,0,0.8363964034217436,65451544,10708108,2,1,train
DGS,LR,1,0,0.2580963525215254,65451572,48558760,0,3,train
DGS,LR,1,0,0.25808877439949035,65451572,48559256,0,2,train
DGS,LR,1,0,0.2580789961775097,65451572,48559896,0,1,train
DGS,LR,1,0,0.25808419085793693,65451572,48559556,0,0,train
DGS,LR,1,1,0.2581261760985664,65451572,48556808,0,0,train
DGS,LR,1,1,0.2723067923347996,65451544,47628644,2,1,train
DGS,LR,1,2,0.2783584753936439,65451544,47232552,2,3,test
DGS,LR,1,2,0.2777447083601267,65451544,47272724,2,2,train
DGS,LR,1,2,0.2725816216039151,65451544,47610656,2,1,train
DGS,LR,1,0,0.2720396634187881,65451544,47646128,2,0,train
DGS,LR,1,0,0.2720270739526022,65451544,47646952,2,1,train
DGS,LR,1,0,0.27713002461790665,65451544,47312956,2,2,train
DGS,LR,1,0,0.2777951884526972,65451544,47269420,2,3,train
DGS,LR,1,1,0.2773881086747167,65451544,47296064,2,2,train
DGS,LR,1,1,0.2723067312208861,65451544,47628648,2,0,train
DGS,LR,1,1,0.25811731458489645,65451572,48557388,0,1,train
DGS,LR,1,2,0.26532214427210454,65451544,48085800,1,1,train
DGS,LR,1,1,0.2581182924070945,65451572,48557324,0,3,test
DGS,LR,1,0,0.894581371525781,65451544,6899812,3,0,train
