dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,LR,0,1,4919,4113,2,2,train
DGS,LR,0,2,3385,2752,2,2,train
DGS,LR,0,2,2445,5429,2,3,train
DGS,LR,0,2,2445,5428,0,3,train
DGS,LR,0,0,0,0,3,0,train
DGS,LR,0,0,18979,18095,3,1,train
DGS,LR,0,0,24290,23670,3,2,train
DGS,LR,0,0,36661,30032,3,3,train
DGS,LR,0,1,0,0,3,0,train
DGS,LR,0,1,19485,18293,3,1,train
DGS,LR,0,1,29229,29434,3,2,train
DGS,LR,0,1,36564,29470,3,3,train
DGS,LR,0,2,0,0,3,0,train
DGS,LR,0,2,0,0,2,0,train
DGS,LR,0,2,21750,18865,3,1,train
DGS,LR,0,2,41963,34870,3,3,train
DGS,LR,0,2,5420,4935,0,2,train
DGS,LR,0,2,95,289,0,1,train
DGS,LR,0,2,0,0,0,0,train
DGS,LR,0,1,2539,5882,0,3,train
DGS,LR,0,1,5435,4512,0,2,train
DGS,LR,0,1,95,289,0,1,train
DGS,LR,0,1,0,0,0,0,train
DGS,LR,0,0,2721,5827,0,3,train
DGS,LR,0,0,5229,4605,0,2,train
DGS,LR,0,0,95,289,0,1,train
DGS,LR,0,0,0,0,0,0,train
DGS,LR,0,2,24239,23618,3,2,train
DGS,LR,0,1,3005,6337,2,3,train
DGS,LR,0,2,2183,3761,2,1,train
DGS,LR,0,1,0,0,2,0,train
DGS,LR,0,2,2393,5429,1,3,train
DGS,LR,0,2,5506,5007,1,2,train
DGS,LR,0,2,147,1575,1,1,train
DGS,LR,0,2,0,0,1,0,train
DGS,LR,0,1,2487,5936,1,3,train
DGS,LR,0,1,5437,4514,1,2,train
DGS,LR,0,1,95,290,1,1,train
DGS,LR,0,1,0,0,1,0,train
DGS,LR,0,0,3057,6337,1,3,train
DGS,LR,0,0,4809,4030,1,2,train
DGS,LR,0,0,95,290,1,1,train
DGS,LR,0,1,95,342,2,1,train
DGS,LR,0,0,0,0,1,0,train
DGS,LR,0,0,0,0,2,0,train
DGS,LR,0,0,3057,6337,2,3,train
DGS,LR,0,0,4800,3592,2,2,train
DGS,LR,0,0,189,797,2,1,train
DGS,LR,1,0,189,795,0,3,train
DGS,LR,1,0,95,289,0,2,train
DGS,LR,1,0,95,289,0,1,train
DGS,LR,1,0,0,0,0,0,train
DGS,LR,1,1,0,0,0,0,train
DGS,LR,1,1,189,797,2,1,train
DGS,LR,1,2,2603,7241,2,3,test
DGS,LR,1,2,3384,2752,2,2,train
DGS,LR,1,2,2032,1969,2,1,train
DGS,LR,1,0,0,0,2,0,train
DGS,LR,1,0,189,797,2,1,train
DGS,LR,1,0,4769,3635,2,2,train
DGS,LR,1,0,2997,6225,2,3,train
DGS,LR,1,1,5068,4080,2,2,train
DGS,LR,1,1,0,0,2,0,train
DGS,LR,1,1,95,289,0,1,train
DGS,LR,1,2,95,290,1,1,train
DGS,LR,1,1,189,795,0,3,test
DGS,LR,1,0,0,0,3,0,train
DGS,LR,1,0,18562,18043,3,1,train
DGS,LR,1,0,11168,10016,3,2,train
DGS,LR,1,0,13101,10501,3,3,train
DGS,LR,1,1,0,0,3,0,train
DGS,LR,1,1,24834,23537,3,1,train
DGS,LR,1,1,10154,9828,3,2,train
DGS,LR,1,1,13607,10595,3,3,test
DGS,LR,1,2,0,0,3,0,train
DGS,LR,1,2,19434,18241,3,1,train
DGS,LR,1,1,95,289,0,2,train
DGS,LR,1,2,12096,11770,3,2,train
DGS,LR,1,2,14813,10490,3,3,test
DGS,LR,1,2,95,289,0,3,test
DGS,LR,1,2,0,0,2,0,train
DGS,LR,1,2,95,289,0,1,train
DGS,LR,1,2,0,0,0,0,train
DGS,LR,1,2,189,797,1,3,test
DGS,LR,1,2,95,290,1,2,train
DGS,LR,1,1,2893,5932,2,3,test
DGS,LR,1,2,0,0,1,0,train
DGS,LR,1,1,95,290,1,3,test
DGS,LR,1,2,189,795,0,2,train
DGS,LR,1,1,189,797,1,1,train
DGS,LR,1,1,0,0,1,0,train
DGS,LR,1,0,95,290,1,3,train
DGS,LR,1,1,95,290,1,2,train
DGS,LR,1,0,0,0,1,0,train
DGS,LR,1,0,189,797,1,1,train
DGS,LR,1,0,95,290,1,2,train
DGS,LR,2,1,19590,18241,3,1,train
DGS,LR,2,1,18788,14726,3,2,train
DGS,LR,2,1,20518,14197,3,3,train
DGS,LR,2,2,0,0,3,0,train
DGS,LR,2,2,19181,18762,3,1,train
DGS,LR,2,2,14477,14007,3,2,train
DGS,LR,2,2,24881,14603,3,3,test
DGS,LR,2,0,14984,14101,3,2,train
DGS,LR,2,0,19290,18762,3,1,train
DGS,LR,2,0,0,0,3,0,train
DGS,LR,2,1,0,0,3,0,train
DGS,LR,2,0,95,289,0,3,test
DGS,LR,2,2,464,1574,0,3,test
DGS,LR,2,2,95,289,0,2,train
DGS,LR,2,2,189,795,0,1,train
DGS,LR,2,2,0,0,0,0,train
DGS,LR,2,1,189,795,0,3,train
DGS,LR,2,1,360,289,0,2,train
DGS,LR,2,1,291,1574,0,1,train
DGS,LR,2,0,0,0,0,0,train
DGS,LR,2,0,189,795,0,1,train
DGS,LR,2,0,95,289,0,2,train
DGS,LR,2,2,3438,8927,1,3,test
DGS,LR,2,1,0,0,0,0,train
DGS,LR,2,0,20519,14197,3,3,test
DGS,LR,2,1,2905,7237,1,3,train
DGS,LR,2,2,3312,2943,2,2,train
DGS,LR,2,0,95,290,1,1,train
DGS,LR,2,0,4918,4113,1,2,train
DGS,LR,2,2,2037,1969,2,1,train
DGS,LR,2,0,3069,7642,1,3,test
DGS,LR,2,1,0,0,1,0,train
DGS,LR,2,1,333,2082,1,1,train
DGS,LR,2,1,5228,3997,1,2,train
DGS,LR,2,2,0,0,1,0,train
DGS,LR,2,2,95,290,1,1,train
DGS,LR,2,2,3090,7113,2,3,test
DGS,LR,2,0,0,0,1,0,train
DGS,LR,2,1,3057,6337,2,3,train
DGS,LR,2,1,5064,3592,2,2,train
DGS,LR,2,1,428,2372,2,1,train
DGS,LR,2,1,0,0,2,0,train
DGS,LR,2,0,3057,6337,2,3,test
DGS,LR,2,0,4918,4113,2,2,train
DGS,LR,2,0,95,290,2,1,train
DGS,LR,2,0,0,0,2,0,train
DGS,LR,2,2,4918,4113,1,2,train
DGS,LR,2,2,0,0,2,0,train
DGS,LR,3,1,0,0,2,0,train
DGS,LR,3,1,5616,5090,1,2,train
DGS,LR,3,1,2037,1969,2,1,train
DGS,LR,3,0,3151,6844,2,3,test
DGS,LR,3,0,4715,3523,2,2,train
DGS,LR,3,1,2445,5429,2,3,test
DGS,LR,3,1,3674,3411,2,2,train
DGS,LR,3,0,95,290,2,1,train
DGS,LR,3,1,0,0,3,0,train
DGS,LR,3,2,0,0,3,0,train
DGS,LR,3,1,95,290,1,1,train
DGS,LR,3,1,0,0,1,0,train
DGS,LR,3,0,3099,6844,1,3,test
DGS,LR,3,0,4715,3523,1,2,train
DGS,LR,3,0,95,290,1,1,train
DGS,LR,3,0,0,0,1,0,train
DGS,LR,3,2,0,0,1,0,train
DGS,LR,3,2,95,290,1,1,train
DGS,LR,3,0,0,0,2,0,train
DGS,LR,3,2,4879,3928,1,2,train
DGS,LR,3,0,0,0,3,0,train
DGS,LR,3,0,18472,18053,3,1,train
DGS,LR,3,0,20179,20024,3,2,train
DGS,LR,3,0,31280,23773,3,3,test
DGS,LR,3,2,0,0,2,0,train
DGS,LR,3,1,19082,18251,3,1,train
DGS,LR,3,1,18745,18176,3,2,train
DGS,LR,3,1,25523,18842,3,3,test
DGS,LR,3,2,2999,7744,1,3,train
DGS,LR,3,2,95,290,2,1,train
DGS,LR,3,1,2445,5429,1,3,test
DGS,LR,3,2,2603,7241,2,3,train
DGS,LR,3,2,18336,18593,3,2,train
DGS,LR,3,0,0,0,0,0,train
DGS,LR,3,0,95,289,0,1,train
DGS,LR,3,0,5196,4536,0,2,train
DGS,LR,3,2,5327,4431,2,2,train
DGS,LR,3,0,2721,5827,0,3,test
DGS,LR,3,1,0,0,0,0,train
DGS,LR,3,2,28034,18459,3,3,train
DGS,LR,3,1,189,795,0,1,train
DGS,LR,3,2,19530,18241,3,1,train
DGS,LR,3,2,2445,5428,0,3,train
DGS,LR,3,2,5472,4935,0,2,train
DGS,LR,3,2,95,289,0,1,train
DGS,LR,3,1,5572,4581,0,2,train
DGS,LR,3,1,2393,5428,0,3,test
DGS,LR,3,2,0,0,0,0,train
DGS,LR,4,0,4910,3675,2,2,train
DGS,LR,4,0,0,0,2,0,train
DGS,LR,4,2,189,797,2,1,train
DGS,LR,4,2,0,0,2,0,train
DGS,LR,4,1,2393,5429,2,3,train
DGS,LR,4,1,5421,4938,2,2,train
DGS,LR,4,1,95,290,2,1,train
DGS,LR,4,2,37229,30136,3,3,train
DGS,LR,4,2,24239,23670,3,2,train
DGS,LR,4,2,0,0,3,0,train
DGS,LR,4,0,95,290,2,1,train
DGS,LR,4,1,34808,27301,3,3,train
DGS,LR,4,1,23731,23576,3,2,train
DGS,LR,4,1,19181,18762,3,1,train
DGS,LR,4,1,0,0,3,0,train
DGS,LR,4,0,37115,30004,3,3,train
DGS,LR,4,0,23882,24139,3,2,train
DGS,LR,4,0,19590,18241,3,1,train
DGS,LR,4,0,0,0,3,0,train
DGS,LR,4,1,0,0,2,0,train
DGS,LR,4,0,3151,6844,2,3,train
DGS,LR,4,2,24326,23443,3,1,train
DGS,LR,4,2,5161,4115,2,2,train
DGS,LR,4,2,5487,4512,0,2,train
DGS,LR,4,2,2487,5934,0,3,train
DGS,LR,4,2,3057,6337,1,3,train
DGS,LR,4,2,189,797,1,1,train
DGS,LR,4,2,0,0,1,0,train
DGS,LR,4,1,2997,6225,1,3,train
DGS,LR,4,1,4954,4211,1,2,train
DGS,LR,4,1,95,290,1,1,train
DGS,LR,4,1,0,0,1,0,train
DGS,LR,4,0,3151,6844,1,3,train
DGS,LR,4,0,4825,3606,1,2,train
DGS,LR,4,0,95,290,1,1,train
DGS,LR,4,0,0,0,1,0,train
DGS,LR,4,0,0,0,0,0,train
DGS,LR,4,0,95,289,0,1,train
DGS,LR,4,0,5581,5018,0,2,train
DGS,LR,4,0,2445,5428,0,3,train
DGS,LR,4,1,0,0,0,0,train
DGS,LR,4,1,189,795,0,1,train
DGS,LR,4,1,5463,4498,0,2,train
DGS,LR,4,1,2445,5428,0,3,train
DGS,LR,4,2,0,0,0,0,train
DGS,LR,4,2,95,289,0,1,train
DGS,LR,4,2,4825,3606,1,2,train
DGS,LR,4,2,2721,5828,2,3,train
DGS,LR,5,2,6229,14404,2,3,train
DGS,LR,5,0,4910,3675,1,2,train
DGS,LR,5,2,5347,3190,2,2,train
DGS,LR,5,2,3927,3596,2,1,train
DGS,LR,5,2,0,0,2,0,train
DGS,LR,5,1,9995,3421,2,4,test
DGS,LR,5,1,10029,14316,2,3,train
DGS,LR,5,1,5477,5310,2,2,train
DGS,LR,5,1,95,290,2,1,train
DGS,LR,5,1,0,0,2,0,train
DGS,LR,5,0,147,1575,2,4,test
DGS,LR,5,0,10265,16196,2,3,train
DGS,LR,5,0,5253,4787,2,2,train
DGS,LR,5,0,95,290,2,1,train
DGS,LR,5,0,0,0,2,0,train
DGS,LR,5,2,15135240,112826,2,4,test
DGS,LR,5,2,3151,6844,1,3,train
DGS,LR,5,2,4715,3523,1,2,train
DGS,LR,5,2,95,290,1,1,train
DGS,LR,5,2,0,0,1,0,train
DGS,LR,5,1,147,1575,1,4,test
DGS,LR,5,1,3151,6844,1,3,train
DGS,LR,5,1,4910,3675,1,2,train
DGS,LR,5,1,95,290,1,1,train
DGS,LR,5,1,0,0,1,0,train
DGS,LR,5,0,147,1575,1,4,test
DGS,LR,5,0,3099,6844,1,3,train
DGS,LR,5,0,95,290,1,1,train
DGS,LR,5,2,147,1575,1,4,test
DGS,LR,5,0,0,0,1,0,train
DGS,LR,5,0,19590,18345,3,1,train
DGS,LR,5,2,5472,4935,0,2,train
DGS,LR,5,2,95,289,0,1,train
DGS,LR,5,2,0,0,0,0,train
DGS,LR,5,1,199,1574,0,4,test
DGS,LR,5,1,2393,5428,0,3,train
DGS,LR,5,1,5666,5087,0,2,train
DGS,LR,5,1,95,289,0,1,train
DGS,LR,5,1,0,0,0,0,train
DGS,LR,5,0,199,1574,0,4,test
DGS,LR,5,0,2393,5428,0,3,train
DGS,LR,5,0,5666,5087,0,2,train
DGS,LR,5,2,2393,5428,0,3,train
DGS,LR,5,0,0,0,0,0,train
DGS,LR,5,0,0,0,3,0,train
DGS,LR,5,2,7963,3032,3,4,test
DGS,LR,5,0,27382,27902,3,2,train
DGS,LR,5,0,43179,33661,3,3,train
DGS,LR,5,0,5486,2876,3,4,test
DGS,LR,5,1,0,0,3,0,train
DGS,LR,5,1,18420,18001,3,1,train
DGS,LR,5,1,28440,28478,3,2,train
DGS,LR,5,1,43334,33864,3,3,train
DGS,LR,5,0,95,289,0,1,train
DGS,LR,5,1,5112,881,3,4,test
DGS,LR,5,2,19434,18241,3,1,train
DGS,LR,5,2,27434,27954,3,2,train
DGS,LR,5,2,44371,33774,3,3,train
DGS,LR,5,2,0,0,3,0,train
DGS,LR,5,2,199,1574,0,4,test
DGS,LR,6,0,20206,20047,3,1,train
DGS,LR,6,0,0,0,3,0,train
DGS,LR,6,1,0,0,1,0,train
DGS,LR,6,1,284,1087,1,1,train
DGS,LR,6,0,49026,40119,3,3,train
DGS,LR,6,1,5338,4856,1,2,train
DGS,LR,6,0,7677,4515,3,4,train
DGS,LR,6,1,0,0,3,0,train
DGS,LR,6,1,24730,23537,3,1,train
DGS,LR,6,0,30783,31154,3,2,train
DGS,LR,6,1,10107,14384,1,3,train
DGS,LR,6,0,0,0,0,0,train
DGS,LR,6,1,95,290,1,5,test
DGS,LR,6,2,189,795,0,4,train
DGS,LR,6,2,2445,5428,0,3,train
DGS,LR,6,2,5572,4581,0,2,train
DGS,LR,6,2,189,795,0,1,train
DGS,LR,6,2,0,0,0,0,train
DGS,LR,6,1,95,289,0,5,test
DGS,LR,6,1,95,289,0,4,train
DGS,LR,6,1,2763,6333,0,3,train
DGS,LR,6,1,5296,4182,0,2,train
DGS,LR,6,1,95,289,0,1,train
DGS,LR,6,1,0,0,0,0,train
DGS,LR,6,0,189,795,0,4,train
DGS,LR,6,0,3057,6336,0,3,train
DGS,LR,6,0,4960,3673,0,2,train
DGS,LR,6,0,189,795,0,1,train
