dataset,algorithm,platformId,runId,Energy,phase,acronym,hp1,val1,hp2,val2
DGS,MLP-tol-0.0001-maxIter-10,1,0,218.01,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,1,1,197.79,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,1,2,207.00000000000003,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,2,0,195.2,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,2,1,294.30000000000007,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,2,2,206.35,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,3,0,200.475,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,3,1,195.75,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,3,2,219.315,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,4,0,214.395,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,4,1,211.55,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,4,2,347.0900000000001,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,5,0,156.2,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,5,1,236.485,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,5,2,171.85500000000005,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,6,0,199.2,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,6,1,220.0,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,6,2,100.7,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,7,0,288.43,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,7,1,196.83,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,7,2,290.08,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,8,0,302.445,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,8,1,310.0750000000001,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,8,2,261.80999999999995,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,9,0,171.235,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,9,1,181.53,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,9,2,170.095,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,10,0,184.25,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,10,1,200.05,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,10,2,95.65,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,11,0,304.55,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,11,1,196.54,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,11,2,227.45,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,12,0,214.95,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,12,1,318.2,train,MLP,tol,0.0001,maxIter,10
DGS,MLP-tol-0.0001-maxIter-10,12,2,314.715,train,MLP,tol,0.0001,maxIter,10
