dataset,algorithm,platformId,runId,MemTotal,MemFree,node,time,phase
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2794344,0,04/21/21 37 2021 01:37:37. 411,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2425820,0,04/21/21 37 2021 01:37:38. 425,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2401596,0,04/21/21 37 2021 01:37:39. 438,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2386500,0,04/21/21 37 2021 01:37:40. 450,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2794344,1,04/21/21 37 2021 01:37:37. 411,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2425820,1,04/21/21 37 2021 01:37:38. 425,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2401596,1,04/21/21 37 2021 01:37:39. 438,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2386500,1,04/21/21 37 2021 01:37:40. 450,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37401096,1,04/21/21 37 2021 01:37:37. 155,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400680,1,04/21/21 37 2021 01:37:38. 180,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400260,1,04/21/21 37 2021 01:37:39. 205,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400116,1,04/21/21 37 2021 01:37:40. 230,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2794344,2,04/21/21 37 2021 01:37:37. 411,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2425820,2,04/21/21 37 2021 01:37:38. 425,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2401596,2,04/21/21 37 2021 01:37:39. 438,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2386500,2,04/21/21 37 2021 01:37:40. 450,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37401096,2,04/21/21 37 2021 01:37:37. 155,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400680,2,04/21/21 37 2021 01:37:38. 180,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400260,2,04/21/21 37 2021 01:37:39. 205,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400116,2,04/21/21 37 2021 01:37:40. 230,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417684,2,04/21/21 37 2021 01:37:37. 569,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417020,2,04/21/21 37 2021 01:37:38. 596,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417644,2,04/21/21 37 2021 01:37:39. 623,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417488,2,04/21/21 37 2021 01:37:40. 649,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2794344,3,04/21/21 37 2021 01:37:37. 411,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2425820,3,04/21/21 37 2021 01:37:38. 425,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2401596,3,04/21/21 37 2021 01:37:39. 438,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451544,2386500,3,04/21/21 37 2021 01:37:40. 450,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37401096,3,04/21/21 37 2021 01:37:37. 155,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400680,3,04/21/21 37 2021 01:37:38. 180,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400260,3,04/21/21 37 2021 01:37:39. 205,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451520,37400116,3,04/21/21 37 2021 01:37:40. 230,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417684,3,04/21/21 37 2021 01:37:37. 569,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417020,3,04/21/21 37 2021 01:37:38. 596,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417644,3,04/21/21 37 2021 01:37:39. 623,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451488,37417488,3,04/21/21 37 2021 01:37:40. 649,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451444,27629972,3,04/21/21 37 2021 01:37:37. 736,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,65451444,27479908,3,04/21/21 37 2021 01:37:38. 752,train
