dataset,algorithm,platformId,runId,NetIn,NetOut,node,time,phase
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930774050174,356045324201994,0,04/21/21 37 2021 01:37:37. 415,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930781616150,356045333800283,0,04/21/21 37 2021 01:37:38. 429,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930783404069,356045335869629,0,04/21/21 37 2021 01:37:39. 442,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930785080580,356045337569094,0,04/21/21 37 2021 01:37:40. 455,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930774050174,356045324201994,1,04/21/21 37 2021 01:37:37. 415,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930781616150,356045333800283,1,04/21/21 37 2021 01:37:38. 429,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930783404069,356045335869629,1,04/21/21 37 2021 01:37:39. 442,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930785080580,356045337569094,1,04/21/21 37 2021 01:37:40. 455,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,2014059504027,82465680607,1,04/21/21 37 2021 01:37:37. 163,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,2014059504122,82465680897,1,04/21/21 37 2021 01:37:38. 188,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,2014059504217,82465681187,1,04/21/21 37 2021 01:37:39. 214,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,2014059504406,82465681983,1,04/21/21 37 2021 01:37:40. 239,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930774050174,356045324201994,2,04/21/21 37 2021 01:37:37. 415,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930781616150,356045333800283,2,04/21/21 37 2021 01:37:38. 429,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930783404069,356045335869629,2,04/21/21 37 2021 01:37:39. 442,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,198930785080580,356045337569094,2,04/21/21 37 2021 01:37:40. 455,train
DGS,MLP-tol-0.0001-maxIter-10,1,0,2014059504027,82465680607,2,04/21/21 37 2021 01:37:37. 163,train
