transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
616.0,128.0,3922.0,2776.0,11115.0,,,,,0,DGS,MLP-maxIter-15,classification,0,0.8967138368531327,0.8984149855907781,0.8984846208482969,0.898414985590778,
661.0,128.0,3932.0,2776.0,11115.0,,,,,1,DGS,MLP-maxIter-15,classification,0,0.8967138368531327,0.8984149855907781,0.8984846208482969,0.898414985590778,
601.0,128.0,4169.0,2776.0,11115.0,,,,,2,DGS,MLP-maxIter-15,classification,0,0.8967138368531327,0.8984149855907781,0.8984846208482969,0.898414985590778,
657.0,128.0,2861.0,2776.0,11115.0,,,,,0,DGS,MLP-maxIter-5,classification,0,0.5993451093436184,0.6170749279538905,0.7760747180219444,0.6170749279538905,
658.0,128.0,2767.0,2776.0,11115.0,,,,,1,DGS,MLP-maxIter-5,classification,0,0.5993451093436184,0.6170749279538905,0.7760747180219444,0.6170749279538905,
639.0,128.0,2708.0,2776.0,11115.0,,,,,2,DGS,MLP-maxIter-5,classification,0,0.5993451093436184,0.6170749279538905,0.7760747180219444,0.6170749279538905,
736.0,128.0,14540.0,2776.0,11115.0,,,,,0,DGS,MLP-tol-0.0001,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
702.0,128.0,14857.0,2776.0,11115.0,,,,,1,DGS,MLP-tol-0.0001,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
720.0,128.0,15064.0,2776.0,11115.0,,,,,2,DGS,MLP-tol-0.0001,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
707.0,128.0,14613.0,2776.0,11115.0,,,,,0,DGS,MLP-maxIter-100,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
639.0,128.0,14713.0,2776.0,11115.0,,,,,1,DGS,MLP-maxIter-100,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
721.0,128.0,14420.0,2776.0,11115.0,,,,,2,DGS,MLP-maxIter-100,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
683.0,128.0,8179.0,2776.0,11115.0,,,,,0,DGS,MLP-maxIter-50,classification,0,0.976234718301968,0.9762247838616714,0.9763420023016952,0.9762247838616716,
638.0,128.0,8057.0,2776.0,11115.0,,,,,1,DGS,MLP-maxIter-50,classification,0,0.976234718301968,0.9762247838616714,0.9763420023016952,0.9762247838616716,
623.0,128.0,8077.0,2776.0,11115.0,,,,,2,DGS,MLP-maxIter-50,classification,0,0.976234718301968,0.9762247838616714,0.9763420023016952,0.9762247838616716,
658.0,128.0,3229.0,2776.0,11115.0,,,,,0,DGS,MLP-maxIter-10,classification,0,0.8667712345918133,0.8641930835734871,0.8738651669397596,0.8641930835734871,
624.0,128.0,3287.0,2776.0,11115.0,,,,,1,DGS,MLP-maxIter-10,classification,0,0.8667712345918133,0.8641930835734871,0.8738651669397596,0.8641930835734871,
635.0,128.0,3415.0,2776.0,11115.0,,,,,2,DGS,MLP-maxIter-10,classification,0,0.8667712345918133,0.8641930835734871,0.8738651669397596,0.8641930835734871,
664.0,128.0,14746.0,2776.0,11115.0,,,,,0,DGS,MLP-tol-1e-06,classification,0,0.9899070954231386,0.989913544668588,0.9899682385337656,0.989913544668588,
