dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,MLP-maxIter-10,0,0,198.65,train,MLP,maxIter,10
DGS,MLP-maxIter-10,0,1,389.15,train,MLP,maxIter,10
DGS,MLP-maxIter-10,0,2,379.5,train,MLP,maxIter,10
DGS,MLP-maxIter-10,0,2,179.35,test,MLP,maxIter,10
DGS,MLP-maxIter-100,0,0,1396.225,train,MLP,maxIter,100
DGS,MLP-maxIter-100,0,1,2412.05,train,MLP,maxIter,100
DGS,MLP-maxIter-100,0,2,2456.330000000001,train,MLP,maxIter,100
DGS,MLP-maxIter-100,0,0,45.03,test,MLP,maxIter,100
DGS,MLP-maxIter-100,0,1,189.595,test,MLP,maxIter,100
DGS,MLP-maxIter-100,0,2,225.55,test,MLP,maxIter,100
DGS,MLP-maxIter-15,0,0,373.5,train,MLP,maxIter,15
DGS,MLP-maxIter-15,0,1,367.51,train,MLP,maxIter,15
DGS,MLP-maxIter-15,0,2,171.685,train,MLP,maxIter,15
DGS,MLP-maxIter-15,0,1,41.65,test,MLP,maxIter,15
DGS,MLP-maxIter-20,0,0,586.175,train,MLP,maxIter,20
DGS,MLP-maxIter-20,0,1,578.1,train,MLP,maxIter,20
DGS,MLP-maxIter-20,0,2,564.91,train,MLP,maxIter,20
DGS,MLP-maxIter-20,0,0,173.6,test,MLP,maxIter,20
DGS,MLP-maxIter-5,0,0,178.35500000000005,train,MLP,maxIter,5
DGS,MLP-maxIter-5,0,1,218.25,train,MLP,maxIter,5
DGS,MLP-maxIter-5,0,2,390.26,train,MLP,maxIter,5
DGS,MLP-maxIter-5,0,0,198.25,test,MLP,maxIter,5
DGS,MLP-maxIter-5,0,1,161.115,test,MLP,maxIter,5
DGS,MLP-maxIter-50,0,0,1179.74,train,MLP,maxIter,50
DGS,MLP-maxIter-50,0,1,1318.94,train,MLP,maxIter,50
DGS,MLP-maxIter-50,0,2,1172.6,train,MLP,maxIter,50
DGS,MLP-maxIter-50,0,0,171.25,test,MLP,maxIter,50
DGS,MLP-maxIter-50,0,2,191.05,test,MLP,maxIter,50
DGS,MLP-stepSize-0.003,0,0,2418.75,train,MLP,stepSize,0.003
DGS,MLP-stepSize-0.003,0,1,2495.05,train,MLP,stepSize,0.003
DGS,MLP-stepSize-0.003,0,2,2475.09,train,MLP,stepSize,0.003
DGS,MLP-stepSize-0.003,0,2,171.45,test,MLP,stepSize,0.003
DGS,MLP-stepSize-0.3,0,0,2423.98,train,MLP,stepSize,0.3
DGS,MLP-stepSize-0.3,0,1,2417.4800000000005,train,MLP,stepSize,0.3
DGS,MLP-stepSize-0.3,0,2,2306.3499999999995,train,MLP,stepSize,0.3
DGS,MLP-stepSize-0.3,0,0,215.0,test,MLP,stepSize,0.3
DGS,MLP-tol-0.0001,0,0,2403.25,train,MLP,tol,0.0001
DGS,MLP-tol-0.0001,0,1,2466.405,train,MLP,tol,0.0001
DGS,MLP-tol-0.0001,0,2,2628.55,train,MLP,tol,0.0001
DGS,MLP-tol-0.0001,0,1,152.455,test,MLP,tol,0.0001
DGS,MLP-tol-0.01,0,0,2053.255,train,MLP,tol,0.01
DGS,MLP-tol-0.01,0,1,1865.5,train,MLP,tol,0.01
DGS,MLP-tol-0.01,0,2,1427.23,train,MLP,tol,0.01
DGS,MLP-tol-0.01,0,1,209.8,test,MLP,tol,0.01
DGS,MLP-tol-0.1,0,0,430.065,train,MLP,tol,0.1
DGS,MLP-tol-0.1,0,1,826.27,train,MLP,tol,0.1
DGS,MLP-tol-0.1,0,2,771.01,train,MLP,tol,0.1
DGS,MLP-tol-1e-06,0,0,2175.42,train,MLP,tol,1e-06
DGS,MLP-tol-1e-06,0,1,2209.51,train,MLP,tol,1e-06
DGS,MLP-tol-1e-06,0,2,2088.11,train,MLP,tol,1e-06
DGS,MLP-tol-1e-06,0,0,113.835,test,MLP,tol,1e-06
