dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DGS,MLP-maxIter-15,0,0,65451572,6350032,0,0,train
DGS,MLP-tol-0.01,0,1,65451544,5738576,2,5,train
DGS,MLP-tol-0.01,0,1,65451544,5737860,2,4,train
DGS,MLP-tol-0.01,0,1,65451544,5734228,2,3,train
DGS,MLP-tol-0.01,0,1,65451544,5831408,2,2,train
DGS,MLP-tol-0.01,0,1,65451544,6112716,2,1,train
DGS,MLP-tol-0.01,0,1,65451544,6112296,2,0,train
DGS,MLP-tol-0.01,0,0,65451544,4828516,2,12,train
DGS,MLP-tol-0.01,0,0,65451544,4959648,2,11,train
DGS,MLP-tol-0.01,0,0,65451544,5090792,2,10,train
DGS,MLP-tol-0.01,0,1,65451544,5652340,2,6,train
DGS,MLP-tol-0.01,0,0,65451544,5103036,2,9,train
DGS,MLP-tol-0.01,0,0,65451544,5192556,2,7,train
DGS,MLP-tol-0.01,0,0,65451544,5430312,2,6,train
DGS,MLP-tol-0.01,0,0,65451544,5478156,2,5,train
DGS,MLP-tol-0.01,0,0,65451544,5719204,2,4,train
DGS,MLP-tol-0.01,0,0,65451544,5719160,2,3,train
DGS,MLP-tol-0.01,0,0,65451544,5846360,2,2,train
DGS,MLP-tol-0.01,0,0,65451544,6131456,2,1,train
DGS,MLP-tol-0.01,0,0,65451544,6130876,2,0,train
DGS,MLP-tol-0.01,0,2,65451544,4589560,1,12,test
DGS,MLP-tol-0.01,0,0,65451544,5110000,2,8,train
DGS,MLP-tol-0.01,0,2,65451544,4610900,1,11,train
DGS,MLP-tol-0.01,0,1,65451544,5478512,2,7,train
DGS,MLP-tol-0.01,0,1,65451544,5152660,2,9,train
DGS,MLP-tol-0.01,0,0,65451544,6882192,3,3,train
DGS,MLP-tol-0.01,0,0,65451544,7486616,3,2,train
DGS,MLP-tol-0.01,0,0,65451544,7785780,3,1,train
DGS,MLP-tol-0.01,0,0,65451544,8059928,3,0,train
DGS,MLP-tol-0.01,0,2,65451544,4575612,2,12,test
DGS,MLP-tol-0.01,0,2,65451544,4922800,2,11,train
DGS,MLP-tol-0.01,0,2,65451544,5073820,2,10,train
DGS,MLP-tol-0.01,0,2,65451544,5142152,2,9,train
DGS,MLP-tol-0.01,0,2,65451544,5164260,2,8,train
DGS,MLP-tol-0.01,0,1,65451544,5209144,2,8,train
DGS,MLP-tol-0.01,0,2,65451544,5423744,2,7,train
DGS,MLP-tol-0.01,0,2,65451544,5686092,2,5,train
DGS,MLP-tol-0.01,0,2,65451544,5685028,2,4,train
DGS,MLP-tol-0.01,0,2,65451544,5684728,2,3,train
DGS,MLP-tol-0.01,0,2,65451544,5865880,2,2,train
DGS,MLP-tol-0.01,0,2,65451544,6097392,2,1,train
DGS,MLP-tol-0.01,0,2,65451544,6097068,2,0,train
DGS,MLP-tol-0.01,0,1,65451544,4858400,2,12,test
DGS,MLP-tol-0.01,0,1,65451544,5024120,2,11,train
DGS,MLP-tol-0.01,0,1,65451544,5135360,2,10,train
DGS,MLP-tol-0.01,0,2,65451544,5605752,2,6,train
DGS,MLP-tol-0.01,0,0,65451544,6814876,3,4,train
DGS,MLP-tol-0.01,0,2,65451544,4762236,1,10,train
DGS,MLP-tol-0.01,0,2,65451544,4842076,1,8,train
DGS,MLP-tol-0.01,0,0,65451544,4821900,1,9,train
DGS,MLP-tol-0.01,0,0,65451544,4884448,1,8,train
DGS,MLP-tol-0.01,0,0,65451544,5166060,1,7,train
DGS,MLP-tol-0.01,0,0,65451544,5285920,1,6,train
DGS,MLP-tol-0.01,0,0,65451544,5465044,1,5,train
DGS,MLP-tol-0.01,0,0,65451544,5464172,1,4,train
DGS,MLP-tol-0.01,0,0,65451544,5462492,1,3,train
DGS,MLP-tol-0.01,0,0,65451544,5596016,1,2,train
DGS,MLP-tol-0.01,0,0,65451544,5817840,1,1,train
DGS,MLP-tol-0.01,0,0,65451544,4802828,1,10,train
DGS,MLP-tol-0.01,0,0,65451544,5817036,1,0,train
DGS,MLP-tol-0.01,0,2,65451572,4976792,0,11,train
DGS,MLP-tol-0.01,0,2,65451572,5067800,0,10,train
DGS,MLP-tol-0.01,0,2,65451572,5178908,0,9,train
DGS,MLP-tol-0.01,0,2,65451572,5238224,0,8,train
DGS,MLP-tol-0.01,0,2,65451572,5248108,0,7,train
DGS,MLP-tol-0.01,0,2,65451572,5309824,0,6,train
DGS,MLP-tol-0.01,0,2,65451572,5392244,0,5,train
DGS,MLP-tol-0.01,0,2,65451572,5637764,0,4,train
DGS,MLP-tol-0.01,0,2,65451572,5636540,0,3,train
DGS,MLP-tol-0.01,0,2,65451572,4955428,0,12,test
DGS,MLP-tol-0.01,0,2,65451544,4779136,1,9,train
DGS,MLP-tol-0.01,0,0,65451544,4669192,1,11,train
DGS,MLP-tol-0.01,0,1,65451544,5801732,1,0,train
DGS,MLP-tol-0.01,0,2,65451544,5165080,1,7,train
DGS,MLP-tol-0.01,0,2,65451544,5342260,1,6,train
DGS,MLP-tol-0.01,0,2,65451544,5430720,1,5,train
DGS,MLP-tol-0.01,0,2,65451544,5430216,1,4,train
DGS,MLP-tol-0.01,0,2,65451544,5428056,1,3,train
DGS,MLP-tol-0.01,0,2,65451544,5562004,1,2,train
DGS,MLP-tol-0.01,0,2,65451544,5783216,1,1,train
DGS,MLP-tol-0.01,0,2,65451544,5782592,1,0,train
DGS,MLP-tol-0.01,0,1,65451544,4564944,1,12,test
DGS,MLP-tol-0.01,0,0,65451544,4659584,1,12,train
DGS,MLP-tol-0.01,0,1,65451544,4580280,1,11,train
DGS,MLP-tol-0.01,0,1,65451544,4850288,1,9,train
DGS,MLP-tol-0.01,0,1,65451544,4878368,1,8,train
DGS,MLP-tol-0.01,0,1,65451544,5165484,1,7,train
DGS,MLP-tol-0.01,0,1,65451544,5350524,1,6,train
DGS,MLP-tol-0.01,0,1,65451544,5444024,1,5,train
DGS,MLP-tol-0.01,0,1,65451544,5443536,1,4,train
DGS,MLP-tol-0.01,0,1,65451544,5442440,1,3,train
DGS,MLP-tol-0.01,0,1,65451544,5608888,1,2,train
DGS,MLP-tol-0.01,0,1,65451544,5802112,1,1,train
DGS,MLP-tol-0.01,0,1,65451544,4587704,1,10,train
DGS,MLP-tol-0.01,0,2,65451572,5745776,0,2,train
DGS,MLP-tol-0.01,0,0,65451544,6753356,3,5,train
DGS,MLP-tol-0.01,0,0,65451544,6429832,3,7,train
DGS,MLP-stepSize-0.3,0,2,65451572,5738504,0,5,train
DGS,MLP-stepSize-0.3,0,2,65451572,5737620,0,4,train
DGS,MLP-stepSize-0.3,0,2,65451572,5736452,0,3,train
DGS,MLP-stepSize-0.3,0,2,65451572,5836120,0,2,train
DGS,MLP-stepSize-0.3,0,2,65451572,6061784,0,1,train
DGS,MLP-stepSize-0.3,0,2,65451572,6062044,0,0,train
DGS,MLP-stepSize-0.3,0,1,65451572,4867240,0,14,train
DGS,MLP-stepSize-0.3,0,1,65451572,4870472,0,13,train
DGS,MLP-stepSize-0.3,0,1,65451572,4872492,0,12,train
DGS,MLP-stepSize-0.3,0,2,65451572,5638840,0,6,train
DGS,MLP-stepSize-0.3,0,1,65451572,5008484,0,11,train
DGS,MLP-stepSize-0.3,0,1,65451572,5046684,0,9,train
DGS,MLP-stepSize-0.3,0,1,65451572,5138808,0,8,train
DGS,MLP-stepSize-0.3,0,1,65451572,5444064,0,7,train
DGS,MLP-stepSize-0.3,0,1,65451572,5647792,0,6,train
DGS,MLP-stepSize-0.3,0,1,65451572,5755416,0,5,train
DGS,MLP-stepSize-0.3,0,1,65451572,5752052,0,4,train
DGS,MLP-stepSize-0.3,0,1,65451572,5752572,0,3,train
DGS,MLP-stepSize-0.3,0,1,65451572,5866880,0,2,train
DGS,MLP-stepSize-0.3,0,1,65451572,6080872,0,1,train
DGS,MLP-stepSize-0.3,0,1,65451572,5029832,0,10,train
DGS,MLP-stepSize-0.3,0,1,65451572,6080428,0,0,train
DGS,MLP-stepSize-0.3,0,2,65451572,5463304,0,7,train
DGS,MLP-stepSize-0.3,0,2,65451572,5294900,0,9,train
DGS,MLP-stepSize-0.3,0,0,65451544,4522544,1,14,train
DGS,MLP-stepSize-0.3,0,0,65451544,4525844,1,13,train
DGS,MLP-stepSize-0.3,0,0,65451544,4528356,1,12,train
DGS,MLP-stepSize-0.3,0,0,65451544,4544232,1,11,train
DGS,MLP-stepSize-0.3,0,0,65451544,4551304,1,10,train
DGS,MLP-stepSize-0.3,0,0,65451544,4922876,1,9,train
DGS,MLP-stepSize-0.3,0,0,65451544,4935984,1,8,train
DGS,MLP-stepSize-0.3,0,0,65451544,5268712,1,7,train
DGS,MLP-stepSize-0.3,0,0,65451544,5394816,1,6,train
DGS,MLP-stepSize-0.3,0,2,65451572,5308764,0,8,train
DGS,MLP-stepSize-0.3,0,0,65451544,5525488,1,5,train
DGS,MLP-stepSize-0.3,0,0,65451544,5522880,1,3,train
DGS,MLP-stepSize-0.3,0,0,65451544,5691848,1,2,train
DGS,MLP-stepSize-0.3,0,0,65451544,5919560,1,1,train
DGS,MLP-stepSize-0.3,0,0,65451544,5920104,1,0,train
DGS,MLP-stepSize-0.3,0,2,65451572,4986300,0,14,train
DGS,MLP-stepSize-0.3,0,2,65451572,5040744,0,13,train
DGS,MLP-stepSize-0.3,0,2,65451572,5048660,0,12,train
DGS,MLP-stepSize-0.3,0,2,65451572,5067140,0,11,train
DGS,MLP-stepSize-0.3,0,2,65451572,5127336,0,10,train
DGS,MLP-stepSize-0.3,0,0,65451544,5525284,1,4,train
DGS,MLP-tol-0.01,0,0,65451544,6618100,3,6,train
DGS,MLP-stepSize-0.3,0,0,65451572,5010884,0,15,train
DGS,MLP-stepSize-0.3,0,0,65451572,5093112,0,13,train
DGS,MLP-tol-0.01,0,2,65451544,7755576,3,1,train
DGS,MLP-tol-0.01,0,2,65451544,8026276,3,0,train
DGS,MLP-tol-0.01,0,1,65451544,5539208,3,12,test
DGS,MLP-tol-0.01,0,1,65451544,5942108,3,11,train
DGS,MLP-tol-0.01,0,1,65451544,6132336,3,10,train
DGS,MLP-tol-0.01,0,1,65451544,6154632,3,9,train
DGS,MLP-tol-0.01,0,1,65451544,6234488,3,8,train
DGS,MLP-tol-0.01,0,1,65451544,6560848,3,7,train
DGS,MLP-tol-0.01,0,1,65451544,6728948,3,6,train
DGS,MLP-tol-0.01,0,2,65451544,7448956,3,2,train
DGS,MLP-tol-0.01,0,1,65451544,6814740,3,5,train
DGS,MLP-tol-0.01,0,1,65451544,6996756,3,3,train
DGS,MLP-tol-0.01,0,1,65451544,7482900,3,2,train
DGS,MLP-tol-0.01,0,1,65451544,7768908,3,1,train
DGS,MLP-tol-0.01,0,1,65451544,8042972,3,0,train
DGS,MLP-tol-0.01,0,0,65451544,5616416,3,12,train
DGS,MLP-tol-0.01,0,0,65451544,5924904,3,11,train
DGS,MLP-tol-0.01,0,0,65451544,5959228,3,10,train
DGS,MLP-tol-0.01,0,0,65451544,5993992,3,9,train
DGS,MLP-tol-0.01,0,0,65451544,6059680,3,8,train
DGS,MLP-tol-0.01,0,1,65451544,6869464,3,4,train
DGS,MLP-stepSize-0.3,0,0,65451572,5014164,0,14,train
DGS,MLP-tol-0.01,0,2,65451544,6918728,3,3,train
DGS,MLP-tol-0.01,0,2,65451544,6722088,3,5,train
DGS,MLP-stepSize-0.3,0,0,65451572,5102720,0,12,train
DGS,MLP-stepSize-0.3,0,0,65451572,5117712,0,11,train
DGS,MLP-stepSize-0.3,0,0,65451572,5176248,0,10,train
DGS,MLP-stepSize-0.3,0,0,65451572,5313036,0,9,train
DGS,MLP-stepSize-0.3,0,0,65451572,5319200,0,8,train
DGS,MLP-stepSize-0.3,0,0,65451572,5347816,0,7,train
DGS,MLP-stepSize-0.3,0,0,65451572,5428440,0,6,train
DGS,MLP-stepSize-0.3,0,0,65451572,5529528,0,5,train
DGS,MLP-stepSize-0.3,0,0,65451572,5774276,0,4,train
DGS,MLP-tol-0.01,0,2,65451544,6779120,3,4,train
DGS,MLP-stepSize-0.3,0,0,65451572,5772652,0,3,train
DGS,MLP-stepSize-0.3,0,0,65451572,6099184,0,1,train
DGS,MLP-stepSize-0.3,0,0,65451572,6098676,0,0,train
DGS,MLP-tol-0.01,0,2,65451544,5535652,3,12,test
DGS,MLP-tol-0.01,0,2,65451544,5901060,3,11,train
DGS,MLP-tol-0.01,0,2,65451544,5940248,3,10,train
DGS,MLP-tol-0.01,0,2,65451544,5965372,3,9,train
DGS,MLP-tol-0.01,0,2,65451544,6073180,3,8,train
DGS,MLP-tol-0.01,0,2,65451544,6388468,3,7,train
DGS,MLP-tol-0.01,0,2,65451544,6582128,3,6,train
DGS,MLP-stepSize-0.3,0,0,65451572,5889700,0,2,train
DGS,MLP-tol-0.01,0,2,65451572,5962024,0,1,train
DGS,MLP-tol-0.01,0,2,65451572,5962788,0,0,train
DGS,MLP-tol-0.01,0,1,65451572,4995348,0,12,test
DGS,MLP-tol-1e-06,0,2,65451544,5795504,3,11,train
DGS,MLP-tol-1e-06,0,2,65451544,6029248,3,10,train
DGS,MLP-tol-1e-06,0,2,65451544,6079556,3,9,train
DGS,MLP-tol-1e-06,0,2,65451544,6176652,3,8,train
DGS,MLP-tol-1e-06,0,2,65451544,6178100,3,7,train
DGS,MLP-tol-1e-06,0,2,65451544,6420284,3,6,train
DGS,MLP-tol-1e-06,0,2,65451544,6601740,3,5,train
DGS,MLP-tol-1e-06,0,2,65451544,6761808,3,4,train
DGS,MLP-tol-1e-06,0,2,65451544,6893856,3,3,train
DGS,MLP-tol-1e-06,0,2,65451544,5378904,3,12,train
DGS,MLP-tol-1e-06,0,2,65451544,7386468,3,2,train
DGS,MLP-tol-1e-06,0,2,65451544,7920112,3,0,train
DGS,MLP-tol-1e-06,0,1,65451544,5220496,3,15,train
DGS,MLP-tol-1e-06,0,1,65451544,5230012,3,14,train
DGS,MLP-tol-1e-06,0,1,65451544,5378984,3,13,train
DGS,MLP-tol-1e-06,0,1,65451544,5434536,3,12,train
DGS,MLP-tol-1e-06,0,1,65451544,5797632,3,11,train
DGS,MLP-tol-1e-06,0,1,65451544,5819712,3,10,train
DGS,MLP-tol-1e-06,0,1,65451544,5859184,3,9,train
DGS,MLP-tol-1e-06,0,1,65451544,5931184,3,8,train
DGS,MLP-tol-1e-06,0,2,65451544,7689404,3,1,train
DGS,MLP-tol-1e-06,0,1,65451544,6265968,3,7,train
DGS,MLP-tol-1e-06,0,2,65451544,5309316,3,13,train
DGS,MLP-tol-1e-06,0,2,65451544,5171636,3,15,test
DGS,MLP-tol-0.1,0,2,65451572,5553116,0,4,train
DGS,MLP-tol-0.1,0,2,65451572,5551288,0,3,train
DGS,MLP-tol-0.1,0,2,65451572,5708160,0,2,train
DGS,MLP-tol-0.1,0,2,65451572,5910488,0,1,train
DGS,MLP-tol-0.1,0,2,65451572,5909888,0,0,train
DGS,MLP-tol-0.1,0,1,65451572,5482000,0,6,train
DGS,MLP-tol-0.1,0,1,65451572,5569920,0,5,train
DGS,MLP-tol-0.1,0,1,65451572,5568908,0,4,train
DGS,MLP-tol-0.1,0,1,65451572,5567548,0,3,train
DGS,MLP-tol-1e-06,0,2,65451544,5178264,3,14,train
DGS,MLP-tol-0.1,0,1,65451572,5643836,0,2,train
DGS,MLP-tol-0.1,0,1,65451572,5926376,0,0,train
DGS,MLP-tol-0.1,0,0,65451572,5218864,0,7,test
DGS,MLP-tol-0.1,0,0,65451572,5313948,0,6,train
DGS,MLP-tol-0.1,0,0,65451572,5380976,0,5,train
DGS,MLP-tol-0.1,0,0,65451572,5621776,0,4,train
DGS,MLP-tol-0.1,0,0,65451572,5619640,0,3,train
DGS,MLP-tol-0.1,0,0,65451572,5701684,0,2,train
DGS,MLP-tol-0.1,0,0,65451572,5945744,0,1,train
DGS,MLP-tol-0.1,0,0,65451572,5946076,0,0,train
DGS,MLP-tol-0.1,0,1,65451572,5926760,0,1,train
DGS,MLP-tol-0.1,0,2,65451572,5553120,0,5,train
DGS,MLP-tol-1e-06,0,1,65451544,6528932,3,6,train
DGS,MLP-tol-1e-06,0,1,65451544,6707836,3,4,train
DGS,MLP-tol-1e-06,0,2,65451544,4803020,2,11,train
DGS,MLP-tol-1e-06,0,2,65451544,4964568,2,10,train
DGS,MLP-tol-1e-06,0,2,65451544,4975260,2,9,train
DGS,MLP-tol-1e-06,0,2,65451544,5049124,2,8,train
DGS,MLP-tol-1e-06,0,2,65451544,5351052,2,7,train
DGS,MLP-tol-1e-06,0,2,65451544,5529888,2,6,train
DGS,MLP-tol-1e-06,0,2,65451544,5614888,2,5,train
DGS,MLP-tol-1e-06,0,2,65451544,5614068,2,4,train
DGS,MLP-tol-1e-06,0,2,65451544,5613512,2,3,train
DGS,MLP-tol-1e-06,0,2,65451544,4679224,2,12,train
DGS,MLP-tol-1e-06,0,2,65451544,5785204,2,2,train
DGS,MLP-tol-1e-06,0,2,65451544,5995088,2,0,train
DGS,MLP-tol-1e-06,0,1,65451544,4576108,2,15,train
DGS,MLP-tol-1e-06,0,1,65451544,4578960,2,14,train
DGS,MLP-tol-1e-06,0,1,65451544,4581556,2,13,train
DGS,MLP-tol-1e-06,0,1,65451544,4585004,2,12,train
DGS,MLP-tol-1e-06,0,1,65451544,4765488,2,11,train
DGS,MLP-tol-1e-06,0,1,65451544,5004472,2,10,train
DGS,MLP-tol-1e-06,0,1,65451544,5017088,2,9,train
DGS,MLP-tol-1e-06,0,1,65451544,5029384,2,8,train
DGS,MLP-tol-1e-06,0,2,65451544,5995588,2,1,train
DGS,MLP-tol-1e-06,0,1,65451544,6652688,3,5,train
DGS,MLP-tol-1e-06,0,2,65451544,4552180,2,13,train
DGS,MLP-tol-1e-06,0,2,65451544,4544936,2,15,test
DGS,MLP-tol-1e-06,0,1,65451544,6768356,3,3,train
DGS,MLP-tol-1e-06,0,1,65451544,7381448,3,2,train
DGS,MLP-tol-1e-06,0,1,65451544,7665540,3,1,train
DGS,MLP-tol-1e-06,0,1,65451544,7938340,3,0,train
DGS,MLP-tol-1e-06,0,0,65451544,5188360,3,15,test
DGS,MLP-tol-1e-06,0,0,65451544,5195924,3,14,train
DGS,MLP-tol-1e-06,0,0,65451544,5337092,3,13,train
DGS,MLP-tol-1e-06,0,0,65451544,5437240,3,12,train
DGS,MLP-tol-1e-06,0,0,65451544,5841840,3,11,train
DGS,MLP-tol-1e-06,0,2,65451544,4548640,2,14,train
DGS,MLP-tol-1e-06,0,0,65451544,6060628,3,10,train
DGS,MLP-tol-1e-06,0,0,65451544,6157132,3,8,train
DGS,MLP-tol-1e-06,0,0,65451544,6438012,3,7,train
DGS,MLP-tol-1e-06,0,0,65451544,6650544,3,6,train
DGS,MLP-tol-1e-06,0,0,65451544,6733516,3,5,train
DGS,MLP-tol-1e-06,0,0,65451544,6785260,3,4,train
DGS,MLP-tol-1e-06,0,0,65451544,6858844,3,3,train
DGS,MLP-tol-1e-06,0,0,65451544,7395336,3,2,train
DGS,MLP-tol-1e-06,0,0,65451544,7683116,3,1,train
DGS,MLP-tol-1e-06,0,0,65451544,7956764,3,0,train
DGS,MLP-tol-1e-06,0,0,65451544,6096464,3,9,train
DGS,MLP-tol-0.1,0,2,65451572,5443580,0,6,train
DGS,MLP-tol-0.1,0,2,65451572,5276116,0,7,test
DGS,MLP-tol-0.1,0,0,65451544,5765384,1,0,train
DGS,MLP-tol-0.01,0,0,65451572,5994848,0,0,train
DGS,MLP-tol-0.1,0,2,65451544,6108140,3,7,test
DGS,MLP-tol-0.1,0,2,65451544,6403032,3,6,train
DGS,MLP-tol-0.1,0,2,65451544,6486324,3,5,train
DGS,MLP-tol-0.1,0,2,65451544,6766564,3,4,train
DGS,MLP-tol-0.1,0,2,65451544,6923796,3,3,train
DGS,MLP-tol-0.1,0,2,65451544,7440216,3,2,train
DGS,MLP-tol-0.1,0,2,65451544,7722568,3,1,train
DGS,MLP-tol-0.1,0,2,65451544,7973716,3,0,train
DGS,MLP-tol-0.01,0,0,65451572,5995468,0,1,train
DGS,MLP-tol-0.1,0,1,65451544,6576876,3,6,train
DGS,MLP-tol-0.1,0,1,65451544,6747240,3,4,train
DGS,MLP-tol-0.1,0,1,65451544,6792820,3,3,train
DGS,MLP-tol-0.1,0,1,65451544,7433104,3,2,train
DGS,MLP-tol-0.1,0,1,65451544,7716912,3,1,train
DGS,MLP-tol-0.1,0,1,65451544,7991304,3,0,train
DGS,MLP-tol-0.1,0,0,65451544,6540324,3,7,test
DGS,MLP-tol-0.1,0,0,65451544,6727192,3,6,train
DGS,MLP-tol-0.1,0,0,65451544,6761328,3,5,train
DGS,MLP-tol-0.1,0,0,65451544,6819152,3,4,train
DGS,MLP-tol-0.1,0,1,65451544,6712148,3,5,train
DGS,MLP-tol-0.1,0,0,65451544,6933080,3,3,train
DGS,MLP-tol-0.01,0,0,65451572,5783960,0,2,train
DGS,MLP-tol-0.01,0,0,65451572,5637356,0,4,train
DGS,MLP-tol-0.01,0,1,65451572,5011800,0,11,train
DGS,MLP-tol-0.01,0,1,65451572,5085724,0,10,train
DGS,MLP-tol-0.01,0,1,65451572,5211092,0,9,train
DGS,MLP-tol-0.01,0,1,65451572,5246784,0,8,train
DGS,MLP-tol-0.01,0,1,65451572,5252132,0,7,train
DGS,MLP-tol-0.01,0,1,65451572,5328268,0,6,train
DGS,MLP-tol-0.01,0,1,65451572,5409912,0,5,train
DGS,MLP-tol-0.01,0,1,65451572,5655412,0,4,train
DGS,MLP-tol-0.01,0,1,65451572,5651264,0,3,train
DGS,MLP-tol-0.01,0,0,65451572,5635640,0,3,train
DGS,MLP-tol-0.01,0,1,65451572,5775268,0,2,train
DGS,MLP-tol-0.01,0,1,65451572,5978452,0,0,train
DGS,MLP-tol-0.01,0,0,65451572,4853372,0,12,train
DGS,MLP-tol-0.01,0,0,65451572,4871464,0,11,train
DGS,MLP-tol-0.01,0,0,65451572,4873600,0,10,train
DGS,MLP-tol-0.01,0,0,65451572,5247188,0,9,train
DGS,MLP-tol-0.01,0,0,65451572,5255612,0,8,train
DGS,MLP-tol-0.01,0,0,65451572,5349384,0,7,train
DGS,MLP-tol-0.01,0,0,65451572,5520668,0,6,train
DGS,MLP-tol-0.01,0,0,65451572,5637476,0,5,train
DGS,MLP-tol-0.01,0,1,65451572,5978432,0,1,train
DGS,MLP-tol-0.1,0,0,65451544,7427736,3,2,train
DGS,MLP-tol-0.1,0,0,65451544,7733784,3,1,train
DGS,MLP-tol-0.1,0,0,65451544,8006716,3,0,train
DGS,MLP-tol-0.1,0,2,65451544,5373812,1,5,train
DGS,MLP-tol-0.1,0,2,65451544,5370124,1,4,train
DGS,MLP-tol-0.1,0,2,65451544,5371172,1,3,train
DGS,MLP-tol-0.1,0,2,65451544,5536864,1,2,train
DGS,MLP-tol-0.1,0,2,65451544,5731116,1,1,train
DGS,MLP-tol-0.1,0,2,65451544,5731504,1,0,train
DGS,MLP-tol-0.1,0,1,65451544,5291376,1,6,train
DGS,MLP-tol-0.1,0,1,65451544,5390392,1,5,train
DGS,MLP-tol-0.1,0,1,65451544,5389772,1,4,train
DGS,MLP-tol-0.1,0,2,65451544,5273724,1,6,train
DGS,MLP-tol-0.1,0,1,65451544,5387288,1,3,train
DGS,MLP-tol-0.1,0,1,65451544,5750464,1,1,train
DGS,MLP-tol-0.1,0,1,65451544,5750912,1,0,train
DGS,MLP-tol-0.1,0,0,65451544,5134448,1,7,test
DGS,MLP-tol-0.1,0,0,65451544,5340436,1,6,train
DGS,MLP-tol-0.1,0,0,65451544,5412060,1,5,train
DGS,MLP-tol-0.1,0,0,65451544,5411564,1,4,train
DGS,MLP-tol-0.1,0,0,65451544,5409208,1,3,train
DGS,MLP-tol-0.1,0,0,65451544,5542240,1,2,train
DGS,MLP-tol-0.1,0,0,65451544,5765396,1,1,train
DGS,MLP-tol-0.1,0,1,65451544,5523472,1,2,train
DGS,MLP-tol-0.1,0,2,65451544,5093444,1,7,test
DGS,MLP-tol-0.1,0,0,65451544,6078492,2,0,train
DGS,MLP-tol-0.1,0,0,65451544,6078968,2,1,train
DGS,MLP-tol-0.1,0,2,65451544,5407224,2,7,test
DGS,MLP-tol-0.1,0,2,65451544,5578168,2,6,train
DGS,MLP-tol-0.1,0,2,65451544,5673044,2,5,train
DGS,MLP-tol-0.1,0,2,65451544,5671956,2,4,train
DGS,MLP-tol-0.1,0,2,65451544,5669424,2,3,train
DGS,MLP-tol-0.1,0,2,65451544,5836352,2,2,train
DGS,MLP-tol-0.1,0,2,65451544,6044852,2,1,train
DGS,MLP-tol-0.1,0,2,65451544,6044248,2,0,train
DGS,MLP-tol-0.1,0,1,65451544,5372748,2,6,train
DGS,MLP-tol-0.1,0,1,65451544,5444332,2,5,train
DGS,MLP-tol-0.1,0,1,65451544,5686668,2,4,train
DGS,MLP-tol-0.1,0,1,65451544,5686676,2,3,train
DGS,MLP-tol-0.1,0,1,65451544,5756860,2,2,train
DGS,MLP-tol-0.1,0,1,65451544,6063044,2,1,train
DGS,MLP-tol-0.1,0,1,65451544,6062364,2,0,train
DGS,MLP-tol-0.1,0,0,65451544,5432036,2,7,test
DGS,MLP-tol-0.1,0,0,65451544,5619872,2,6,train
DGS,MLP-tol-0.1,0,0,65451544,5703200,2,5,train
DGS,MLP-tol-0.1,0,0,65451544,5702420,2,4,train
DGS,MLP-tol-0.1,0,0,65451544,5701748,2,3,train
DGS,MLP-tol-0.1,0,0,65451544,5789288,2,2,train
DGS,MLP-stepSize-0.3,0,0,65451544,4485700,1,15,train
DGS,MLP-tol-1e-06,0,1,65451544,5326432,2,7,train
DGS,MLP-stepSize-0.3,0,1,65451544,5900596,1,0,train
DGS,MLP-stepSize-0.3,0,1,65451544,5700704,1,2,train
DGS,MLP-stepSize-0.003,0,2,65451544,4888784,2,13,train
DGS,MLP-stepSize-0.003,0,2,65451544,4966144,2,12,train
DGS,MLP-stepSize-0.003,0,2,65451544,5079996,2,11,train
DGS,MLP-stepSize-0.003,0,2,65451544,5196928,2,10,train
DGS,MLP-stepSize-0.003,0,2,65451544,5212236,2,9,train
DGS,MLP-stepSize-0.003,0,2,65451544,5303644,2,8,train
DGS,MLP-stepSize-0.003,0,2,65451544,5588644,2,7,train
DGS,MLP-stepSize-0.003,0,2,65451544,5752868,2,6,train
DGS,MLP-stepSize-0.003,0,2,65451544,5836556,2,5,train
DGS,MLP-stepSize-0.003,0,2,65451544,4761228,2,14,train
DGS,MLP-stepSize-0.003,0,2,65451544,5836360,2,4,train
DGS,MLP-stepSize-0.003,0,2,65451544,6019832,2,2,train
DGS,MLP-stepSize-0.003,0,2,65451544,6248400,2,1,train
DGS,MLP-stepSize-0.003,0,2,65451544,6248080,2,0,train
DGS,MLP-stepSize-0.003,0,1,65451544,4817148,2,15,test
