dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,MLP-maxIter-15,0,0,0,0,0,0,train
DGS,MLP-tol-0.01,0,1,189,797,2,5,train
DGS,MLP-tol-0.01,0,1,95,290,2,4,train
DGS,MLP-tol-0.01,0,1,3057,6337,2,3,train
DGS,MLP-tol-0.01,0,1,5056,5467,2,2,train
DGS,MLP-tol-0.01,0,1,95,290,2,1,train
DGS,MLP-tol-0.01,0,1,0,0,2,0,train
DGS,MLP-tol-0.01,0,0,467081,248542,2,12,train
DGS,MLP-tol-0.01,0,0,6124236,20330,2,11,train
DGS,MLP-tol-0.01,0,0,4965100,50127,2,10,train
DGS,MLP-tol-0.01,0,1,16507077,107907,2,6,train
DGS,MLP-tol-0.01,0,0,60549,21244,2,9,train
DGS,MLP-tol-0.01,0,0,9023773,19173,2,7,train
DGS,MLP-tol-0.01,0,0,1120859,29448,2,6,train
DGS,MLP-tol-0.01,0,0,16502704,122743,2,5,train
DGS,MLP-tol-0.01,0,0,10302,2643,2,4,train
DGS,MLP-tol-0.01,0,0,3057,6337,2,3,train
DGS,MLP-tol-0.01,0,0,4910,3675,2,2,train
DGS,MLP-tol-0.01,0,0,189,797,2,1,train
DGS,MLP-tol-0.01,0,0,0,0,2,0,train
DGS,MLP-tol-0.01,0,2,1007440,135217,1,12,test
DGS,MLP-tol-0.01,0,0,5064489,31876,2,8,train
DGS,MLP-tol-0.01,0,2,5088229,39463,1,11,train
DGS,MLP-tol-0.01,0,1,26307,2716,2,7,train
DGS,MLP-tol-0.01,0,1,6174325,40849,2,9,train
DGS,MLP-tol-0.01,0,0,36713,30032,3,3,train
DGS,MLP-tol-0.01,0,0,24238,23618,3,2,train
DGS,MLP-tol-0.01,0,0,14495,13611,3,1,train
DGS,MLP-tol-0.01,0,0,0,0,3,0,train
DGS,MLP-tol-0.01,0,2,966018,244463,2,12,test
DGS,MLP-tol-0.01,0,2,4238452,37413,2,11,train
DGS,MLP-tol-0.01,0,2,6355885,42035,2,10,train
DGS,MLP-tol-0.01,0,2,5904811,33038,2,9,train
DGS,MLP-tol-0.01,0,2,12870903,50106,2,8,train
DGS,MLP-tol-0.01,0,1,13071065,47608,2,8,train
DGS,MLP-tol-0.01,0,2,25628,1744,2,7,train
DGS,MLP-tol-0.01,0,2,95,290,2,5,train
DGS,MLP-tol-0.01,0,2,147,1575,2,4,train
DGS,MLP-tol-0.01,0,2,5161,7732,2,3,train
DGS,MLP-tol-0.01,0,2,2900,2787,2,2,train
DGS,MLP-tol-0.01,0,2,95,290,2,1,train
DGS,MLP-tol-0.01,0,2,0,0,2,0,train
DGS,MLP-tol-0.01,0,1,1438090,133122,2,12,test
DGS,MLP-tol-0.01,0,1,5058563,19730,2,11,train
DGS,MLP-tol-0.01,0,1,6164918,70415,2,10,train
DGS,MLP-tol-0.01,0,2,16507697,117410,2,6,train
DGS,MLP-tol-0.01,0,0,1764,767,3,4,train
DGS,MLP-tol-0.01,0,2,4903102,72657,1,10,train
DGS,MLP-tol-0.01,0,2,12918038,50273,1,8,train
DGS,MLP-tol-0.01,0,0,6333064,41801,1,9,train
DGS,MLP-tol-0.01,0,0,12290682,43169,1,8,train
DGS,MLP-tol-0.01,0,0,26265,2326,1,7,train
DGS,MLP-tol-0.01,0,0,16497637,125145,1,6,train
DGS,MLP-tol-0.01,0,0,241,2082,1,5,train
DGS,MLP-tol-0.01,0,0,360,290,1,4,train
DGS,MLP-tol-0.01,0,0,4791,6822,1,3,train
DGS,MLP-tol-0.01,0,0,3270,3697,1,2,train
DGS,MLP-tol-0.01,0,0,95,290,1,1,train
DGS,MLP-tol-0.01,0,0,4815130,24128,1,10,train
DGS,MLP-tol-0.01,0,0,0,0,1,0,train
DGS,MLP-tol-0.01,0,2,5348287,26924,0,11,train
DGS,MLP-tol-0.01,0,2,5013422,47176,0,10,train
DGS,MLP-tol-0.01,0,2,6198184,62669,0,9,train
DGS,MLP-tol-0.01,0,2,33232,29346,0,8,train
DGS,MLP-tol-0.01,0,2,9952360,95698,0,7,train
DGS,MLP-tol-0.01,0,2,963952,28439,0,6,train
DGS,MLP-tol-0.01,0,2,16525026,117635,0,5,train
DGS,MLP-tol-0.01,0,2,147,1574,0,4,train
DGS,MLP-tol-0.01,0,2,3151,8127,0,3,train
DGS,MLP-tol-0.01,0,2,1396278,366289,0,12,test
DGS,MLP-tol-0.01,0,2,5064231,52767,1,9,train
DGS,MLP-tol-0.01,0,0,6881936,33221,1,11,train
DGS,MLP-tol-0.01,0,1,0,0,1,0,train
DGS,MLP-tol-0.01,0,2,26123,2217,1,7,train
DGS,MLP-tol-0.01,0,2,16507021,116578,1,6,train
DGS,MLP-tol-0.01,0,2,95,290,1,5,train
DGS,MLP-tol-0.01,0,2,147,1575,1,4,train
DGS,MLP-tol-0.01,0,2,4833,7329,1,3,train
DGS,MLP-tol-0.01,0,2,3176,3190,1,2,train
DGS,MLP-tol-0.01,0,2,95,290,1,1,train
DGS,MLP-tol-0.01,0,2,0,0,1,0,train
DGS,MLP-tol-0.01,0,1,2379127,244564,1,12,test
DGS,MLP-tol-0.01,0,0,495773,479734,1,12,train
DGS,MLP-tol-0.01,0,1,3402856,74517,1,11,train
DGS,MLP-tol-0.01,0,1,5072322,54231,1,9,train
DGS,MLP-tol-0.01,0,1,11784307,37670,1,8,train
DGS,MLP-tol-0.01,0,1,26077,2209,1,7,train
DGS,MLP-tol-0.01,0,1,16499087,125405,1,6,train
DGS,MLP-tol-0.01,0,1,189,797,1,5,train
DGS,MLP-tol-0.01,0,1,95,290,1,4,train
DGS,MLP-tol-0.01,0,1,5075,7337,1,3,train
