dataset,algorithm,platformId,runId,memoryUsage,MemTotal,MemFree,node,timeIndex,phase
DGS,MLP,0,1,0.8816257107700928,65451544,7747780,2,8,train
DGS,MLP,0,1,0.9298453219071501,65451544,4591732,3,2,train
DGS,MLP,0,1,0.9253415320500308,65451544,4886512,3,1,train
DGS,MLP,0,1,0.92119171398004,65451544,5158124,3,0,train
DGS,MLP,0,0,0.963070512133373,65451544,2417092,3,15,test
DGS,MLP,0,0,0.9608411987958604,65451544,2563004,3,14,train
DGS,MLP,0,0,0.9595760185580955,65451544,2645812,3,13,train
DGS,MLP,0,0,0.9582906707288678,65451544,2729940,3,12,train
DGS,MLP,0,0,0.953431747920263,65451544,3047964,3,11,train
DGS,MLP,0,0,0.9529543871417304,65451544,3079208,3,10,train
DGS,MLP,0,0,0.952527934253163,65451544,3107120,3,9,train
DGS,MLP,0,0,0.9502629303901524,65451544,3255368,3,8,train
DGS,MLP,0,0,0.9453163091156414,65451544,3579132,3,7,train
DGS,MLP,0,0,0.9427329628770866,65451544,3748216,3,6,train
DGS,MLP,0,0,0.9406273441005456,65451544,3886032,3,5,train
DGS,MLP,0,0,0.9396619887225273,65451544,3949216,3,4,train
DGS,MLP,0,0,0.9386108905238355,65451544,4018012,3,3,train
DGS,MLP,0,0,0.9295134733567172,65451544,4613452,3,2,train
DGS,MLP,0,1,0.873017449366817,65451544,8311204,2,3,train
DGS,MLP,0,1,0.871047931275693,65451544,8440112,2,2,train
DGS,MLP,0,1,0.867269624686012,65451544,8687408,2,1,train
DGS,MLP,0,1,0.8672752471660562,65451544,8687040,2,0,train
DGS,MLP,0,0,0.8888859825827791,65451544,7272584,2,15,test
DGS,MLP,0,0,0.8888315300858296,65451544,7276148,2,14,train
DGS,MLP,0,1,0.9396197590082825,65451544,3951980,3,3,train
DGS,MLP,0,0,0.8870963838530684,65451544,7389716,2,13,train
DGS,MLP,0,0,0.883211922395597,65451544,7643960,2,11,train
DGS,MLP,0,0,0.8828574005832468,65451544,7667164,2,10,train
DGS,MLP,0,0,0.882380956513417,65451544,7698348,2,9,train
DGS,MLP,0,0,0.8821963313806623,65451544,7710432,2,8,train
DGS,MLP,0,0,0.9209374800997819,65451544,5174764,3,0,train
DGS,MLP,0,0,0.9251225608978758,65451544,4900844,3,1,train
DGS,MLP,0,0,0.8859874107782698,65451544,7462300,2,12,train
DGS,MLP,0,1,0.8730149436963626,65451544,8311368,2,4,train
DGS,MLP,0,1,0.9404132620614726,65451544,3900044,3,4,train
DGS,MLP,0,1,0.9428370398718172,65451544,3741404,3,6,train
DGS,MLP,0,0,0.8669748111671743,65451544,8706704,2,1,train
DGS,MLP,0,0,0.8711865376315645,65451544,8431040,2,2,train
DGS,MLP,0,0,0.8727860720902169,65451544,8326348,2,3,train
DGS,MLP,0,0,0.8727770883449288,65451544,8326936,2,4,train
DGS,MLP,0,0,0.8764852361618849,65451544,8084232,2,5,train
DGS,MLP,0,0,0.8776242772821371,65451544,8009680,2,6,train
DGS,MLP,0,0,0.8807435925422936,65451544,7805516,2,7,train
DGS,MLP,0,2,0.9632723102758278,65451544,2403884,3,14,train
DGS,MLP,0,2,0.9631528325748893,65451544,2411704,3,13,train
DGS,MLP,0,2,0.9629836692622561,65451544,2422776,3,12,train
DGS,MLP,0,2,0.9566556290864582,65451544,2836956,3,11,train
DGS,MLP,0,2,0.953282813313006,65451544,3057712,3,10,train
DGS,MLP,0,2,0.9521218322977988,65451544,3133700,3,9,train
DGS,MLP,0,2,0.950401658973851,65451544,3246288,3,8,train
DGS,MLP,0,2,0.9465688998872204,65451544,3497148,3,7,train
DGS,MLP,0,2,0.9428561074128365,65451544,3740156,3,6,train
DGS,MLP,0,2,0.9411004269051315,65451544,3855068,3,5,train
DGS,MLP,0,1,0.9460020683392892,65451544,3534248,3,7,train
DGS,MLP,0,1,0.9519049390187037,65451544,3147896,3,8,train
DGS,MLP,0,1,0.9534307700976465,65451544,3048028,3,9,train
DGS,MLP,0,1,0.9538783684002932,65451544,3018732,3,10,train
DGS,MLP,0,1,0.9544545503769934,65451544,2981020,3,11,train
DGS,MLP,0,1,0.9591800615123762,65451544,2671728,3,12,train
DGS,MLP,0,1,0.94098107143202,65451544,3862880,3,5,train
DGS,MLP,0,1,0.9602261483701592,65451544,2603260,3,13,train
DGS,MLP,0,1,0.9630144095607585,65451544,2420764,3,15,test
DGS,MLP,0,2,0.9214406920637349,65451544,5141828,3,0,train
DGS,MLP,0,2,0.9256172169139356,65451544,4868468,3,1,train
DGS,MLP,0,2,0.9300992502178406,65451544,4575112,3,2,train
DGS,MLP,0,2,0.9390430881202741,65451544,3989724,3,3,train
DGS,MLP,0,2,0.9401912963275549,65451544,3914572,3,4,train
DGS,MLP,0,1,0.962865536067415,65451544,2430508,3,14,train
DGS,MLP,0,1,0.8730003374710305,65451544,8312324,2,5,train
DGS,MLP,0,1,0.8764066436690936,65451544,8089376,2,6,train
DGS,MLP,0,1,0.8777021364079661,65451544,8004584,2,7,train
DGS,MLP,0,2,0.8717693747676526,65451572,8392896,0,0,train
DGS,MLP,0,1,0.8887487683259923,65451572,7281568,0,15,test
DGS,MLP,0,1,0.8878909126888503,65451572,7337716,0,14,train
DGS,MLP,0,1,0.8877987529466824,65451572,7343748,0,13,train
DGS,MLP,0,1,0.8877340333399479,65451572,7347984,0,12,train
DGS,MLP,0,1,0.8874148966200537,65451572,7368872,0,11,train
DGS,MLP,0,1,0.8854970206063194,65451572,7494400,0,10,train
DGS,MLP,0,1,0.8838989535652406,65451572,7598996,0,9,train
DGS,MLP,0,1,0.8837787425487657,65451572,7606864,0,8,train
DGS,MLP,0,1,0.882899802620478,65451572,7664392,0,7,train
DGS,MLP,0,1,0.8815935543916348,65451572,7749888,0,6,train
DGS,MLP,0,1,0.880183901465346,65451572,7842152,0,5,train
DGS,MLP,0,1,0.8764667103793932,65451572,8085448,0,4,train
DGS,MLP,0,1,0.8765151736920849,65451572,8082276,0,3,train
DGS,MLP,0,1,0.8747376762776606,65451572,8198616,0,2,train
DGS,MLP,0,1,0.8715416033093903,65451572,8407804,0,1,train
DGS,MLP,0,1,0.871541542195503,65451572,8407808,0,0,train
DGS,MLP,0,0,0.8747662164630667,65451572,8196748,0,2,train
DGS,MLP,0,0,0.876208504205216,65451572,8102348,0,3,train
DGS,MLP,0,0,0.8761775194643148,65451572,8104376,0,4,train
DGS,MLP,0,0,0.8761686579506448,65451572,8104956,0,5,train
DGS,MLP,0,0,0.8777386126035293,65451572,8002200,0,6,train
DGS,MLP,0,0,0.880969092690394,65451572,7790760,0,7,train
DGS,MLP,0,2,0.8717581298123749,65451572,8393632,0,1,train
DGS,MLP,0,0,0.8850969079856478,65451572,7520588,0,8,train
DGS,MLP,0,0,0.885835713770175,65451572,7472232,0,10,train
DGS,MLP,0,0,0.8863226081109251,65451572,7440364,0,11,train
DGS,MLP,0,0,0.8906973846250782,65451572,7154028,0,12,train
DGS,MLP,0,0,0.890754403882003,65451572,7150296,0,13,train
DGS,MLP,0,0,0.890809834177856,65451572,7146668,0,14,train
DGS,MLP,0,0,0.890852063874035,65451572,7143904,0,15,test
DGS,MLP,0,0,0.8855144380642225,65451572,7493260,0,9,train
DGS,MLP,0,2,0.8748656487578328,65451572,8190240,0,2,train
DGS,MLP,0,2,0.8767396450004287,65451572,8067584,0,3,train
DGS,MLP,0,2,0.8767269944257412,65451572,8068412,0,4,train
DGS,MLP,0,2,0.8747807691137126,65451544,8195792,2,6,train
DGS,MLP,0,2,0.8732717443609886,65451544,8294560,2,5,train
DGS,MLP,0,2,0.8732718665888157,65451544,8294552,2,4,train
DGS,MLP,0,2,0.873284150485434,65451544,8293748,2,3,train
DGS,MLP,0,2,0.87131463239431,65451544,8422656,2,2,train
DGS,MLP,0,2,0.8675115746696518,65451544,8671572,2,1,train
DGS,MLP,0,2,0.877491782317618,65451544,8018352,2,7,train
DGS,MLP,0,2,0.8675143247957604,65451544,8671392,2,0,train
DGS,MLP,0,1,0.8895009107806532,65451544,7232336,2,14,train
DGS,MLP,0,1,0.8894540975228942,65451544,7235400,2,13,train
DGS,MLP,0,1,0.8893951837102575,65451544,7239256,2,12,train
DGS,MLP,0,1,0.8864411204722688,65451544,7432604,2,11,train
DGS,MLP,0,1,0.8826496132772667,65451544,7680764,2,10,train
DGS,MLP,0,1,0.8823906125117538,65451544,7697716,2,9,train
DGS,MLP,0,1,0.8895337900661289,65451544,7230184,2,15,test
DGS,MLP,0,0,0.8669787835715533,65451544,8706444,2,0,train
DGS,MLP,0,2,0.8819862828598818,65451544,7724180,2,8,train
DGS,MLP,0,2,0.8826293234579768,65451544,7682092,2,10,train
DGS,MLP,0,2,0.8767117159538964,65451572,8069412,0,5,train
