dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,MLP,0,1,12189074,39957,2,8,train
DGS,MLP,0,1,23732,23576,3,2,train
DGS,MLP,0,1,15256,14789,3,1,train
DGS,MLP,0,1,0,0,3,0,train
DGS,MLP,0,0,5731759,5059907,3,15,test
DGS,MLP,0,0,5499483,5378899,3,14,train
DGS,MLP,0,0,3552722,2872045,3,13,train
DGS,MLP,0,0,6816901,24896098,3,12,train
DGS,MLP,0,0,3924208,12878895,3,11,train
DGS,MLP,0,0,2735519,10504177,3,10,train
DGS,MLP,0,0,10368385,27736704,3,9,train
DGS,MLP,0,0,10012287,34741056,3,8,train
DGS,MLP,0,0,93822,15662514,3,7,train
DGS,MLP,0,0,16612829,44905648,3,6,train
DGS,MLP,0,0,125070,16380757,3,5,train
DGS,MLP,0,0,2649,1652,3,4,train
DGS,MLP,0,0,37301,30620,3,3,train
DGS,MLP,0,0,24238,23670,3,2,train
DGS,MLP,0,1,4911,6926,2,3,train
DGS,MLP,0,1,3160,4371,2,2,train
DGS,MLP,0,1,189,797,2,1,train
DGS,MLP,0,1,0,0,2,0,train
DGS,MLP,0,0,1391331,1064693,2,15,test
DGS,MLP,0,0,1087076,1056277,2,14,train
DGS,MLP,0,1,39744,29772,3,3,train
DGS,MLP,0,0,1084207,834795,2,13,train
DGS,MLP,0,0,4129950,37995,2,11,train
DGS,MLP,0,0,5013737,22324,2,10,train
DGS,MLP,0,0,6684708,41194,2,9,train
DGS,MLP,0,0,33438,30620,2,8,train
DGS,MLP,0,0,0,0,3,0,train
DGS,MLP,0,0,19895,18907,3,1,train
DGS,MLP,0,0,1238339,135782,2,12,train
DGS,MLP,0,1,189,797,2,4,train
DGS,MLP,0,1,2635,2003,3,4,train
DGS,MLP,0,1,16660373,49378045,3,6,train
DGS,MLP,0,0,95,290,2,1,train
DGS,MLP,0,0,4962,3675,2,2,train
DGS,MLP,0,0,3151,6844,2,3,train
DGS,MLP,0,0,9989,2136,2,4,train
DGS,MLP,0,0,16512891,123070,2,5,train
DGS,MLP,0,0,1378121,29758,2,6,train
DGS,MLP,0,0,10008341,68772,2,7,train
DGS,MLP,0,2,5988131,6351429,3,14,train
DGS,MLP,0,2,5935763,6083387,3,13,train
DGS,MLP,0,2,3721189,8674108,3,12,train
DGS,MLP,0,2,4835500,16488469,3,11,train
DGS,MLP,0,2,7213768,23543557,3,10,train
DGS,MLP,0,2,11165295,26206291,3,9,train
DGS,MLP,0,2,13780477,37213599,3,8,train
DGS,MLP,0,2,102675,15168490,3,7,train
DGS,MLP,0,2,16638678,44126632,3,6,train
