transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
547.0,128.0,10162.0,2776.0,11115.0,23.405687925309273,547.8262272569682,8.694025875294587,0.9815579484326116,0,DGS,RFR-maxDepth-15,regression,0,,,,,
555.0,128.0,10345.0,2776.0,11115.0,23.405687925309273,547.8262272569682,8.694025875294587,0.9815579484326116,1,DGS,RFR-maxDepth-15,regression,0,,,,,
560.0,128.0,10139.0,2776.0,11115.0,23.405687925309273,547.8262272569682,8.694025875294587,0.9815579484326116,2,DGS,RFR-maxDepth-15,regression,0,,,,,
583.0,128.0,5564.0,2776.0,11115.0,55.20822919423174,3047.9485707628223,21.48110530179957,0.8973936954457106,0,DGS,RFR-maxBins-4,regression,0,,,,,
562.0,128.0,5839.0,2776.0,11115.0,55.20822919423174,3047.9485707628223,21.48110530179957,0.8973936954457106,1,DGS,RFR-maxBins-4,regression,0,,,,,
556.0,128.0,5843.0,2776.0,11115.0,55.20822919423174,3047.9485707628223,21.48110530179957,0.8973936954457106,2,DGS,RFR-maxBins-4,regression,0,,,,,
469.0,128.0,5541.0,2776.0,11115.0,26.807942397355752,718.6657755799439,13.396505763294673,0.9758067966929492,0,DGS,RFR-numTrees-10,regression,0,,,,,
543.0,128.0,5517.0,2776.0,11115.0,26.807942397355752,718.6657755799439,13.396505763294668,0.9758067966929492,1,DGS,RFR-numTrees-10,regression,0,,,,,
504.0,128.0,5607.0,2776.0,11115.0,26.807942397355752,718.6657755799439,13.396505763294673,0.9758067966929492,2,DGS,RFR-numTrees-10,regression,0,,,,,
528.0,128.0,6258.0,2776.0,11115.0,26.47462037173788,700.9055238276383,13.560038667633915,0.9764046787627904,0,DGS,RFR-maxBins-16,regression,0,,,,,
503.0,128.0,6806.0,2776.0,11115.0,26.47462037173788,700.9055238276383,13.560038667633915,0.9764046787627904,1,DGS,RFR-maxBins-16,regression,0,,,,,
523.0,128.0,6240.0,2776.0,11115.0,26.47462037173788,700.9055238276383,13.560038667633915,0.9764046787627904,2,DGS,RFR-maxBins-16,regression,0,,,,,
536.0,128.0,6226.0,2776.0,11115.0,25.826616890538308,667.0141400106387,13.261874175148845,0.9775456001297226,0,DGS,RFR-maxBins-32,regression,0,,,,,
534.0,128.0,6360.0,2776.0,11115.0,25.826616890538308,667.0141400106387,13.261874175148845,0.9775456001297226,1,DGS,RFR-maxBins-32,regression,0,,,,,
527.0,128.0,6492.0,2776.0,11115.0,25.826616890538308,667.0141400106387,13.261874175148845,0.9775456001297226,2,DGS,RFR-maxBins-32,regression,0,,,,,
554.0,128.0,7228.0,2776.0,11115.0,26.9146701816358,724.3994709862352,13.681478451701677,0.9756137772625286,0,DGS,RFR-maxBins-48,regression,0,,,,,
512.0,128.0,7510.0,2776.0,11115.0,26.9146701816358,724.3994709862352,13.681478451701677,0.9756137772625286,1,DGS,RFR-maxBins-48,regression,0,,,,,
511.0,128.0,7292.0,2776.0,11115.0,26.9146701816358,724.3994709862352,13.681478451701677,0.9756137772625286,2,DGS,RFR-maxBins-48,regression,0,,,,,
626.0,128.0,13470.0,2776.0,11115.0,25.367787582873248,643.5246468497783,12.887409915026591,0.9783363516903651,0,DGS,RFR-numTrees-100,regression,0,,,,,
618.0,128.0,13318.0,2776.0,11115.0,25.367787582873248,643.5246468497783,12.887409915026591,0.9783363516903651,1,DGS,RFR-numTrees-100,regression,0,,,,,
678.0,128.0,13131.0,2776.0,11115.0,25.367787582873248,643.5246468497783,12.887409915026591,0.9783363516903651,2,DGS,RFR-numTrees-100,regression,0,,,,,
520.0,128.0,4612.0,2776.0,11115.0,45.623333982515405,2081.4886036801445,32.197634940028294,0.929928655737772,0,DGS,RFR-maxDepth-5,regression,0,,,,,
499.0,128.0,4430.0,2776.0,11115.0,45.623333982515405,2081.4886036801445,32.197634940028294,0.929928655737772,1,DGS,RFR-maxDepth-5,regression,0,,,,,
504.0,128.0,4214.0,2776.0,11115.0,45.623333982515405,2081.4886036801445,32.19763494002828,0.929928655737772,2,DGS,RFR-maxDepth-5,regression,0,,,,,
477.0,128.0,6947.0,2776.0,11115.0,25.826616890538308,667.0141400106387,13.261874175148845,0.9775456001297226,0,DGS,RFR-maxDepth-10,regression,0,,,,,
499.0,128.0,6589.0,2776.0,11115.0,25.826616890538308,667.0141400106387,13.261874175148845,0.9775456001297226,1,DGS,RFR-maxDepth-10,regression,0,,,,,
497.0,128.0,6584.0,2776.0,11115.0,25.826616890538308,667.0141400106387,13.261874175148845,0.9775456001297226,2,DGS,RFR-maxDepth-10,regression,0,,,,,
766.0,128.0,17015.0,2776.0,11115.0,25.227217195384124,636.4124874230843,12.930373631059648,0.9785757758076794,0,DGS,RFR-numTrees-150,regression,0,,,,,
717.0,128.0,17005.0,2776.0,11115.0,25.227217195384124,636.4124874230845,12.930373631059645,0.9785757758076794,1,DGS,RFR-numTrees-150,regression,0,,,,,
664.0,128.0,16687.0,2776.0,11115.0,25.22721719538412,636.4124874230843,12.930373631059648,0.9785757758076794,2,DGS,RFR-numTrees-150,regression,0,,,,,
650.0,128.0,8890.0,2776.0,11115.0,25.29403904558589,639.7884112396233,13.105909471738455,0.9784621285268182,0,DGS,RFR-numTrees-50,regression,0,,,,,
