dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DGS,RFR-maxBins-16,0,0,850.3,train,RFR,maxBins,16
DGS,RFR-maxBins-16,0,1,811.4799999999998,train,RFR,maxBins,16
DGS,RFR-maxBins-16,0,2,792.11,train,RFR,maxBins,16
DGS,RFR-maxBins-16,0,2,145.97,test,RFR,maxBins,16
DGS,RFR-maxBins-32,0,0,830.735,train,RFR,maxBins,32
DGS,RFR-maxBins-32,0,1,771.615,train,RFR,maxBins,32
DGS,RFR-maxBins-32,0,2,839.4199999999997,train,RFR,maxBins,32
DGS,RFR-maxBins-32,0,1,189.52,test,RFR,maxBins,32
DGS,RFR-maxBins-4,0,0,636.9200000000002,train,RFR,maxBins,4
DGS,RFR-maxBins-4,0,1,656.77,train,RFR,maxBins,4
DGS,RFR-maxBins-4,0,2,862.8199999999998,train,RFR,maxBins,4
DGS,RFR-maxBins-4,0,0,195.5,test,RFR,maxBins,4
DGS,RFR-maxBins-4,0,1,190.94,test,RFR,maxBins,4
DGS,RFR-maxBins-48,0,0,920.48,train,RFR,maxBins,48
DGS,RFR-maxBins-48,0,1,943.93,train,RFR,maxBins,48
DGS,RFR-maxBins-48,0,2,966.925,train,RFR,maxBins,48
DGS,RFR-maxBins-48,0,0,148.01,test,RFR,maxBins,48
DGS,RFR-maxDepth-10,0,0,958.46,train,RFR,maxDepth,10
DGS,RFR-maxDepth-10,0,1,361.58,train,RFR,maxDepth,10
DGS,RFR-maxDepth-10,0,2,206.315,train,RFR,maxDepth,10
DGS,RFR-maxDepth-10,0,1,47.575,test,RFR,maxDepth,10
DGS,RFR-maxDepth-10,0,2,84.59,test,RFR,maxDepth,10
DGS,RFR-maxDepth-15,0,0,1473.8349999999996,train,RFR,maxDepth,15
DGS,RFR-maxDepth-15,0,1,1471.475,train,RFR,maxDepth,15
DGS,RFR-maxDepth-15,0,2,1504.13,train,RFR,maxDepth,15
DGS,RFR-maxDepth-15,0,1,202.35,test,RFR,maxDepth,15
DGS,RFR-maxDepth-20,0,0,1931.55,train,RFR,maxDepth,20
DGS,RFR-maxDepth-20,0,1,2083.5,train,RFR,maxDepth,20
DGS,RFR-maxDepth-20,0,2,2162.75,train,RFR,maxDepth,20
DGS,RFR-maxDepth-20,0,0,179.735,test,RFR,maxDepth,20
DGS,RFR-maxDepth-5,0,0,495.755,train,RFR,maxDepth,5
DGS,RFR-maxDepth-5,0,1,478.35,train,RFR,maxDepth,5
DGS,RFR-maxDepth-5,0,2,460.75,train,RFR,maxDepth,5
DGS,RFR-maxDepth-5,0,1,189.915,test,RFR,maxDepth,5
DGS,RFR-numTrees-10,0,0,646.53,train,RFR,numTrees,10
DGS,RFR-numTrees-10,0,1,903.75,train,RFR,numTrees,10
DGS,RFR-numTrees-10,0,2,846.12,train,RFR,numTrees,10
DGS,RFR-numTrees-100,0,0,854.19,train,RFR,numTrees,100
DGS,RFR-numTrees-100,0,1,1005.335,train,RFR,numTrees,100
DGS,RFR-numTrees-100,0,2,2103.83,train,RFR,numTrees,100
DGS,RFR-numTrees-100,0,1,52.26000000000001,test,RFR,numTrees,100
DGS,RFR-numTrees-100,0,2,224.45,test,RFR,numTrees,100
DGS,RFR-numTrees-150,0,0,1175.0299999999995,train,RFR,numTrees,150
DGS,RFR-numTrees-150,0,1,1449.29,train,RFR,numTrees,150
DGS,RFR-numTrees-150,0,2,1076.1,train,RFR,numTrees,150
DGS,RFR-numTrees-150,0,1,99.2,test,RFR,numTrees,150
DGS,RFR-numTrees-50,0,0,558.0699999999998,train,RFR,numTrees,50
DGS,RFR-numTrees-50,0,1,922.865,train,RFR,numTrees,50
DGS,RFR-numTrees-50,0,2,1125.69,train,RFR,numTrees,50
DGS,RFR-numTrees-50,0,1,198.25,test,RFR,numTrees,50
