dataset,algorithm,platformId,runId,MemTotal,MemFree,node,timeIndex,phase
DGS,RFR-maxDepth-15,0,0,65451572,5537040,0,0,train
DGS,RFR-numTrees-150,0,2,65451572,60223860,0,10,train
DGS,RFR-numTrees-150,0,2,65451572,60323872,0,9,train
DGS,RFR-numTrees-150,0,2,65451572,60334468,0,8,train
DGS,RFR-numTrees-150,0,2,65451572,60483952,0,7,train
DGS,RFR-numTrees-150,0,2,65451572,60674852,0,6,train
DGS,RFR-numTrees-150,0,2,65451572,60786244,0,5,train
DGS,RFR-numTrees-150,0,2,65451572,60785764,0,4,train
DGS,RFR-numTrees-150,0,2,65451572,60784444,0,3,train
DGS,RFR-numTrees-150,0,2,65451572,60088840,0,11,train
DGS,RFR-numTrees-150,0,2,65451572,60846312,0,2,train
DGS,RFR-numTrees-150,0,2,65451572,61110044,0,0,train
DGS,RFR-numTrees-150,0,1,65451572,58919084,0,17,train
DGS,RFR-numTrees-150,0,1,65451572,58944580,0,16,train
DGS,RFR-numTrees-150,0,1,65451572,59144180,0,15,train
DGS,RFR-numTrees-150,0,1,65451572,59378428,0,14,train
DGS,RFR-numTrees-150,0,1,65451572,59565200,0,13,train
DGS,RFR-numTrees-150,0,1,65451572,59844560,0,12,train
DGS,RFR-numTrees-150,0,1,65451572,59839752,0,11,train
DGS,RFR-numTrees-150,0,2,65451572,61109864,0,1,train
DGS,RFR-numTrees-150,0,1,65451572,60067160,0,10,train
DGS,RFR-numTrees-150,0,2,65451572,60080696,0,12,train
DGS,RFR-numTrees-150,0,2,65451572,60007496,0,14,train
DGS,RFR-numTrees-150,0,0,65451544,59503780,1,14,train
DGS,RFR-numTrees-150,0,0,65451544,59695856,1,13,train
DGS,RFR-numTrees-150,0,0,65451544,59987708,1,12,train
DGS,RFR-numTrees-150,0,0,65451544,59990516,1,11,train
DGS,RFR-numTrees-150,0,0,65451544,60114068,1,10,train
DGS,RFR-numTrees-150,0,0,65451544,60130904,1,9,train
DGS,RFR-numTrees-150,0,0,65451544,60141176,1,8,train
DGS,RFR-numTrees-150,0,0,65451544,60500700,1,7,train
DGS,RFR-numTrees-150,0,2,65451572,60029344,0,13,train
DGS,RFR-numTrees-150,0,0,65451544,60570428,1,6,train
DGS,RFR-numTrees-150,0,0,65451544,60816328,1,4,train
DGS,RFR-numTrees-150,0,0,65451544,60814584,1,3,train
DGS,RFR-numTrees-150,0,0,65451544,60902856,1,2,train
DGS,RFR-numTrees-150,0,0,65451544,61175572,1,1,train
DGS,RFR-numTrees-150,0,0,65451544,61175348,1,0,train
DGS,RFR-numTrees-150,0,2,65451572,59504576,0,17,test
DGS,RFR-numTrees-150,0,2,65451572,59699300,0,16,train
DGS,RFR-numTrees-150,0,2,65451572,59793848,0,15,train
DGS,RFR-numTrees-150,0,0,65451544,60816380,1,5,train
DGS,RFR-numTrees-150,0,1,65451572,60082408,0,9,train
DGS,RFR-numTrees-150,0,1,65451572,60091580,0,8,train
DGS,RFR-numTrees-150,0,1,65451572,60440632,0,7,train
DGS,RFR-numTrees-150,0,0,65451572,61152060,0,1,train
DGS,RFR-numTrees-150,0,0,65451572,61152636,0,0,train
DGS,RFR-maxDepth-10,0,2,65451544,6002768,3,7,test
DGS,RFR-maxDepth-10,0,2,65451544,6199864,3,6,train
DGS,RFR-maxDepth-10,0,2,65451544,6335908,3,5,train
DGS,RFR-maxDepth-10,0,2,65451544,6395436,3,4,train
DGS,RFR-maxDepth-10,0,2,65451544,6465760,3,3,train
DGS,RFR-maxDepth-10,0,2,65451544,7047812,3,2,train
