dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,RFR-maxDepth-15,0,0,0,0,0,0,train
DGS,RFR-numTrees-150,0,2,6096297,24446,0,10,train
DGS,RFR-numTrees-150,0,2,5612705,26886,0,9,train
DGS,RFR-numTrees-150,0,2,12673345,52480,0,8,train
DGS,RFR-numTrees-150,0,2,26347,2927,0,7,train
DGS,RFR-numTrees-150,0,2,16506458,122152,0,6,train
DGS,RFR-numTrees-150,0,2,93,287,0,5,train
DGS,RFR-numTrees-150,0,2,290,2077,0,4,train
DGS,RFR-numTrees-150,0,2,3055,6334,0,3,train
DGS,RFR-numTrees-150,0,2,5053478,39057,0,11,train
DGS,RFR-numTrees-150,0,2,4958,3619,0,2,train
DGS,RFR-numTrees-150,0,2,0,0,0,0,train
DGS,RFR-numTrees-150,0,1,13112675,12111457,0,17,train
DGS,RFR-numTrees-150,0,1,18524055,6896809,0,16,train
DGS,RFR-numTrees-150,0,1,17593636,9255404,0,15,train
DGS,RFR-numTrees-150,0,1,3550348,2857459,0,14,train
DGS,RFR-numTrees-150,0,1,7364759,2266611,0,13,train
DGS,RFR-numTrees-150,0,1,7215179,2529199,0,12,train
DGS,RFR-numTrees-150,0,1,11316867,71038,0,11,train
DGS,RFR-numTrees-150,0,2,186,792,0,1,train
DGS,RFR-numTrees-150,0,1,5430379,25467,0,10,train
DGS,RFR-numTrees-150,0,2,7142589,2575776,0,12,train
DGS,RFR-numTrees-150,0,2,10319289,9586590,0,14,train
DGS,RFR-numTrees-150,0,0,4533168,8510830,1,14,train
DGS,RFR-numTrees-150,0,0,5837176,61478,1,13,train
DGS,RFR-numTrees-150,0,0,8219828,2544093,1,12,train
DGS,RFR-numTrees-150,0,0,10937037,60191,1,11,train
DGS,RFR-numTrees-150,0,0,5013248,47952,1,10,train
DGS,RFR-numTrees-150,0,0,4645830,27759,1,9,train
DGS,RFR-numTrees-150,0,0,13007717,49261,1,8,train
DGS,RFR-numTrees-150,0,0,28474,3273,1,7,train
DGS,RFR-numTrees-150,0,2,5123058,37649,0,13,train
DGS,RFR-numTrees-150,0,0,16507662,119851,1,6,train
DGS,RFR-numTrees-150,0,0,93,288,1,4,train
DGS,RFR-numTrees-150,0,0,3096,6841,1,3,train
DGS,RFR-numTrees-150,0,0,4960,3621,1,2,train
DGS,RFR-numTrees-150,0,0,93,288,1,1,train
DGS,RFR-numTrees-150,0,0,0,0,1,0,train
DGS,RFR-numTrees-150,0,2,12167559,13619829,0,17,test
DGS,RFR-numTrees-150,0,2,9780053,10388933,0,16,train
DGS,RFR-numTrees-150,0,2,13783473,5340689,0,15,train
DGS,RFR-numTrees-150,0,0,93,288,1,5,train
DGS,RFR-numTrees-150,0,1,52011,13033,0,9,train
DGS,RFR-numTrees-150,0,1,15005897,84328,0,8,train
DGS,RFR-numTrees-150,0,1,404312,31023,0,7,train
DGS,RFR-numTrees-150,0,0,186,574,0,1,train
DGS,RFR-numTrees-150,0,0,0,0,0,0,train
DGS,RFR-maxDepth-10,0,2,69632,11797706,3,7,test
DGS,RFR-maxDepth-10,0,2,16679159,49371678,3,6,train
DGS,RFR-maxDepth-10,0,2,124560,16381442,3,5,train
DGS,RFR-maxDepth-10,0,2,1861,1277,3,4,train
DGS,RFR-maxDepth-10,0,2,37122,29564,3,3,train
DGS,RFR-maxDepth-10,0,2,23784,23576,3,2,train
DGS,RFR-numTrees-150,0,0,5294,4128,0,2,train
DGS,RFR-maxDepth-10,0,2,14852,14277,3,1,train
DGS,RFR-maxDepth-10,0,1,116842,21736164,3,7,test
DGS,RFR-maxDepth-10,0,1,16595972,39295706,3,6,train
DGS,RFR-maxDepth-10,0,1,124303,16382990,3,5,train
DGS,RFR-maxDepth-10,0,1,1763,767,3,4,train
DGS,RFR-maxDepth-10,0,1,37187,29663,3,3,train
DGS,RFR-maxDepth-10,0,1,23881,24086,3,2,train
DGS,RFR-maxDepth-10,0,1,14546,13715,3,1,train
DGS,RFR-maxDepth-10,0,1,0,0,3,0,train
DGS,RFR-maxDepth-10,0,2,0,0,3,0,train
DGS,RFR-numTrees-150,0,0,2760,6330,0,3,train
DGS,RFR-numTrees-150,0,0,93,287,0,4,train
DGS,RFR-numTrees-150,0,0,93,287,0,5,train
DGS,RFR-numTrees-150,0,1,16506373,118673,0,6,train
DGS,RFR-numTrees-150,0,1,186,792,0,5,train
DGS,RFR-numTrees-150,0,1,93,287,0,4,train
DGS,RFR-numTrees-150,0,1,2437,5426,0,3,train
DGS,RFR-numTrees-150,0,1,6048,6317,0,2,train
DGS,RFR-numTrees-150,0,1,93,287,0,1,train
DGS,RFR-numTrees-150,0,1,0,0,0,0,train
DGS,RFR-numTrees-150,0,0,12792806,12127021,0,17,train
DGS,RFR-numTrees-150,0,0,9686627,9126992,0,16,train
DGS,RFR-numTrees-150,0,0,17826278,9057613,0,15,train
DGS,RFR-numTrees-150,0,0,5798357,5049216,0,14,train
DGS,RFR-numTrees-150,0,0,5127000,112743,0,13,train
DGS,RFR-numTrees-150,0,0,7266677,2486989,0,12,train
DGS,RFR-numTrees-150,0,0,5434506,26592,0,11,train
DGS,RFR-numTrees-150,0,0,6102386,20968,0,10,train
DGS,RFR-numTrees-150,0,0,6336876,37300,0,9,train
DGS,RFR-numTrees-150,0,0,10020345,57925,0,8,train
DGS,RFR-numTrees-150,0,0,28410,3272,0,7,train
DGS,RFR-numTrees-150,0,0,16506622,118450,0,6,train
DGS,RFR-numTrees-150,0,0,9771801,17161032,1,15,train
DGS,RFR-maxDepth-10,0,0,105454,15656893,3,7,test
DGS,RFR-numTrees-150,0,0,15959496,10934135,1,16,train
DGS,RFR-numTrees-150,0,1,0,0,1,0,train
DGS,RFR-numTrees-150,0,1,3373999,28940,2,9,train
DGS,RFR-numTrees-150,0,1,9559130,50819,2,8,train
DGS,RFR-numTrees-150,0,1,1575412,15494,2,7,train
DGS,RFR-numTrees-150,0,1,16388714,109343,2,6,train
DGS,RFR-numTrees-150,0,1,108555,5315,2,5,train
DGS,RFR-numTrees-150,0,1,93,288,2,4,train
DGS,RFR-numTrees-150,0,1,2489,5427,2,3,train
DGS,RFR-numTrees-150,0,1,6050,6320,2,2,train
