dataset,algorithm,platformId,runId,Energy,phase
DGS,RFR,0,2,1303.9,train
DGS,RFR,0,1,1318.8,train
DGS,RFR,0,0,1301.3000000000002,train
DGS,RFR,0,0,40.913419999999995,test
DGS,RFR,0,1,50.649300000000004,test
DGS,RFR,0,2,38.9277,test
DGS,RFR,1,0,524.7600000000001,train
DGS,RFR,1,2,36.70202,test
DGS,RFR,1,0,35.76664,test
DGS,RFR,1,1,38.76032000000001,test
DGS,RFR,1,2,977.77,train
DGS,RFR,1,1,464.72999999999996,train
DGS,RFR,2,0,680.28,train
DGS,RFR,2,1,818.0400000000002,train
DGS,RFR,2,2,35.416549999999994,test
DGS,RFR,2,2,687.55,train
DGS,RFR,2,0,46.55314,test
DGS,RFR,2,1,31.30897,test
DGS,RFR,3,0,51.67319999999999,test
DGS,RFR,3,1,45.1213,test
DGS,RFR,3,1,1046.35,train
DGS,RFR,3,0,267.76,train
DGS,RFR,3,2,857.5899999999999,train
DGS,RFR,3,2,44.900400000000005,test
DGS,RFR,4,0,825.84,train
DGS,RFR,4,2,689.54,train
DGS,RFR,4,1,835.125,train
DGS,RFR,4,1,54.546800000000005,test
DGS,RFR,4,0,43.48122,test
DGS,RFR,4,2,67.6508,test
DGS,RFR,5,1,61.553799999999995,test
DGS,RFR,5,0,60.8166,test
DGS,RFR,5,1,928.905,train
DGS,RFR,5,2,901.84,train
DGS,RFR,5,0,945.065,train
DGS,RFR,5,2,61.177600000000005,test
DGS,RFR,6,2,1058.8600000000001,train
DGS,RFR,6,1,327.06000000000006,train
DGS,RFR,6,2,47.389160000000004,test
DGS,RFR,6,1,62.24489999999999,test
DGS,RFR,6,0,55.62700000000001,test
DGS,RFR,6,0,664.8100000000001,train
DGS,RFR,7,2,1107.685,train
DGS,RFR,7,0,56.61406,test
DGS,RFR,7,1,65.1636,test
DGS,RFR,7,1,972.4200000000001,train
DGS,RFR,7,0,1224.4249999999997,train
DGS,RFR,7,2,56.4102,test
DGS,RFR,8,2,1364.015,train
DGS,RFR,8,1,1266.87,train
DGS,RFR,8,2,70.12610000000001,test
DGS,RFR,8,1,62.24400000000001,test
DGS,RFR,8,0,59.60733999999999,test
DGS,RFR,8,0,948.48,train
DGS,RFR,9,2,52.4628,test
DGS,RFR,9,0,44.3352,test
DGS,RFR,9,1,54.1957,test
DGS,RFR,9,0,1157.5,train
DGS,RFR,9,1,979.55,train
DGS,RFR,9,2,989.3500000000001,train
DGS,RFR,10,0,46.12859999999999,test
DGS,RFR,10,1,277.68500000000006,train
DGS,RFR,10,0,596.84,train
DGS,RFR,10,1,49.3584,test
DGS,RFR,10,2,52.107600000000005,test
DGS,RFR,10,2,889.04,train
DGS,RFR,11,2,46.57664,test
DGS,RFR,11,1,51.037600000000005,test
DGS,RFR,11,0,49.665,test
DGS,RFR,11,0,668.31,train
DGS,RFR,11,2,676.83,train
DGS,RFR,11,1,665.765,train
DGS,RFR,12,1,41.955099999999995,test
DGS,RFR,12,1,721.0899999999999,train
DGS,RFR,12,0,639.1949999999999,train
DGS,RFR,12,2,47.8353,test
DGS,RFR,12,2,636.665,train
DGS,RFR,12,0,48.4185,test
