dataset,algorithm,platformId,runId,NetIn,NetOut,node,timeIndex,phase
DGS,RFR,0,1,376,290,2,5,train
DGS,RFR,0,1,141,289,0,4,train
DGS,RFR,0,1,522,2080,0,5,train
DGS,RFR,0,1,16507415,117360,0,6,train
DGS,RFR,0,2,0,0,0,0,train
DGS,RFR,0,2,95,289,0,1,train
DGS,RFR,0,2,3268,3694,0,2,train
DGS,RFR,0,2,4791,6821,0,3,train
DGS,RFR,0,2,412,1574,0,4,train
DGS,RFR,0,2,16524493,127382,0,5,train
DGS,RFR,0,2,16497956,118113,2,6,train
DGS,RFR,0,2,199,1575,2,5,train
DGS,RFR,0,2,360,290,2,4,train
DGS,RFR,0,2,3151,6948,2,3,train
DGS,RFR,0,2,4910,3571,2,2,train
DGS,RFR,0,2,95,290,2,1,train
DGS,RFR,0,2,0,0,2,0,train
DGS,RFR,0,1,16506115,118713,2,6,train
DGS,RFR,0,1,235,797,2,4,train
DGS,RFR,0,1,4911,6926,2,3,train
DGS,RFR,0,1,3056,3086,2,2,train
DGS,RFR,0,1,189,797,2,1,train
DGS,RFR,0,1,0,0,2,0,train
DGS,RFR,0,0,16508596,114459,2,6,train
DGS,RFR,0,0,189,797,2,5,train
DGS,RFR,0,0,95,290,2,4,train
DGS,RFR,0,0,3057,6337,2,3,train
DGS,RFR,0,0,5056,4182,2,2,train
DGS,RFR,0,1,3057,6336,0,3,train
DGS,RFR,0,1,5002,4127,0,2,train
DGS,RFR,0,1,95,289,0,1,train
DGS,RFR,0,1,0,0,0,0,train
DGS,RFR,0,2,16633845,46821695,3,6,train
DGS,RFR,0,2,297712,16553246,3,5,train
DGS,RFR,0,2,1988,991,3,4,train
DGS,RFR,0,2,36722,29989,3,3,train
DGS,RFR,0,2,24238,23670,3,2,train
DGS,RFR,0,2,14547,13611,3,1,train
DGS,RFR,0,2,0,0,3,0,train
DGS,RFR,0,1,477611,49311564,3,6,train
DGS,RFR,0,1,16422994,16420437,3,5,train
DGS,RFR,0,1,2649,1652,3,4,train
DGS,RFR,0,1,37703,30558,3,3,train
DGS,RFR,0,1,23680,23576,3,2,train
DGS,RFR,0,1,14495,13715,3,1,train
DGS,RFR,0,0,95,290,2,1,train
DGS,RFR,0,1,0,0,3,0,train
DGS,RFR,0,0,123218,16381754,3,5,train
DGS,RFR,0,0,1861,1277,3,4,train
DGS,RFR,0,0,37122,29564,3,3,train
DGS,RFR,0,0,23732,23576,3,2,train
DGS,RFR,0,0,14644,14225,3,1,train
DGS,RFR,0,0,0,0,3,0,train
DGS,RFR,0,0,0,0,0,0,train
DGS,RFR,0,0,95,289,0,1,train
DGS,RFR,0,0,4908,3673,0,2,train
DGS,RFR,0,0,3099,6842,0,3,train
DGS,RFR,0,0,95,289,0,4,train
