transformTime,features,fitTime,testCount,trainCount,rmse,mse,mae,r2,runId,dataset,algorithm,family,platformId,f1,accuracy,weightedPrecision,weightedRecall,silhouette
13979.0,27.0,1632507.0,11000000.0,11000000.0,,,,,0,DHG,BKM-maxIter-50,clustering,0,,,,,0.36811787908337584
13980.0,27.0,1617035.0,11000000.0,11000000.0,,,,,1,DHG,BKM-maxIter-50,clustering,0,,,,,0.36811787908337584
13967.0,27.0,1670850.0,11000000.0,11000000.0,,,,,2,DHG,BKM-maxIter-50,clustering,0,,,,,0.36811787908337584
13965.0,27.0,243040.0,11000000.0,11000000.0,,,,,0,DHG,BKM-maxIter-5,clustering,0,,,,,0.3516877868218286
14042.0,27.0,239561.0,11000000.0,11000000.0,,,,,1,DHG,BKM-maxIter-5,clustering,0,,,,,0.3515772671875521
14015.0,27.0,238739.0,11000000.0,11000000.0,,,,,2,DHG,BKM-maxIter-5,clustering,0,,,,,0.3517037192937253
14024.0,27.0,404490.0,11000000.0,11000000.0,,,,,0,DHG,BKM-maxIter-10,clustering,0,,,,,0.3645530992106985
14057.0,27.0,407706.0,11000000.0,11000000.0,,,,,1,DHG,BKM-maxIter-10,clustering,0,,,,,0.3645516556343092
14005.0,27.0,396705.0,11000000.0,11000000.0,,,,,2,DHG,BKM-maxIter-10,clustering,0,,,,,0.3647088326760519
14008.0,27.0,711304.0,11000000.0,11000000.0,,,,,0,DHG,BKM-maxIter-20,clustering,0,,,,,0.3679633097619269
13978.0,27.0,694760.0,11000000.0,11000000.0,,,,,1,DHG,BKM-maxIter-20,clustering,0,,,,,0.3679659943741662
13996.0,27.0,712519.0,11000000.0,11000000.0,,,,,2,DHG,BKM-maxIter-20,clustering,0,,,,,0.36797083476863895
14003.0,27.0,549314.0,11000000.0,11000000.0,,,,,0,DHG,BKM-maxIter-15,clustering,0,,,,,0.3673733994322384
13987.0,27.0,541118.0,11000000.0,11000000.0,,,,,1,DHG,BKM-maxIter-15,clustering,0,,,,,0.3673908634871009
13956.0,27.0,550113.0,11000000.0,11000000.0,,,,,2,DHG,BKM-maxIter-15,clustering,0,,,,,0.36739475384800496
13976.0,27.0,3182519.0,11000000.0,11000000.0,,,,,0,DHG,BKM-maxIter-100,clustering,0,,,,,0.36811603494783335
13993.0,27.0,3201057.0,11000000.0,11000000.0,,,,,1,DHG,BKM-maxIter-100,clustering,0,,,,,0.36811787908337584
13979.0,27.0,3251127.0,11000000.0,11000000.0,,,,,2,DHG,BKM-maxIter-100,clustering,0,,,,,0.3681178790833758
