dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,BKM-maxIter-10,0,0,46817.47,train,BKM,maxIter,10
DHG,BKM-maxIter-10,0,1,46822.33,train,BKM,maxIter,10
DHG,BKM-maxIter-10,0,2,42201.87,train,BKM,maxIter,10
DHG,BKM-maxIter-10,0,0,1699.27,test,BKM,maxIter,10
DHG,BKM-maxIter-10,0,1,1709.9299999999996,test,BKM,maxIter,10
DHG,BKM-maxIter-10,0,2,1664.52,test,BKM,maxIter,10
DHG,BKM-maxIter-100,0,0,364223.745,train,BKM,maxIter,100
DHG,BKM-maxIter-100,0,1,365589.31,train,BKM,maxIter,100
DHG,BKM-maxIter-100,0,2,365238.59,train,BKM,maxIter,100
DHG,BKM-maxIter-100,0,0,1654.56,test,BKM,maxIter,100
DHG,BKM-maxIter-100,0,1,1692.6,test,BKM,maxIter,100
DHG,BKM-maxIter-100,0,2,1694.87,test,BKM,maxIter,100
DHG,BKM-maxIter-15,0,0,60737.53999999999,train,BKM,maxIter,15
DHG,BKM-maxIter-15,0,1,59459.005,train,BKM,maxIter,15
DHG,BKM-maxIter-15,0,2,60032.345,train,BKM,maxIter,15
DHG,BKM-maxIter-15,0,0,1582.71,test,BKM,maxIter,15
DHG,BKM-maxIter-15,0,1,875.4800000000001,test,BKM,maxIter,15
DHG,BKM-maxIter-15,0,2,1441.58,test,BKM,maxIter,15
DHG,BKM-maxIter-20,0,0,79022.08,train,BKM,maxIter,20
DHG,BKM-maxIter-20,0,1,80831.02,train,BKM,maxIter,20
DHG,BKM-maxIter-20,0,2,79123.31,train,BKM,maxIter,20
DHG,BKM-maxIter-20,0,0,1400.67,test,BKM,maxIter,20
DHG,BKM-maxIter-20,0,1,1603.99,test,BKM,maxIter,20
DHG,BKM-maxIter-20,0,2,1512.2249999999995,test,BKM,maxIter,20
DHG,BKM-maxIter-5,0,0,28404.405,train,BKM,maxIter,5
DHG,BKM-maxIter-5,0,1,27859.735,train,BKM,maxIter,5
DHG,BKM-maxIter-5,0,2,27431.755000000005,train,BKM,maxIter,5
DHG,BKM-maxIter-5,0,0,1449.0,test,BKM,maxIter,5
DHG,BKM-maxIter-5,0,1,1546.1799999999996,test,BKM,maxIter,5
DHG,BKM-maxIter-5,0,2,1722.85,test,BKM,maxIter,5
DHG,BKM-maxIter-50,0,0,187742.42,train,BKM,maxIter,50
DHG,BKM-maxIter-50,0,1,182417.025,train,BKM,maxIter,50
DHG,BKM-maxIter-50,0,2,188831.36,train,BKM,maxIter,50
DHG,BKM-maxIter-50,0,0,1498.9699999999998,test,BKM,maxIter,50
DHG,BKM-maxIter-50,0,1,1644.31,test,BKM,maxIter,50
DHG,BKM-maxIter-50,0,2,1704.1999999999996,test,BKM,maxIter,50
