dataset,algorithm,platformId,runId,Energy,phase
DHG,BKM,0,0,1486.9,test
DHG,BKM,0,2,124356.42499999999,train
DHG,BKM,0,1,129520.04000000002,train
DHG,BKM,0,0,123293.44,train
DHG,BKM,0,1,1473.9099999999999,test
DHG,BKM,0,2,1533.0700000000002,test
DHG,BKM,1,1,6724.8099999999995,test
DHG,BKM,1,0,4954.955,test
DHG,BKM,1,2,7632.390000000002,test
DHG,BKM,1,1,144534.905,train
DHG,BKM,1,0,107572.5,train
DHG,BKM,1,2,173625.31,train
DHG,BKM,2,1,46363.205,train
DHG,BKM,2,2,50652.560000000005,train
DHG,BKM,2,0,50719.01000000001,train
DHG,BKM,2,0,424.06500000000005,test
DHG,BKM,2,1,657.6950000000003,test
DHG,BKM,2,2,293.40999999999997,test
DHG,BKM,3,2,658.7650000000001,test
DHG,BKM,3,0,85511.92499999999,train
DHG,BKM,3,1,1108.6550000000002,test
DHG,BKM,3,2,50923.200000000004,train
DHG,BKM,3,1,82915.75,train
DHG,BKM,3,0,1008.45,test
DHG,BKM,4,1,1482.6800000000003,test
DHG,BKM,4,0,1485.01,test
DHG,BKM,4,2,1250.71,test
DHG,BKM,4,1,85294.295,train
DHG,BKM,4,0,88346.65500000001,train
DHG,BKM,4,2,87506.01,train
DHG,BKM,5,2,2106.75,test
DHG,BKM,5,0,2026.3300000000004,test
DHG,BKM,5,1,2176.855,test
DHG,BKM,5,0,93873.925,train
DHG,BKM,5,1,94852.53,train
DHG,BKM,5,2,97959.31,train
DHG,BKM,6,1,2056.9300000000003,test
DHG,BKM,6,0,76230.67,train
DHG,BKM,6,2,2027.1549999999997,test
DHG,BKM,6,0,1656.6800000000003,test
DHG,BKM,6,1,75328.82,train
DHG,BKM,6,2,76329.405,train
DHG,BKM,7,1,2605.51,test
DHG,BKM,7,0,2353.955,test
DHG,BKM,7,0,77814.68,train
DHG,BKM,7,1,77380.13,train
DHG,BKM,7,2,73821.54000000001,train
DHG,BKM,7,2,2712.5299999999997,test
DHG,BKM,8,0,72151.575,train
DHG,BKM,8,2,68700.76000000001,train
DHG,BKM,8,1,71259.63500000001,train
DHG,BKM,8,0,3299.45,test
DHG,BKM,8,2,3021.5,test
DHG,BKM,8,1,2897.92,test
DHG,BKM,9,0,1410.0,test
DHG,BKM,9,2,1239.3000000000002,test
DHG,BKM,9,1,115133.94999999998,train
DHG,BKM,9,0,107491.98000000001,train
DHG,BKM,9,2,115446.61,train
DHG,BKM,9,1,1393.8,test
DHG,BKM,10,0,1423.8000000000002,test
DHG,BKM,10,1,1142.945,test
DHG,BKM,10,2,1367.8500000000004,test
DHG,BKM,10,2,100137.61,train
DHG,BKM,10,1,98149.89000000001,train
DHG,BKM,10,0,98739.45999999999,train
DHG,BKM,11,0,97083.77000000002,train
DHG,BKM,11,0,1184.0800000000004,test
DHG,BKM,11,1,978.675,test
DHG,BKM,11,2,889.0,test
DHG,BKM,11,1,96798.155,train
DHG,BKM,11,2,92940.78,train
DHG,BKM,12,1,75379.42,train
DHG,BKM,12,2,1668.1,test
DHG,BKM,12,1,977.31,test
DHG,BKM,12,0,1067.0,test
DHG,BKM,12,2,73136.09,train
DHG,BKM,12,0,76377.55,train
DHG,BKM,13,0,2130.25,test
DHG,BKM,13,2,2153.5000000000005,test
DHG,BKM,13,1,1788.0,test
DHG,BKM,13,0,82324.725,train
DHG,BKM,13,2,85901.98000000001,train
DHG,BKM,13,1,82105.95000000001,train
DHG,BKM,14,0,92281.4,train
DHG,BKM,14,1,89315.04999999999,train
DHG,BKM,14,0,2430.3999999999996,test
DHG,BKM,14,2,956.5400000000001,test
DHG,BKM,14,2,93575.02,train
DHG,BKM,14,1,2491.6499999999996,test
DHG,BKM,15,2,2385.545,test
DHG,BKM,15,0,77301.51500000001,train
DHG,BKM,15,1,77062.16,train
DHG,BKM,15,2,70750.86000000002,train
DHG,BKM,15,0,1067.0,test
DHG,BKM,16,1,2107.88,test
DHG,BKM,16,2,2262.7400000000002,test
DHG,BKM,16,0,1892.25,test
DHG,BKM,16,0,65568.89,train
DHG,BKM,16,2,54336.200000000004,train
DHG,BKM,16,1,55135.869999999995,train
DHG,BKM,17,1,125240.09999999999,train
DHG,BKM,17,2,648.95,test
DHG,BKM,17,1,980.9849999999999,test
DHG,BKM,17,2,124412.84000000001,train
DHG,BKM,17,0,123779.61,train
DHG,BKM,17,0,1524.1200000000003,test
DHG,BKM,18,0,123785.73000000001,train
DHG,BKM,18,1,123449.93,train
DHG,BKM,18,2,123223.44,train
DHG,BKM,18,2,1321.335,test
DHG,BKM,18,1,1269.15,test
DHG,BKM,18,0,666.245,test
DHG,BKM,19,0,123310.73000000001,train
DHG,BKM,19,1,124877.51000000001,train
DHG,BKM,19,2,123883.4,train
DHG,BKM,19,1,768.7449999999999,test
DHG,BKM,19,2,704.7250000000001,test
DHG,BKM,19,0,1282.47,test
DHG,BKM,20,2,1381.9,test
DHG,BKM,20,1,1557.4049999999997,test
DHG,BKM,20,2,117647.59,train
DHG,BKM,20,1,119351.32,train
DHG,BKM,20,0,118869.81000000001,train
DHG,BKM,20,0,1428.9299999999998,test
DHG,BKM,21,1,1580.06,test
DHG,BKM,21,0,1603.3000000000004,test
DHG,BKM,21,0,121784.565,train
DHG,BKM,21,2,1493.56,test
DHG,BKM,21,1,120666.965,train
DHG,BKM,21,2,124972.78,train
DHG,BKM,22,2,1578.0,test
DHG,BKM,22,1,122227.225,train
DHG,BKM,22,0,127888.32,train
DHG,BKM,22,2,128430.79,train
DHG,BKM,22,1,1540.96,test
DHG,BKM,22,0,1606.75,test
DHG,BKM,23,0,124234.86,train
DHG,BKM,23,0,1558.175,test
DHG,BKM,23,1,119411.44000000002,train
DHG,BKM,23,2,126370.11000000002,train
DHG,BKM,23,1,1573.27,test
DHG,BKM,23,2,1436.5300000000002,test
DHG,BKM,24,1,1490.05,test
DHG,BKM,24,0,1337.94,test
DHG,BKM,24,0,120513.6,train
DHG,BKM,24,1,121293.48000000001,train
DHG,BKM,24,2,127601.72499999999,train
DHG,BKM,24,2,1568.0349999999999,test
DHG,BKM,25,2,124375.73,train
DHG,BKM,25,2,1595.1,test
DHG,BKM,25,0,121664.84499999999,train
DHG,BKM,25,1,1583.3200000000002,test
DHG,BKM,25,0,1317.3999999999996,test
DHG,BKM,25,1,125401.655,train
DHG,BKM,26,2,1570.2399999999998,test
DHG,BKM,26,0,123323.3,train
DHG,BKM,26,1,123748.19499999999,train
DHG,BKM,26,0,1368.6499999999999,test
DHG,BKM,26,2,124169.815,train
DHG,BKM,26,1,1390.44,test
DHG,BKM,27,2,121373.93000000001,train
DHG,BKM,27,2,1413.48,test
DHG,BKM,27,1,128147.11499999999,train
DHG,BKM,27,0,123794.705,train
DHG,BKM,27,1,1458.5399999999995,test
DHG,BKM,27,0,1580.25,test
DHG,BKM,28,1,124932.49,train
DHG,BKM,28,0,127129.445,train
DHG,BKM,28,2,1567.8900000000003,test
DHG,BKM,28,1,1532.5,test
DHG,BKM,28,0,1485.4900000000002,test
DHG,BKM,28,2,122400.36,train
DHG,BKM,29,2,120036.82500000001,train
DHG,BKM,29,1,118894.43000000001,train
DHG,BKM,29,0,1548.0199999999995,test
DHG,BKM,29,0,125356.16,train
DHG,BKM,29,1,1585.6000000000004,test
DHG,BKM,29,2,1550.25,test
DHG,BKM,30,2,125483.67000000001,train
DHG,BKM,30,1,128094.22,train
DHG,BKM,30,0,120083.06999999998,train
DHG,BKM,30,0,1382.2450000000003,test
DHG,BKM,30,1,1463.0349999999999,test
DHG,BKM,30,2,1544.7,test
DHG,BKM,31,1,1410.92,test
DHG,BKM,31,2,125363.63,train
DHG,BKM,31,1,124162.695,train
DHG,BKM,31,0,1575.8300000000004,test
DHG,BKM,31,0,123827.10000000003,train
DHG,BKM,31,2,1466.3400000000001,test
DHG,BKM,32,1,125229.73500000002,train
DHG,BKM,32,0,125810.63500000001,train
DHG,BKM,32,0,1493.25,test
DHG,BKM,32,2,1571.95,test
DHG,BKM,32,1,1498.3350000000003,test
DHG,BKM,32,2,121545.93,train
DHG,BKM,33,1,125614.26999999999,train
DHG,BKM,33,2,1606.8000000000002,test
DHG,BKM,33,1,1592.1450000000002,test
DHG,BKM,33,0,121917.655,train
DHG,BKM,33,0,1591.23,test
DHG,BKM,33,2,121980.51000000001,train
DHG,BKM,34,0,1465.6200000000001,test
DHG,BKM,34,1,122872.97999999998,train
DHG,BKM,34,2,127112.135,train
DHG,BKM,34,1,1444.0800000000002,test
DHG,BKM,34,2,1574.955,test
DHG,BKM,34,0,124503.73,train
DHG,BKM,35,2,1570.77,test
DHG,BKM,35,0,1301.56,test
DHG,BKM,35,1,1584.9299999999998,test
DHG,BKM,35,0,125775.53,train
DHG,BKM,35,1,121023.13500000001,train
DHG,BKM,35,2,125587.105,train
DHG,BKM,36,0,1607.6099999999997,test
DHG,BKM,36,2,1435.525,test
DHG,BKM,36,2,129994.16500000001,train
DHG,BKM,36,1,126124.42000000001,train
DHG,BKM,36,0,123991.68,train
DHG,BKM,36,1,1483.05,test
DHG,BKM,37,0,1554.25,test
DHG,BKM,37,1,1468.79,test
DHG,BKM,37,0,119753.37000000001,train
DHG,BKM,37,2,1597.35,test
DHG,BKM,37,2,121792.12,train
DHG,BKM,37,1,124457.95000000001,train
DHG,BKM,38,0,1307.2600000000002,test
DHG,BKM,38,0,122464.31999999999,train
DHG,BKM,38,2,1474.0,test
DHG,BKM,38,1,1449.3050000000003,test
DHG,BKM,38,2,122213.825,train
DHG,BKM,38,1,124381.6,train
DHG,BKM,39,2,129015.75,train
DHG,BKM,39,1,122970.23,train
DHG,BKM,39,2,1573.87,test
DHG,BKM,39,1,1544.9,test
DHG,BKM,39,0,1535.5100000000002,test
DHG,BKM,40,2,123077.09,train
DHG,BKM,40,0,1573.9499999999998,test
DHG,BKM,40,2,1521.9699999999998,test
DHG,BKM,40,1,129109.84,train
DHG,BKM,40,0,125731.26999999999,train
DHG,BKM,40,1,1479.7700000000004,test
DHG,BKM,41,2,122915.12999999999,train
DHG,BKM,41,2,1479.76,test
DHG,BKM,41,0,118997.89,train
DHG,BKM,41,0,1567.75,test
DHG,BKM,41,1,122490.08500000002,train
DHG,BKM,41,1,1319.0699999999997,test
DHG,BKM,42,2,1536.22,test
DHG,BKM,42,1,1380.25,test
DHG,BKM,42,1,128532.745,train
DHG,BKM,42,0,122698.37999999999,train
DHG,BKM,42,2,125262.43000000001,train
DHG,BKM,42,0,1465.3399999999997,test
DHG,BKM,43,2,1477.1200000000001,test
DHG,BKM,43,2,124076.52,train
DHG,BKM,43,0,1369.7900000000002,test
DHG,BKM,43,1,124142.45500000002,train
DHG,BKM,43,1,1429.83,test
DHG,BKM,43,0,124969.04,train
DHG,BKM,44,0,1375.1049999999996,test
DHG,BKM,44,2,124462.18000000001,train
DHG,BKM,44,1,1569.96,test
DHG,BKM,44,1,123630.98000000001,train
DHG,BKM,44,0,118709.16999999998,train
DHG,BKM,44,2,1572.04,test
DHG,BKM,45,2,1174.385,test
DHG,BKM,45,1,1575.7,test
DHG,BKM,45,0,1615.15,test
DHG,BKM,45,2,111114.215,train
DHG,BKM,45,1,129397.98,train
DHG,BKM,45,0,123379.81999999999,train
DHG,BKM,46,1,1562.96,test
DHG,BKM,46,0,1142.335,test
DHG,BKM,46,2,116119.23,train
DHG,BKM,46,1,116484.19,train
DHG,BKM,46,0,112366.26499999998,train
DHG,BKM,46,2,1618.5,test
