dataset,algorithm,platformId,runId,CpuUsage,node,timeIndex,phase
DHG,BLR-maxIter-5,0,0,0.13557865840955466,0,0,train
DHG,BLR-tol-0.01,0,0,0.21313506815365546,2,41,test
DHG,BLR-tol-0.01,0,0,0.21809169764560102,2,40,test
DHG,BLR-tol-0.01,0,0,0.19899874843554444,2,39,test
DHG,BLR-tol-0.01,0,0,0.1761786600496278,2,38,train
DHG,BLR-tol-0.01,0,0,0.2141967621419676,2,37,train
DHG,BLR-tol-0.01,0,0,0.2190237797246557,2,36,train
DHG,BLR-tol-0.01,0,0,0.24344569288389523,2,35,train
DHG,BLR-tol-0.01,0,0,0.3316770186335404,2,34,train
DHG,BLR-tol-0.01,0,0,0.3391521197007481,2,33,train
DHG,BLR-tol-0.01,0,0,0.3242909987669542,2,32,train
DHG,BLR-tol-0.01,0,0,0.2885572139303483,2,31,train
DHG,BLR-tol-0.01,0,0,0.2245657568238213,2,30,train
DHG,BLR-tol-0.01,0,0,0.21472392638036808,2,29,train
DHG,BLR-tol-0.01,0,0,0.2262051915945612,2,28,train
DHG,BLR-tol-0.01,0,0,0.2074534161490683,2,42,test
DHG,BLR-tol-0.01,0,0,0.21739130434782608,2,27,train
DHG,BLR-tol-0.01,0,0,0.23325062034739452,2,25,train
DHG,BLR-tol-0.01,0,0,0.2341220423412205,2,24,train
DHG,BLR-tol-0.01,0,0,0.2186335403726708,2,23,train
DHG,BLR-tol-0.01,0,0,0.19554455445544547,2,22,train
DHG,BLR-tol-0.01,0,0,0.2046568627450981,2,21,train
DHG,BLR-tol-0.01,0,0,0.18641975308641978,2,20,train
DHG,BLR-tol-0.01,0,0,0.22222222222222207,2,19,train
DHG,BLR-tol-0.01,0,0,0.2636138613861386,2,18,train
DHG,BLR-tol-0.01,0,0,0.2336217552533992,2,17,train
DHG,BLR-tol-0.01,0,0,0.2410824108241082,2,16,train
DHG,BLR-tol-0.01,0,0,0.21728395061728395,2,15,train
DHG,BLR-tol-0.01,0,0,0.22304832713754652,2,14,train
DHG,BLR-tol-0.01,0,0,0.245,2,13,train
DHG,BLR-tol-0.01,0,0,0.2194513715710723,2,12,train
DHG,BLR-tol-0.01,0,0,0.19119496855345908,2,26,train
DHG,BLR-tol-0.01,0,0,0.1925,2,11,train
DHG,BLR-tol-0.01,0,0,0.20915841584158412,2,43,test
DHG,BLR-tol-0.01,0,0,0.2388059701492537,2,45,test
DHG,BLR-tol-0.01,0,1,0.19801980198019803,2,5,train
DHG,BLR-tol-0.01,0,1,0.007407407407407418,2,4,train
DHG,BLR-tol-0.01,0,1,0.12670807453416144,2,3,train
DHG,BLR-tol-0.01,0,1,0.22493887530562354,2,2,train
DHG,BLR-tol-0.01,0,1,0.002475247524752477,2,1,train
DHG,BLR-tol-0.01,0,1,0.14654905392935905,2,0,train
DHG,BLR-tol-0.01,0,0,0.37375,2,69,test
DHG,BLR-tol-0.01,0,0,0.39578163771712155,2,68,test
DHG,BLR-tol-0.01,0,0,0.3762376237623761,2,67,test
DHG,BLR-tol-0.01,0,0,0.3519206939281288,2,66,test
DHG,BLR-tol-0.01,0,0,0.3531598513011154,2,65,test
DHG,BLR-tol-0.01,0,0,0.30940594059405946,2,64,test
DHG,BLR-tol-0.01,0,0,0.2747524752475248,2,63,test
