dataset,algorithm,platformId,runId,Energy,phase,acronym,hp,hpValue
DHG,BLR-maxIter-10,0,0,4403.9,train,BLR,maxIter,10
DHG,BLR-maxIter-10,0,1,4394.77,train,BLR,maxIter,10
DHG,BLR-maxIter-10,0,2,4368.7,train,BLR,maxIter,10
DHG,BLR-maxIter-10,0,0,3677.88,test,BLR,maxIter,10
DHG,BLR-maxIter-10,0,1,3493.9,test,BLR,maxIter,10
DHG,BLR-maxIter-10,0,2,3435.67,test,BLR,maxIter,10
DHG,BLR-maxIter-100,0,0,5263.8600000000015,train,BLR,maxIter,100
DHG,BLR-maxIter-100,0,1,5269.45,train,BLR,maxIter,100
DHG,BLR-maxIter-100,0,2,5232.129999999999,train,BLR,maxIter,100
DHG,BLR-maxIter-100,0,0,3444.07,test,BLR,maxIter,100
DHG,BLR-maxIter-100,0,1,3491.39,test,BLR,maxIter,100
DHG,BLR-maxIter-100,0,2,3593.6800000000007,test,BLR,maxIter,100
DHG,BLR-maxIter-15,0,0,4817.39,train,BLR,maxIter,15
DHG,BLR-maxIter-15,0,1,4652.5,train,BLR,maxIter,15
DHG,BLR-maxIter-15,0,2,4775.565000000001,train,BLR,maxIter,15
DHG,BLR-maxIter-15,0,0,3516.12,test,BLR,maxIter,15
DHG,BLR-maxIter-15,0,1,3403.5,test,BLR,maxIter,15
DHG,BLR-maxIter-15,0,2,3554.135,test,BLR,maxIter,15
DHG,BLR-maxIter-20,0,0,5008.83,train,BLR,maxIter,20
DHG,BLR-maxIter-20,0,1,4868.6,train,BLR,maxIter,20
DHG,BLR-maxIter-20,0,2,5155.980000000001,train,BLR,maxIter,20
DHG,BLR-maxIter-20,0,0,3493.11,test,BLR,maxIter,20
DHG,BLR-maxIter-20,0,1,3572.405,test,BLR,maxIter,20
DHG,BLR-maxIter-20,0,2,3532.2,test,BLR,maxIter,20
DHG,BLR-maxIter-5,0,0,4173.055,train,BLR,maxIter,5
DHG,BLR-maxIter-5,0,1,4090.275,train,BLR,maxIter,5
DHG,BLR-maxIter-5,0,2,4021.94,train,BLR,maxIter,5
DHG,BLR-maxIter-5,0,0,3576.580000000001,test,BLR,maxIter,5
DHG,BLR-maxIter-5,0,1,3565.8,test,BLR,maxIter,5
DHG,BLR-maxIter-5,0,2,3478.0850000000005,test,BLR,maxIter,5
DHG,BLR-maxIter-50,0,0,4890.105,train,BLR,maxIter,50
DHG,BLR-maxIter-50,0,1,5377.72,train,BLR,maxIter,50
DHG,BLR-maxIter-50,0,2,5222.16,train,BLR,maxIter,50
DHG,BLR-maxIter-50,0,0,3423.32,test,BLR,maxIter,50
DHG,BLR-maxIter-50,0,1,3523.8100000000004,test,BLR,maxIter,50
DHG,BLR-maxIter-50,0,2,3212.94,test,BLR,maxIter,50
DHG,BLR-tol-0.0001,0,0,4859.725,train,BLR,tol,0.0001
DHG,BLR-tol-0.0001,0,1,4774.29,train,BLR,tol,0.0001
DHG,BLR-tol-0.0001,0,2,4913.895,train,BLR,tol,0.0001
DHG,BLR-tol-0.0001,0,0,2779.355,test,BLR,tol,0.0001
DHG,BLR-tol-0.0001,0,1,3015.1850000000004,test,BLR,tol,0.0001
DHG,BLR-tol-0.0001,0,2,2661.79,test,BLR,tol,0.0001
DHG,BLR-tol-0.01,0,0,4192.4749999999985,train,BLR,tol,0.01
DHG,BLR-tol-0.01,0,1,4392.030000000002,train,BLR,tol,0.01
DHG,BLR-tol-0.01,0,2,4264.8200000000015,train,BLR,tol,0.01
DHG,BLR-tol-0.01,0,0,2792.0200000000004,test,BLR,tol,0.01
DHG,BLR-tol-0.01,0,1,3431.4800000000005,test,BLR,tol,0.01
DHG,BLR-tol-0.01,0,2,3478.0200000000004,test,BLR,tol,0.01
DHG,BLR-tol-0.1,0,0,4088.54,train,BLR,tol,0.1
DHG,BLR-tol-0.1,0,1,3908.48,train,BLR,tol,0.1
DHG,BLR-tol-0.1,0,2,4046.205,train,BLR,tol,0.1
DHG,BLR-tol-0.1,0,0,3457.6050000000005,test,BLR,tol,0.1
DHG,BLR-tol-0.1,0,1,3430.82,test,BLR,tol,0.1
DHG,BLR-tol-0.1,0,2,3458.525,test,BLR,tol,0.1
DHG,BLR-tol-1e-06,0,0,4805.435,train,BLR,tol,1e-06
DHG,BLR-tol-1e-06,0,1,5246.580000000001,train,BLR,tol,1e-06
DHG,BLR-tol-1e-06,0,2,5240.329999999999,train,BLR,tol,1e-06
DHG,BLR-tol-1e-06,0,0,3461.27,test,BLR,tol,1e-06
DHG,BLR-tol-1e-06,0,1,3678.39,test,BLR,tol,1e-06
DHG,BLR-tol-1e-06,0,2,2738.2,test,BLR,tol,1e-06
